source_kind,group,rank,gene
ground_truth,acinar,1,CELA3A
ground_truth,acinar,2,CTRB1
ground_truth,acinar,3,PRSS1
ground_truth,acinar,4,CELA3B
ground_truth,acinar,5,CTRB2
ground_truth,acinar,6,PLA2G1B
ground_truth,acinar,7,PRSS2
ground_truth,acinar,8,CLPS
ground_truth,acinar,9,CPA2
ground_truth,acinar,10,CTRC
ground_truth,acinar,11,CPA1
ground_truth,acinar,12,REG1A
ground_truth,acinar,13,PNLIPRP1
ground_truth,acinar,14,SPINK1
ground_truth,acinar,15,CELA2A
ground_truth,acinar,16,CPB1
ground_truth,acinar,17,SYCN
ground_truth,acinar,18,KLK1
ground_truth,acinar,19,PNLIP
ground_truth,acinar,20,PRSS3
ground_truth,acinar,21,RPL10
ground_truth,acinar,22,PNLIPRP2
ground_truth,acinar,23,REG1B
ground_truth,acinar,24,CD44
ground_truth,acinar,25,IL32
ground_truth,acinar,26,SERPINA3
ground_truth,acinar,27,GP2
ground_truth,acinar,28,MGST1
ground_truth,acinar,29,CUZD1
ground_truth,acinar,30,RNASE1
ground_truth,acinar,31,UGDH
ground_truth,acinar,32,EEF1A1
ground_truth,acinar,33,RPS2
ground_truth,acinar,34,CTRL
ground_truth,acinar,35,CELA2B
ground_truth,acinar,36,ACTG1
ground_truth,acinar,37,EEF1B2
ground_truth,acinar,38,RPL18A
ground_truth,acinar,39,ANPEP
ground_truth,acinar,40,RPL29
ground_truth,acinar,41,RPS12
ground_truth,acinar,42,RPS5
ground_truth,acinar,43,SOD2
ground_truth,acinar,44,SERPINB1
ground_truth,acinar,45,RPLP0
ground_truth,acinar,46,FOXD2
ground_truth,acinar,47,REG1P
ground_truth,acinar,48,RPSA
ground_truth,acinar,49,FTH1
ground_truth,acinar,50,RPL35
ground_truth,acinar,51,GAS5
ground_truth,acinar,52,CD24
ground_truth,acinar,53,RPL13
ground_truth,acinar,54,RPS18
ground_truth,acinar,55,EEF1D
ground_truth,acinar,56,IFITM3
