predicted_cluster,acinar,activated_stellate,alpha,beta,delta,ductal,endothelial,epsilon,gamma,macrophage,mast,quiescent_stellate,schwann,t_cell
0,0.02,0.17,0.02,0.0,0.02,0.09,0.99,0.0,0.04,0.02,0.03,0.19,0.14,0.11
1,0.89,0.01,0.0,0.0,0.0,0.18,0.02,0.01,0.0,0.03,0.1,0.02,0.04,0.1
10,0.01,0.97,0.0,0.0,0.01,0.09,0.17,0.0,0.01,0.06,0.02,0.44,0.11,0.04
11,0.0,0.0,0.99,0.08,0.17,0.0,0.02,0.17,0.31,0.05,0.02,0.0,0.02,0.03
12,0.0,0.0,0.07,0.99,0.2,0.0,0.0,0.04,0.15,0.0,0.01,0.01,0.01,0.0
13,0.05,0.42,0.0,0.01,0.0,0.1,0.18,0.0,0.0,0.09,0.08,0.9,0.12,0.07
14,0.01,0.5,0.01,0.0,0.01,0.07,0.16,0.0,0.01,0.11,0.06,0.55,0.1,0.06
15,0.07,0.51,0.01,0.0,0.0,0.07,0.2,0.01,0.01,0.1,0.12,0.54,0.1,0.16
2,0.07,0.04,0.0,0.0,0.01,0.55,0.05,0.02,0.02,0.05,0.05,0.07,0.11,0.06
3,0.13,0.1,0.01,0.0,0.02,0.93,0.09,0.02,0.0,0.06,0.05,0.11,0.15,0.1
4,0.08,0.02,0.02,0.01,0.04,0.05,0.03,0.01,0.02,0.16,0.94,0.08,0.04,0.24
5,0.22,0.03,0.04,0.0,0.0,0.07,0.1,0.0,0.0,0.08,0.33,0.04,0.03,0.56
6,0.02,0.06,0.04,0.0,0.02,0.05,0.02,0.01,0.01,0.91,0.15,0.1,0.09,0.11
7,0.0,0.01,0.36,0.13,0.25,0.0,0.03,0.27,0.92,0.01,0.01,0.01,0.02,0.01
8,0.0,0.01,0.18,0.2,0.94,0.0,0.01,0.24,0.24,0.02,0.04,0.0,0.03,0.0
9,0.04,0.11,0.02,0.01,0.04,0.16,0.14,0.02,0.02,0.07,0.04,0.13,1.0,0.03
