source_kind,group,rank,gene
predicted_cluster,0,1,PLVAP
predicted_cluster,0,2,ENG
predicted_cluster,0,3,PECAM1
predicted_cluster,0,4,CD93
predicted_cluster,0,5,FKBP1A
predicted_cluster,0,6,PODXL
predicted_cluster,0,7,PXDN
predicted_cluster,0,8,RGCC
predicted_cluster,0,9,ACVRL1
predicted_cluster,0,10,SPARC
predicted_cluster,0,11,FLT1
predicted_cluster,0,12,HSPG2
predicted_cluster,0,13,STC1
predicted_cluster,0,14,ESAM
predicted_cluster,0,15,TCF4
predicted_cluster,0,16,COL4A1
predicted_cluster,0,17,ETS1
predicted_cluster,0,18,ITGA5
predicted_cluster,0,19,EGFL7
predicted_cluster,0,20,TMSB10
predicted_cluster,0,21,SOX18
predicted_cluster,0,22,PTMA
predicted_cluster,0,23,KDR
predicted_cluster,0,24,PPAP2B
predicted_cluster,0,25,PCAT19
predicted_cluster,0,26,IGFBP4
predicted_cluster,0,27,SERPINE1
predicted_cluster,0,28,IGFBP7
predicted_cluster,0,29,GNAI2
predicted_cluster,0,30,IFITM2
predicted_cluster,0,31,PNP
predicted_cluster,0,32,IFITM3
predicted_cluster,0,33,TIE1
predicted_cluster,0,34,APP
predicted_cluster,0,35,CYP1A1
predicted_cluster,0,36,CLIC4
predicted_cluster,0,37,ROBO4
predicted_cluster,0,38,HLA-B
predicted_cluster,0,39,CXCR4
predicted_cluster,0,40,MSN
predicted_cluster,0,41,ESM1
predicted_cluster,0,42,EMP1
predicted_cluster,0,43,HTRA1
predicted_cluster,0,44,GPX1
predicted_cluster,0,45,CD81
predicted_cluster,0,46,ADAMTS4
predicted_cluster,0,47,ID3
predicted_cluster,0,48,LGALS1
predicted_cluster,0,49,CD9
predicted_cluster,0,50,PRSS23
predicted_cluster,0,51,PASK
predicted_cluster,0,52,FABP5
predicted_cluster,0,53,SOCS3
predicted_cluster,0,54,COL18A1
predicted_cluster,0,55,HLA-C
predicted_cluster,0,56,ADGRL4
predicted_cluster,0,57,VWF
predicted_cluster,0,58,TP53I11
predicted_cluster,0,59,B2M
predicted_cluster,0,60,IFI27
predicted_cluster,0,61,SPTBN1
predicted_cluster,0,62,VIM
predicted_cluster,0,63,ADGRF5
predicted_cluster,0,64,FSCN1
predicted_cluster,0,65,SEMA3F
predicted_cluster,0,66,PLEKHO1
predicted_cluster,0,67,CCDC85B
predicted_cluster,0,68,ANGPTL2
predicted_cluster,0,69,MCAM
predicted_cluster,0,70,S1PR1
predicted_cluster,0,71,MARCKSL1
predicted_cluster,0,72,ECSCR
predicted_cluster,0,73,CLDN5
predicted_cluster,0,74,FAM43A
predicted_cluster,0,75,WWTR1
predicted_cluster,0,76,NRP2
predicted_cluster,0,77,CD59
predicted_cluster,0,78,YES1
predicted_cluster,0,79,HMGB1
predicted_cluster,0,80,SERPINH1
predicted_cluster,0,81,SLC9A3R2
predicted_cluster,0,82,INSR
predicted_cluster,0,83,LAMA4
predicted_cluster,0,84,ANGPT2
predicted_cluster,0,85,TMEM173
predicted_cluster,0,86,IFITM1
predicted_cluster,0,87,ZFP36L2
predicted_cluster,0,88,PTRF
predicted_cluster,0,89,NOTCH4
predicted_cluster,0,90,CRIP2
predicted_cluster,0,91,VWA1
predicted_cluster,0,92,THBS1
predicted_cluster,0,93,TM4SF1
predicted_cluster,0,94,ERG
predicted_cluster,0,95,RAI14
predicted_cluster,0,96,EPAS1
predicted_cluster,0,97,STOM
predicted_cluster,0,98,NOTCH1
predicted_cluster,0,99,DYSF
predicted_cluster,0,100,HYAL2
predicted_cluster,1,1,SPINK1
predicted_cluster,1,2,REG1A
predicted_cluster,1,3,CTRB2
predicted_cluster,1,4,CTRB1
predicted_cluster,1,5,PRSS2
predicted_cluster,1,6,PRSS1
predicted_cluster,1,7,CPA2
predicted_cluster,1,8,CPA1
predicted_cluster,1,9,PLA2G1B
predicted_cluster,1,10,SERPINA3
predicted_cluster,1,11,CELA3A
predicted_cluster,1,12,IL32
predicted_cluster,1,13,RPL10
predicted_cluster,1,14,CELA3B
predicted_cluster,1,15,CPB1
predicted_cluster,1,16,KLK1
predicted_cluster,1,17,CTRC
predicted_cluster,1,18,REG1B
predicted_cluster,1,19,CD44
predicted_cluster,1,20,PRSS3
predicted_cluster,1,21,PNLIP
predicted_cluster,1,22,CELA2A
predicted_cluster,1,23,PNLIPRP1
predicted_cluster,1,24,CLPS
predicted_cluster,1,25,SYCN
predicted_cluster,1,26,MGST1
predicted_cluster,1,27,RNASE1
predicted_cluster,1,28,ANPEP
predicted_cluster,1,29,EEF1A1
predicted_cluster,1,30,CD24
predicted_cluster,1,31,PNLIPRP2
predicted_cluster,1,32,GP2
predicted_cluster,1,33,UGDH
predicted_cluster,1,34,RPL18A
predicted_cluster,1,35,CUZD1
predicted_cluster,1,36,SOD2
predicted_cluster,1,37,RPL29
predicted_cluster,1,38,SERPINB1
predicted_cluster,1,39,ACTG1
predicted_cluster,1,40,RPS2
predicted_cluster,1,41,EEF1B2
predicted_cluster,1,42,RPS12
predicted_cluster,1,43,FTH1
predicted_cluster,1,44,RPS5
predicted_cluster,1,45,RPLP0
predicted_cluster,1,46,YBX3
predicted_cluster,1,47,IFITM3
predicted_cluster,1,48,FOXD2
predicted_cluster,1,49,CTRL
predicted_cluster,1,50,EEF1D
predicted_cluster,1,51,CELA2B
predicted_cluster,1,52,REG1P
predicted_cluster,1,53,GDF15
predicted_cluster,1,54,GATM
predicted_cluster,1,55,ZFP36L1
predicted_cluster,1,56,RPSA
predicted_cluster,1,57,KRT18
predicted_cluster,1,58,GAS5
predicted_cluster,1,59,ALDOB
predicted_cluster,1,60,TMSB4X
predicted_cluster,1,61,RPL35
predicted_cluster,1,62,SLC25A37
predicted_cluster,1,63,TM4SF1
predicted_cluster,1,64,RPL13A
predicted_cluster,1,65,RPS18
predicted_cluster,1,66,RPL13
predicted_cluster,1,67,RPL14
predicted_cluster,1,68,RPS9
predicted_cluster,1,69,SDC4
predicted_cluster,1,70,GNB2L1
predicted_cluster,1,71,RPL36
predicted_cluster,1,72,RPS19
predicted_cluster,1,73,REG3G
predicted_cluster,1,74,AKR1C3
predicted_cluster,1,75,KRT8
predicted_cluster,1,76,SAT1
predicted_cluster,1,77,PLTP
predicted_cluster,1,78,RPL8
predicted_cluster,1,79,MUC1
predicted_cluster,1,80,RPL35A
predicted_cluster,1,81,PDZK1IP1
predicted_cluster,1,82,RPL36A
predicted_cluster,1,83,RPL12
predicted_cluster,1,84,PDIA2
predicted_cluster,1,85,RPL7A
predicted_cluster,1,86,RPS6
predicted_cluster,1,87,RPS14
predicted_cluster,1,88,TKT
predicted_cluster,1,89,NUPR1
predicted_cluster,1,90,HSPB1
predicted_cluster,1,91,CDC42EP1
predicted_cluster,1,92,RPS8
predicted_cluster,1,93,AGTRAP
predicted_cluster,1,94,RARRES2
predicted_cluster,1,95,GALNT2
predicted_cluster,1,96,BAIAP2L1
predicted_cluster,1,97,AZGP1
predicted_cluster,1,98,TPT1
predicted_cluster,1,99,CEL
predicted_cluster,1,100,CEBPD
predicted_cluster,10,1,COL6A2
predicted_cluster,10,2,COL6A1
predicted_cluster,10,3,MMP14
predicted_cluster,10,4,COL6A3
predicted_cluster,10,5,BGN
predicted_cluster,10,6,TIMP1
predicted_cluster,10,7,COL1A1
predicted_cluster,10,8,PDGFRB
predicted_cluster,10,9,SPARC
predicted_cluster,10,10,COL1A2
predicted_cluster,10,11,C11orf96
predicted_cluster,10,12,SERPINH1
predicted_cluster,10,13,AEBP1
predicted_cluster,10,14,IGFBP4
predicted_cluster,10,15,IGFBP7
predicted_cluster,10,16,EMILIN1
predicted_cluster,10,17,CALD1
predicted_cluster,10,18,MMP2
predicted_cluster,10,19,PXDN
predicted_cluster,10,20,FKBP10
predicted_cluster,10,21,LGALS1
predicted_cluster,10,22,COL3A1
predicted_cluster,10,23,SFRP2
predicted_cluster,10,24,CRLF1
predicted_cluster,10,25,VCAN
predicted_cluster,10,26,INHBA
predicted_cluster,10,27,COL15A1
predicted_cluster,10,28,SERPINE1
predicted_cluster,10,29,CYGB
predicted_cluster,10,30,LRP1
predicted_cluster,10,31,MYH9
predicted_cluster,10,32,NBL1
predicted_cluster,10,33,COL18A1
predicted_cluster,10,34,COL5A1
predicted_cluster,10,35,CEBPB
predicted_cluster,10,36,TIMP3
predicted_cluster,10,37,FLNA
predicted_cluster,10,38,COL4A1
predicted_cluster,10,39,THBS2
predicted_cluster,10,40,FN1
predicted_cluster,10,41,VIM
predicted_cluster,10,42,MFGE8
predicted_cluster,10,43,UNC5B
predicted_cluster,10,44,PLIN2
predicted_cluster,10,45,FSTL1
predicted_cluster,10,46,CRISPLD2
predicted_cluster,10,47,LOXL2
predicted_cluster,10,48,ITGA5
predicted_cluster,10,49,ENG
predicted_cluster,10,50,C1S
predicted_cluster,10,51,FMOD
predicted_cluster,10,52,PRRX1
predicted_cluster,10,53,NOTCH3
predicted_cluster,10,54,IFITM2
predicted_cluster,10,55,IER3
predicted_cluster,10,56,ITGB1
predicted_cluster,10,57,CALU
predicted_cluster,10,58,RUNX1
predicted_cluster,10,59,SPON2
predicted_cluster,10,60,TMSB10
predicted_cluster,10,61,SMIM3
predicted_cluster,10,62,COL5A3
predicted_cluster,10,63,SPHK1
predicted_cluster,10,64,PMEPA1
predicted_cluster,10,65,TPM2
predicted_cluster,10,66,SERPING1
predicted_cluster,10,67,COL5A2
predicted_cluster,10,68,TBX3
predicted_cluster,10,69,CRTAP
predicted_cluster,10,70,LIMS1
predicted_cluster,10,71,EVA1B
predicted_cluster,10,72,ACTN1
predicted_cluster,10,73,CTHRC1
predicted_cluster,10,74,AP2M1
predicted_cluster,10,75,IFITM3
predicted_cluster,10,76,IL11
predicted_cluster,10,77,ADAMTS12
predicted_cluster,10,78,LAMC3
predicted_cluster,10,79,KLF9
predicted_cluster,10,80,MPZL1
predicted_cluster,10,81,DDR2
predicted_cluster,10,82,VSTM4
predicted_cluster,10,83,CKAP4
predicted_cluster,10,84,BASP1
predicted_cluster,10,85,LIF
predicted_cluster,10,86,JARID2
predicted_cluster,10,87,CD276
predicted_cluster,10,88,CYP1B1
predicted_cluster,10,89,SELM
predicted_cluster,10,90,EMP1
predicted_cluster,10,91,IFITM1
predicted_cluster,10,92,PLAT
predicted_cluster,10,93,DCN
predicted_cluster,10,94,LAMC1
predicted_cluster,10,95,LTBP1
predicted_cluster,10,96,FBN1
predicted_cluster,10,97,SNX9
predicted_cluster,10,98,RAB34
predicted_cluster,10,99,ITGA1
predicted_cluster,10,100,CTSC
predicted_cluster,11,1,TTR
predicted_cluster,11,2,GCG
predicted_cluster,11,3,CLU
predicted_cluster,11,4,TMEM176B
predicted_cluster,11,5,GC
predicted_cluster,11,6,GPX3
predicted_cluster,11,7,PCSK2
predicted_cluster,11,8,TMEM176A
predicted_cluster,11,9,IRX2
predicted_cluster,11,10,VGF
predicted_cluster,11,11,CD99
predicted_cluster,11,12,TM4SF4
predicted_cluster,11,13,RNASEK
predicted_cluster,11,14,SLC7A2
predicted_cluster,11,15,ALDH1A1
predicted_cluster,11,16,SCG5
predicted_cluster,11,17,CYSTM1
predicted_cluster,11,18,CST3
predicted_cluster,11,19,CHGA
predicted_cluster,11,20,RGS4
predicted_cluster,11,21,SPINT2
predicted_cluster,11,22,PCSK1N
predicted_cluster,11,23,CHGB
predicted_cluster,11,24,MUC13
predicted_cluster,11,25,EMC10
predicted_cluster,11,26,HLA-A
predicted_cluster,11,27,PLD3
predicted_cluster,11,28,FXYD5
predicted_cluster,11,29,F10
predicted_cluster,11,30,FEV
predicted_cluster,11,31,GLS
predicted_cluster,11,32,B2M
predicted_cluster,11,33,SERPINA1
predicted_cluster,11,34,SLC22A17
predicted_cluster,11,35,PDK4
predicted_cluster,11,36,ATP5E
predicted_cluster,11,37,BSG
predicted_cluster,11,38,IGFBP2
predicted_cluster,11,39,PALLD
predicted_cluster,11,40,SMOC1
predicted_cluster,11,41,KIAA1324
predicted_cluster,11,42,MALAT1
predicted_cluster,11,43,SMIM24
predicted_cluster,11,44,PEMT
predicted_cluster,11,45,SCG2
predicted_cluster,11,46,COX8A
predicted_cluster,11,47,VSTM2L
predicted_cluster,11,48,NENF
predicted_cluster,11,49,CRYBA2
predicted_cluster,11,50,PAPPA2
predicted_cluster,11,51,CD63
predicted_cluster,11,52,COTL1
predicted_cluster,11,53,SEZ6L2
predicted_cluster,11,54,HLA-E
predicted_cluster,11,55,KCTD12
predicted_cluster,11,56,NUCB1
predicted_cluster,11,57,CTSZ
predicted_cluster,11,58,CALY
predicted_cluster,11,59,MAFB
predicted_cluster,11,60,FXYD3
predicted_cluster,11,61,ARX
predicted_cluster,11,62,ELL2
predicted_cluster,11,63,ERP29
predicted_cluster,11,64,GNG4
predicted_cluster,11,65,CAMK2G
predicted_cluster,11,66,LRPAP1
predicted_cluster,11,67,IDS
predicted_cluster,11,68,C2CD4B
predicted_cluster,11,69,CD82
predicted_cluster,11,70,LOXL4
predicted_cluster,11,71,TUSC3
predicted_cluster,11,72,APLP1
predicted_cluster,11,73,PTP4A3
predicted_cluster,11,74,RHBDD2
predicted_cluster,11,75,FXYD6
predicted_cluster,11,76,NAA20
predicted_cluster,11,77,CBX6
predicted_cluster,11,78,RHOB
predicted_cluster,11,79,PAM
predicted_cluster,11,80,QDPR
predicted_cluster,11,81,SSR4
predicted_cluster,11,82,MYL6
predicted_cluster,11,83,PTPRN
predicted_cluster,11,84,HIGD1A
predicted_cluster,11,85,CDK5R2
predicted_cluster,11,86,H1FX
predicted_cluster,11,87,GRN
predicted_cluster,11,88,CPLX2
predicted_cluster,11,89,PTPRN2
predicted_cluster,11,90,ITM2B
predicted_cluster,11,91,UBB
predicted_cluster,11,92,HINT1
predicted_cluster,11,93,SLC29A4
predicted_cluster,11,94,RAB3B
predicted_cluster,11,95,ZFP36
predicted_cluster,11,96,PLIN3
predicted_cluster,11,97,PAX6
predicted_cluster,11,98,CFC1
predicted_cluster,11,99,OAZ1
predicted_cluster,11,100,FABP5
predicted_cluster,12,1,INS
