cell_id,tsne_1,tsne_2,true_label,predicted_label,hungarian_annotation,marker_overlap_annotation,batch
human1_lib1.final_cell_0001-0,-29.12327,53.807735,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0002-0,-33.690918,55.30566,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0003-0,-29.503115,53.408287,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0004-0,-38.5975,54.044037,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0005-0,-34.030807,55.900017,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0006-0,-29.978512,56.42937,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0007-0,34.398666,49.64554,beta,12,beta,beta,human1
human1_lib1.final_cell_0008-0,-31.633612,53.94687,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0009-0,-34.411545,56.269917,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0010-0,-29.263111,55.801987,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0011-0,-33.3795,55.97826,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0012-0,-25.187801,54.811005,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0013-0,-4.7290916,31.37373,delta,8,delta,delta,human1
human1_lib1.final_cell_0014-0,-4.3280787,26.253822,delta,8,delta,delta,human1
human1_lib1.final_cell_0015-0,25.05986,19.310377,beta,12,beta,beta,human1
human1_lib1.final_cell_0016-0,-31.437319,-2.9175565,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0017-0,44.82824,68.96805,beta,12,beta,beta,human1
human1_lib1.final_cell_0018-0,-27.890594,58.950603,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0019-0,-66.2468,2.5536597,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0020-0,40.19799,-18.85339,beta,12,beta,beta,human1
human1_lib1.final_cell_0021-0,39.363754,-15.0694895,beta,12,beta,beta,human1
human1_lib1.final_cell_0022-0,10.220458,-69.24379,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0023-0,-59.73331,6.0442142,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0024-0,37.46362,48.91643,beta,12,beta,beta,human1
human1_lib1.final_cell_0025-0,2.354187,32.100628,delta,8,delta,delta,human1
human1_lib1.final_cell_0026-0,32.228,-61.296112,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0027-0,33.268696,26.429586,beta,12,beta,beta,human1
human1_lib1.final_cell_0028-0,-21.818193,70.56981,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0029-0,-31.148748,52.291706,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0030-0,40.597023,45.5091,beta,12,beta,beta,human1
human1_lib1.final_cell_0031-0,-1.4890293,13.526344,delta,8,delta,delta,human1
human1_lib1.final_cell_0032-0,8.658966,25.9416,delta,8,delta,delta,human1
human1_lib1.final_cell_0033-0,4.576703,31.465694,delta,8,delta,delta,human1
human1_lib1.final_cell_0034-0,4.777479,27.5542,delta,8,delta,delta,human1
human1_lib1.final_cell_0035-0,39.3158,-1.4976349,beta,12,beta,beta,human1
human1_lib1.final_cell_0036-0,-29.093008,60.92228,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0037-0,39.112816,36.052948,beta,12,beta,beta,human1
human1_lib1.final_cell_0038-0,31.760794,60.379715,beta,12,beta,beta,human1
human1_lib1.final_cell_0039-0,24.597181,19.538654,beta,12,beta,beta,human1
human1_lib1.final_cell_0040-0,-12.400559,23.186296,delta,8,delta,delta,human1
human1_lib1.final_cell_0041-0,-26.062685,-10.979507,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0042-0,37.31995,32.753716,beta,12,beta,beta,human1
human1_lib1.final_cell_0043-0,-3.5446467,25.023708,delta,8,delta,delta,human1
human1_lib1.final_cell_0044-0,-27.9784,-6.57733,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0045-0,-32.231525,0.876521,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0046-0,-28.090754,-5.067301,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0047-0,-28.543522,56.289295,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0048-0,-23.518475,-12.443092,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0049-0,-4.832613,26.918211,delta,8,delta,delta,human1
human1_lib1.final_cell_0050-0,36.833797,48.504097,beta,12,beta,beta,human1
human1_lib1.final_cell_0051-0,3.4525337,21.899698,delta,8,delta,delta,human1
human1_lib1.final_cell_0052-0,40.329704,25.494932,beta,12,beta,beta,human1
human1_lib1.final_cell_0053-0,-32.289555,56.442577,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0054-0,69.062965,-0.3885344,beta,12,beta,beta,human1
human1_lib1.final_cell_0055-0,34.874367,-1.3765166,beta,12,beta,beta,human1
human1_lib1.final_cell_0056-0,-27.027401,-10.30143,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0057-0,43.82791,-11.937233,beta,12,beta,beta,human1
human1_lib1.final_cell_0058-0,47.672657,-15.248641,beta,12,beta,beta,human1
human1_lib1.final_cell_0059-0,34.81054,-9.833661,beta,12,beta,beta,human1
human1_lib1.final_cell_0060-0,28.389471,51.841072,beta,12,beta,beta,human1
human1_lib1.final_cell_0061-0,-65.59192,1.5230032,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0062-0,20.836891,-55.620373,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0063-0,27.8727,48.9013,beta,12,beta,beta,human1
human1_lib1.final_cell_0064-0,-64.28009,-15.144933,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0065-0,-69.63705,-1.6920844,ductal,3,ductal,ductal,human1
human1_lib1.final_cell_0066-0,-29.984955,55.640125,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0067-0,16.772583,-69.0955,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0068-0,33.997166,37.91514,beta,12,beta,beta,human1
human1_lib1.final_cell_0069-0,-1.3322973,29.392282,delta,8,delta,delta,human1
human1_lib1.final_cell_0070-0,20.566513,-69.692314,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0071-0,43.262985,72.4976,beta,12,beta,beta,human1
human1_lib1.final_cell_0072-0,36.661915,-11.258123,beta,12,beta,beta,human1
human1_lib1.final_cell_0073-0,40.471436,5.220291,beta,12,beta,beta,human1
human1_lib1.final_cell_0074-0,-1.2889979,12.287002,delta,8,delta,delta,human1
human1_lib1.final_cell_0075-0,41.795128,69.97451,beta,12,beta,beta,human1
human1_lib1.final_cell_0076-0,39.74593,-17.082527,beta,12,beta,beta,human1
human1_lib1.final_cell_0077-0,11.910831,26.351185,delta,8,delta,delta,human1
human1_lib1.final_cell_0078-0,44.159546,14.10338,beta,12,beta,beta,human1
human1_lib1.final_cell_0079-0,30.654543,17.334135,beta,12,beta,beta,human1
human1_lib1.final_cell_0080-0,48.676277,-16.208403,beta,12,beta,beta,human1
human1_lib1.final_cell_0081-0,31.480377,21.190248,beta,12,beta,beta,human1
human1_lib1.final_cell_0082-0,37.163055,41.808,beta,12,beta,beta,human1
human1_lib1.final_cell_0083-0,43.014164,39.280132,beta,12,beta,beta,human1
human1_lib1.final_cell_0084-0,-32.590225,55.060677,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0085-0,-28.167458,-5.3698487,activated_stellate,10,activated_stellate,activated_stellate,human1
human1_lib1.final_cell_0086-0,-0.52531236,28.144453,delta,8,delta,delta,human1
human1_lib1.final_cell_0087-0,-1.5249319,28.885023,delta,8,delta,delta,human1
human1_lib1.final_cell_0088-0,35.101124,12.957448,beta,12,beta,beta,human1
human1_lib1.final_cell_0089-0,36.01883,69.654945,beta,12,beta,beta,human1
human1_lib1.final_cell_0090-0,56.09613,-14.127883,beta,12,beta,beta,human1
human1_lib1.final_cell_0091-0,45.354233,46.50402,beta,12,beta,beta,human1
human1_lib1.final_cell_0092-0,32.256638,17.362984,beta,12,beta,beta,human1
human1_lib1.final_cell_0093-0,46.96354,47.710903,beta,12,beta,beta,human1
human1_lib1.final_cell_0094-0,30.75211,-0.19087827,beta,12,beta,beta,human1
human1_lib1.final_cell_0095-0,57.144066,-13.976216,beta,12,beta,beta,human1
human1_lib1.final_cell_0096-0,35.50251,-12.390639,beta,12,beta,beta,human1
human1_lib1.final_cell_0097-0,56.03936,-12.302831,beta,12,beta,beta,human1
human1_lib1.final_cell_0098-0,3.9956284,18.14001,delta,8,delta,delta,human1
human1_lib1.final_cell_0099-0,-11.595875,18.235722,delta,8,delta,delta,human1
human1_lib1.final_cell_0100-0,36.052788,61.371517,beta,12,beta,beta,human1
human1_lib1.final_cell_0101-0,-12.347853,25.260448,delta,8,delta,delta,human1
human1_lib1.final_cell_0102-0,2.4221003,-72.47922,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0103-0,6.772187,-69.38992,alpha,11,alpha,alpha,human1
human1_lib1.final_cell_0104-0,-2.8313262,22.957891,delta,8,delta,delta,human1
human1_lib1.final_cell_0105-0,41.2682,62.466007,beta,12,beta,beta,human1
human1_lib1.final_cell_0106-0,29.726976,3.964309,beta,12,beta,beta,human1
human1_lib1.final_cell_0107-0,47.029064,19.15626,beta,12,beta,beta,human1
human1_lib1.final_cell_0108-0,42.552937,61.795273,beta,12,beta,beta,human1
human1_lib1.final_cell_0109-0,-33.670395,55.006447,acinar,1,acinar,acinar,human1
human1_lib1.final_cell_0110-0,10.02565,25.537094,delta,8,delta,delta,human1
human1_lib1.final_cell_0111-0,47.017708,47.983727,beta,12,beta,beta,human1
human1_lib1.final_cell_0112-0,51.50382,-16.211231,beta,12,beta,beta,human1
human1_lib1.final_cell_0113-0,-0.9913126,23.399706,delta,8,delta,delta,human1
human1_lib1.final_cell_0114-0,43.87511,-15.091883,beta,12,beta,beta,human1
human1_lib1.final_cell_0115-0,48.739662,-17.251991,beta,12,beta,beta,human1
human1_lib1.final_cell_0116-0,41.31869,27.996897,beta,12,beta,beta,human1
human1_lib1.final_cell_0117-0,-11.735625,22.210682,delta,8,delta,delta,human1
human1_lib1.final_cell_0118-0,32.446415,8.691503,beta,12,beta,beta,human1
human1_lib1.final_cell_0119-0,2.279199,32.791447,delta,8,delta,delta,human1
human1_lib1.final_cell_0120-0,40.00705,51.041817,beta,12,beta,beta,human1
human1_lib1.final_cell_0121-0,40.91615,-4.057706,beta,12,beta,beta,human1
human1_lib1.final_cell_0122-0,43.679012,-10.056698,beta,12,beta,beta,human1
human1_lib1.final_cell_0123-0,-2.5361445,28.419477,epsilon,8,delta,delta,human1
human1_lib1.final_cell_0124-0,40.535038,-9.268612,beta,12,beta,beta,human1
human1_lib1.final_cell_0125-0,30.220114,25.589735,beta,12,beta,beta,human1
human1_lib1.final_cell_0126-0,39.59838,21.44245,beta,12,beta,beta,human1
human1_lib1.final_cell_0127-0,-11.355406,-67.035706,delta,11,alpha,alpha,human1
human1_lib1.final_cell_0128-0,49.661842,-11.288283,beta,12,beta,beta,human1
