cell_index,scraw_reconstruction_weight,cell_id
0,1.0070886611938477,A10_B000767_B009945_S10.mm10-plus-4-0
1,0.5994482636451721,A10_D045313_B009942_S10.mm10-plus-4-0
2,1.5090813636779785,A11_B000767_B009945_S11.mm10-plus-4-0
3,1.3267731666564941,A11_B001247_B009941_S11.mm10-plus-4-0
4,0.6786192655563354,A11_B002688_B009944_S11.mm10-plus-4-0
5,0.7752742171287537,A11_D045313_B009942_S11.mm10-plus-4-0
6,0.677789032459259,A12_B000767_B009945_S12.mm10-plus-4-0
7,1.8238446712493896,A12_B002688_B009944_S12.mm10-plus-4-0
8,0.5480058193206787,A12_D045313_B009942_S12.mm10-plus-4-0
9,0.5398263335227966,A13_B002681_B009943_S13.mm10-plus-4-0
10,0.7767981290817261,A13_B002688_B009944_S13.mm10-plus-4-0
11,0.785286545753479,A13_D045313_B009942_S13.mm10-plus-4-0
12,0.5968254804611206,A14_B001247_B009941_S14.mm10-plus-4-0
13,0.8430975079536438,A14_B002688_B009944_S14.mm10-plus-4-0
14,0.777270495891571,A14_D045313_B009942_S14.mm10-plus-4-0
15,0.7086424231529236,A15_B000767_B009945_S15.mm10-plus-4-0
16,0.5341542959213257,A15_B001247_B009941_S15.mm10-plus-4-0
17,0.4528411626815796,A15_B002681_B009943_S15.mm10-plus-4-0
18,1.352034091949463,A15_D045313_B009942_S15.mm10-plus-4-0
19,1.5814199447631836,A16_B000767_B009945_S16.mm10-plus-4-0
20,0.8470873832702637,A16_B001247_B009941_S16.mm10-plus-4-0
21,0.7072511911392212,A16_B002688_B009944_S16.mm10-plus-4-0
22,0.6545015573501587,A16_D045313_B009942_S16.mm10-plus-4-0
23,2.692344903945923,A17_B000767_B009945_S17.mm10-plus-4-0
24,0.8189718723297119,A17_B001247_B009941_S17.mm10-plus-4-0
25,0.44999998807907104,A17_B002688_B009944_S17.mm10-plus-4-0
26,0.5744591355323792,A17_D045313_B009942_S17.mm10-plus-4-0
27,1.1412842273712158,A18_B001247_B009941_S18.mm10-plus-4-0
28,0.4533309042453766,A18_B002681_B009943_S18.mm10-plus-4-0
29,0.5388281345367432,A18_B002688_B009944_S18.mm10-plus-4-0
30,0.8838171362876892,A18_D045313_B009942_S18.mm10-plus-4-0
31,4.331324100494385,A19_B000767_B009945_S19.mm10-plus-4-0
32,2.077853202819824,A19_B001247_B009941_S19.mm10-plus-4-0
33,0.697248101234436,A19_B002688_B009944_S19.mm10-plus-4-0
34,0.5946460962295532,A19_D045313_B009942_S19.mm10-plus-4-0
35,1.0843037366867065,A1_B000767_B009945_S1.mm10-plus-4-0
36,1.7158441543579102,A1_B001247_B009941_S1.mm10-plus-4-0
37,0.5746627449989319,A1_D045313_B009942_S1.mm10-plus-4-0
38,0.7922027111053467,A20_B000767_B009945_S20.mm10-plus-4-0
39,2.187591552734375,A20_B001247_B009941_S20.mm10-plus-4-0
40,1.141805648803711,A20_B002688_B009944_S20.mm10-plus-4-0
41,0.6296671628952026,A20_D045313_B009942_S20.mm10-plus-4-0
42,0.5976920127868652,A21_B000767_B009945_S21.mm10-plus-4-0
43,1.0053460597991943,A21_B001247_B009941_S21.mm10-plus-4-0
44,0.45043882727622986,A21_B002681_B009943_S21.mm10-plus-4-0
45,1.2062722444534302,A21_B002688_B009944_S21.mm10-plus-4-0
46,0.5401538014411926,A21_D045313_B009942_S21.mm10-plus-4-0
47,1.0403223037719727,A22_B000767_B009945_S22.mm10-plus-4-0
48,1.3807376623153687,A22_B001247_B009941_S22.mm10-plus-4-0
49,0.4540412425994873,A22_B002681_B009943_S22.mm10-plus-4-0
50,1.5588678121566772,A2_B000767_B009945_S2.mm10-plus-4-0
51,1.2050228118896484,A2_B001247_B009941_S2.mm10-plus-4-0
52,0.5657690167427063,A2_B002681_B009943_S2.mm10-plus-4-0
53,0.5131465792655945,A2_D045313_B009942_S2.mm10-plus-4-0
54,1.371711015701294,A3_B000767_B009945_S3.mm10-plus-4-0
55,0.7526527643203735,A3_B001247_B009941_S3.mm10-plus-4-0
56,0.8087753653526306,A3_B002681_B009943_S3.mm10-plus-4-0
57,0.8921711444854736,A3_D045313_B009942_S3.mm10-plus-4-0
58,1.1154547929763794,A4_B000767_B009945_S4.mm10-plus-4-0
59,1.1134587526321411,A5_B000767_B009945_S5.mm10-plus-4-0
60,1.2677868604660034,A5_B001247_B009941_S5.mm10-plus-4-0
61,1.0726778507232666,A5_D045313_B009942_S5.mm10-plus-4-0
62,1.4232425689697266,A6_B000767_B009945_S6.mm10-plus-4-0
63,0.9090472459793091,A6_B002681_B009943_S6.mm10-plus-4-0
64,0.6022782921791077,A6_D045313_B009942_S6.mm10-plus-4-0
65,0.9651771783828735,A7_B001247_B009941_S7.mm10-plus-4-0
66,1.1410199403762817,A7_B002688_B009944_S7.mm10-plus-4-0
67,0.608900785446167,A7_D045313_B009942_S7.mm10-plus-4-0
68,0.6412126421928406,A8_D045313_B009942_S8.mm10-plus-4-0
69,0.564272403717041,A9_B000767_B009945_S9.mm10-plus-4-0
70,0.6087567210197449,A9_D045313_B009942_S9.mm10-plus-4-0
71,0.566127598285675,B10_B000767_B009945_S34.mm10-plus-4-0
72,0.45790013670921326,B10_B002681_B009943_S34.mm10-plus-4-0
73,1.0109397172927856,B10_B002688_B009944_S34.mm10-plus-4-0
74,0.44999998807907104,B10_D045313_B009942_S34.mm10-plus-4-0
75,1.3155039548873901,B11_B000767_B009945_S35.mm10-plus-4-0
76,0.4576946794986725,B11_B002681_B009943_S35.mm10-plus-4-0
77,0.5935620665550232,B12_B000767_B009945_S36.mm10-plus-4-0
