asset_id,dataset_keys,filename,url,size_bytes,checksum_algorithm,checksum,role,notes
zeisel_geo_counts,bbag094_zeisel,GSE60361_C1-3005-Expression.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60361/suppl/GSE60361_C1-3005-Expression.txt.gz,11239106,,,counts,"Canonical GEO fallback; 3005 cells. The historical Hemberg URL is no longer public."
spleen_sczidesk_h5,bbag094_spleen,Quake_10x_Spleen_data.h5,https://raw.githubusercontent.com/xuebaliang/scziDesk/master/dataset/Quake_10x_Spleen/data.h5,25258429,sha256,4af484a3681a7bc6942ec549cbc8ba104437d9e3f142c327f65288d56a18f07a,counts_and_metadata,"Verified 9552 cells x 23341 genes; two donors and five cell types."
baron_human1,baron_human_pancreas;Human_Pancreas_1_raw_counts,GSM2230757_human1_umifm_counts.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2230nnn/GSM2230757/suppl/GSM2230757_human1_umifm_counts.csv.gz,5670823,,,counts_and_metadata,GSE84133 donor human1
baron_human2,baron_human_pancreas;Human_Pancreas_2_raw_counts,GSM2230758_human2_umifm_counts.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2230nnn/GSM2230758/suppl/GSM2230758_human2_umifm_counts.csv.gz,4960352,,,counts_and_metadata,GSE84133 donor human2
baron_human3,baron_human_pancreas,GSM2230759_human3_umifm_counts.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2230nnn/GSM2230759/suppl/GSM2230759_human3_umifm_counts.csv.gz,9767500,,,counts_and_metadata,GSE84133 donor human3
baron_human4,baron_human_pancreas,GSM2230760_human4_umifm_counts.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2230nnn/GSM2230760/suppl/GSM2230760_human4_umifm_counts.csv.gz,4253067,,,counts_and_metadata,GSE84133 donor human4
baron_mouse1,Mouse_Pancreas_1_raw_counts,GSM2230761_mouse1_umifm_counts.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2230nnn/GSM2230761/suppl/GSM2230761_mouse1_umifm_counts.csv.gz,1755400,,,counts_and_metadata,GSE84133 mouse sample 1 used for external validation
baron_mouse2,extended_only,GSM2230762_mouse2_umifm_counts.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2230nnn/GSM2230762/suppl/GSM2230762_mouse2_umifm_counts.csv.gz,2699967,,,counts_and_metadata,GSE84133 mouse sample 2; not used in the report tables
testis_counts,gse112013_human_testis_raw_counts,GSE112013_Combined_UMI_table.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112013/suppl/GSE112013_Combined_UMI_table.txt.gz,24811269,,,counts,GSE112013 processed UMI table
testis_series_matrix,gse112013_human_testis_raw_counts,GSE112013_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112013/matrix/GSE112013_series_matrix.txt.gz,2863,,,sample_metadata,Six GEO samples: three donors x two replicates
testis_table_s1,gse112013_human_testis_raw_counts,41422_2018_99_MOESM9_ESM.pdf,https://authors.library.caltech.edu/records/164wm-qwp59/files/41422_2018_99_MOESM9_ESM.pdf?download=1,1307994,md5,a9dd16441d290034a42261f9fe2afe3c,cell_annotations,"Official open-access Supplementary Table S1 with 6490 cell cluster assignments; Caltech institutional copy avoids PMC's browser challenge."
kang_raw_tar,kang_pbmc_gse96583_singlets_raw_counts,GSE96583_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96583/suppl/GSE96583_RAW.tar,76195840,,,counts,Contains batch2 control and stimulated MTX/barcode files
kang_genes,kang_pbmc_gse96583_singlets_raw_counts,GSE96583_batch2.genes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96583/suppl/GSE96583_batch2.genes.tsv.gz,277054,,,gene_metadata,Official batch2 gene table
kang_metadata,kang_pbmc_gse96583_singlets_raw_counts,GSE96583_batch2.total.tsne.df.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96583/suppl/GSE96583_batch2.total.tsne.df.tsv.gz,756342,,,cell_metadata,"Provides donor, stimulation, singlet and cell-type annotations"
macaque_scdml_archive,macaque_retina_gse118480_bipolar_raw_counts,macaque_raw.zip,https://media.githubusercontent.com/media/eleozzr/scDML_reproduce/main/data_used/macaque_raw.zip,58586260,sha256,01d4554956230973a9647a0946d4a7b151056504eb13bcd74aa45d150e6fc6a2,counts_and_metadata,"Verified archive: macaque_raw.h5ad is 30302 x 36162 with 30 samples"
paul15_scanpy,paul15_bone_marrow_raw_counts,paul15.h5,https://falexwolf.de/data/paul15.h5,10297693,,,counts_and_metadata,Exact upstream file used by scanpy.datasets.paul15()
tabula_muris_senis_liver_h5ad,Tabula_Muris_liver_filtered_raw_counts,tabula-muris-senis-facs-processed-official-annotations-Liver.h5ad,https://ndownloader.figshare.com/files/23872526,134053262,md5,05cb7669c7439562faa7170dc6896dce,counts_and_metadata,"Exact upstream dimensions: 2859 x 22966 and 11 Cell Ontology classes. Despite the historical SCRBenchmark name, this is the Tabula Muris Senis FACS Liver object."
tabula_muris_facs_counts,Tabula_Muris_liver_filtered_raw_counts,FACS.zip,https://ndownloader.figshare.com/files/10700143,303966623,md5,ef6e44ca2170155052591b5ab9d5d778,provenance_only,"Original Tabula Muris v8 FACS archive; its Liver table is 2859 x 23433 and is not the exact report object."
tabula_muris_facs_annotations,Tabula_Muris_liver_filtered_raw_counts,annotations_facs.csv,https://ndownloader.figshare.com/files/13088129,6990328,md5,8ba7b81d91fe569cea07c384c2d34912,provenance_only,Original Tabula Muris v8 Cell Ontology annotations; retained to document the similarly named atlas.
openproblems_pancreas,pancreas_raw_counts;pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,openproblems_pancreas_log_cp10k.h5ad,https://openproblems-data.s3.amazonaws.com/resources/datasets/openproblems_v1/pancreas/log_cp10k/dataset.h5ad,1356334299,,,reference_counts_and_metadata,"Official OpenProblems v1/scIB object; 16382 x 18771. Use its counts layer and annotations or the raw-study reconstruction below."
muraro_counts,pancreas_raw_counts;pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,GSE85241_cellsystems_dataset_4donors_updated.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85241/suppl/GSE85241_cellsystems_dataset_4donors_updated.csv.gz,17005498,,,counts_and_metadata,CEL-seq2 source
segerstolpe_counts,pancreas_raw_counts;pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,pancreas_refseq_rpkms_counts_3514sc.txt,https://www.ebi.ac.uk/biostudies/files/E-MTAB-5061/pancreas_refseq_rpkms_counts_3514sc.txt,722957491,,,counts,Smart-seq2 source
segerstolpe_metadata,pancreas_raw_counts;pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,E-MTAB-5061.sdrf.txt,https://www.ebi.ac.uk/biostudies/files/E-MTAB-5061/E-MTAB-5061.sdrf.txt,2665069,,,cell_metadata,Smart-seq2 annotations
lawlor_counts,pancreas_raw_counts;pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,GSE86469_GEO.islet.single.cell.processed.data.RSEM.raw.expected.counts.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86469/suppl/GSE86469_GEO.islet.single.cell.processed.data.RSEM.raw.expected.counts.csv.gz,12679560,,,counts_and_metadata,"Fluidigm C1 source; the correct single-cell accession is GSE86469, not GSE86473"
grun_counts,pancreas_raw_counts;pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,GSE81076_D2_3_7_10_17.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81076/suppl/GSE81076_D2_3_7_10_17.txt.gz,5608657,,,counts,CEL-seq source
xin_rpkm,pancreas_raw_counts,GSE81608_human_islets_rpkm.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81608/suppl/GSE81608_human_islets_rpkm.txt.gz,37222002,,,reference_only,"SMARTer source used when defining the common gene intersection; cells are excluded from the no-smarter artifact"
