dataset_key,dataset,source,target,mode,status,size_bytes
bbag094_zeisel,BBAG094 Zeisel,/data2/fbidet/scRAW_EXPERIMENTAL/data/bbag094_zeisel.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/bbag094_zeisel.h5ad,hardlink,hardlinked,91392110
bbag094_spleen,BBAG094 spleen,/data2/fbidet/scRAW_EXPERIMENTAL/data/bbag094_spleen.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/bbag094_spleen.h5ad,hardlink,hardlinked,102885136
baron_human_pancreas,Baron human pancreas,/data2/fbidet/scRAW_EXPERIMENTAL/data/baron_human_pancreas.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/baron_human_pancreas.h5ad,hardlink,hardlinked,40476611
gse112013_human_testis_raw_counts,Human testis GSE112013,/data2/fbidet/scRAW_EXPERIMENTAL/data/gse112013_human_testis_raw_counts.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/gse112013_human_testis_raw_counts.h5ad,hardlink,hardlinked,163522000
kang_pbmc_gse96583_singlets_raw_counts,Kang PBMC,/data2/fbidet/scRAW_EXPERIMENTAL/data/kang_pbmc_gse96583_singlets_raw_counts.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/kang_pbmc_gse96583_singlets_raw_counts.h5ad,hardlink,hardlinked,39167821
macaque_retina_gse118480_bipolar_raw_counts,Macaque retina bipolar,/data2/fbidet/scRAW_EXPERIMENTAL/data/macaque_retina_gse118480_bipolar_raw_counts.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/macaque_retina_gse118480_bipolar_raw_counts.h5ad,hardlink,hardlinked,70798877
pancreas_raw_counts,Pancreas,/data2/fbidet/scRAW_EXPERIMENTAL/data/pancreas_raw_counts_no_smarter.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/pancreas_raw_counts_no_smarter.h5ad,hardlink,hardlinked,730343208
pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,Pancreas 4 batches,/data2/fbidet/scRAW_EXPERIMENTAL/data/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2.h5ad,hardlink,hardlinked,493860720
paul15_bone_marrow_raw_counts,Paul15 bone marrow,/data2/fbidet/scRAW_EXPERIMENTAL/data/paul15_bone_marrow_raw_counts.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/paul15_bone_marrow_raw_counts.h5ad,hardlink,hardlinked,5322061
Human_Pancreas_1_raw_counts,SCIB Human Pancreas 1,/data2/fbidet/scRAW_EXPERIMENTAL/data/Human_Pancreas_1_raw_counts.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/Human_Pancreas_1_raw_counts.h5ad,hardlink,hardlinked,9804456
Human_Pancreas_2_raw_counts,SCIB Human Pancreas 2,/data2/fbidet/scRAW_EXPERIMENTAL/data/Human_Pancreas_2_raw_counts.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/Human_Pancreas_2_raw_counts.h5ad,hardlink,hardlinked,8796771
Mouse_Pancreas_1_raw_counts,SCIB Mouse Pancreas 1,/data2/fbidet/scRAW_EXPERIMENTAL/data/Mouse_Pancreas_1_raw_counts.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/Mouse_Pancreas_1_raw_counts.h5ad,hardlink,hardlinked,3683251
Tabula_Muris_liver_filtered_raw_counts,Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/data/Tabula_Muris_liver_filtered_raw_counts.h5ad,/data2/fbidet/SCRBenchmark/data/stable_generalist/Tabula_Muris_liver_filtered_raw_counts.h5ad,hardlink,hardlinked,27725941
