dataset_key,dataset,filename,size_bytes,sha256,h5ad_n_obs,h5ad_n_vars,n_labels,label_key,batch_key,source_url
bbag094_zeisel,BBAG094 Zeisel,bbag094_zeisel.h5ad,91392110,0eca23ec1db282224d838ca1d810b4b66c59e18436162f9757c2565ba66cabf3,3006,19972,10,label,batch,
bbag094_spleen,BBAG094 spleen,bbag094_spleen.h5ad,102885136,6efd0debfab6a8c2b5f9094b1afc9ecc006594027d44fe553fc6dfb357e62d92,9552,23341,5,label,batch,
baron_human_pancreas,Baron human pancreas,baron_human_pancreas.h5ad,40476611,aa784472d90c2a6cdb99cdd076525b2dbe83a7254543092eaccca25bc60e359e,8569,20125,14,label,batch,
gse112013_human_testis_raw_counts,Human testis GSE112013,gse112013_human_testis_raw_counts.h5ad,163522000,b176c789122cafbdf752f3ef78070a10a9ddd969eeb840365f41bdac60c998bc,6490,27477,13,label,batch,
kang_pbmc_gse96583_singlets_raw_counts,Kang PBMC,kang_pbmc_gse96583_singlets_raw_counts.h5ad,39167821,97efd4bc049e6c5e1148e355a8bc5462b71b379e54a2c087714d4c97cd57bd24,24679,35635,8,Group,confounded_batch,
macaque_retina_gse118480_bipolar_raw_counts,Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts.h5ad,70798877,9e38626d4c72f7a4a636d1ac76c5ae420fa4bfb31f390f1a7726dc2ee96530a7,30302,36162,12,Group,batch,
pancreas_raw_counts,Pancreas,pancreas_raw_counts_no_smarter.h5ad,730343208,389410cdb86dc93c085bd231b2d5c2587e18ea36b4288cc3279ac98e982443e6,14908,14813,14,cell_type,batch,
pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2.h5ad,493860720,2ceb087a65c5cce873aad1ab07713074ec5d49f84bf7c371ef971c2c5fbff40b,6339,14813,13,cell_type,batch,
paul15_bone_marrow_raw_counts,Paul15 bone marrow,paul15_bone_marrow_raw_counts.h5ad,5322061,dda4a8ff5538f5d98b9fa50352496670a3eb94c9185a836b5aec02c19cbc0f02,2730,3451,19,Group,batch,
Human_Pancreas_1_raw_counts,SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts.h5ad,9804456,c6e6e6329f61db90f7733f7d4264d45711e08940dfdf88ceae862a07742d850f,1937,20125,14,Group,batch,
Human_Pancreas_2_raw_counts,SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts.h5ad,8796771,1eb62d06fbd07732a17159b2a410a45031e43f2de7862481be3a59f6317fb019,1724,20125,14,Group,batch,
Mouse_Pancreas_1_raw_counts,SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts.h5ad,3683251,28d6d288bfc637effd3d8faa7a87cf6bc9195ccd0b937f58594979942fbf9e6e,822,14878,13,Group,batch,
Tabula_Muris_liver_filtered_raw_counts,Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts.h5ad,27725941,5724b6a36cecbc28ca636e4549e84e40482e11dc26259d9837d21e9c361ed3e4,2859,22966,11,Group,batch,
