config_row_id,result_row_id,dataset,dataset_key,method,trial_id,config_scope,shared_trial_datasets,config_path,trial_config_path,requested_method,selected_final_method,batch_key_detected,label_key,seed,random_state,device,batch_correction_key,batch_correction_key_effective,pseudo_label_method_effective,clustering_method,n_batches_effective,common8_support,sequencing_technology,technology_family,n_cells_group,encoder_hidden_layers,latent_dimension_z,dropout,total_epochs,phase1_warmup_epochs,mini_batch_size,reconstruction_loss_family,reconstruction_target_transform,masking_rate,masked_entry_loss_weight,gamma_cluster,omega_dens_clip_max,weight_update_interval_epochs,omega_i_max,omega_fusion_mode,triplet_start_epoch,triplet_margin,triplet_anchor_min_omega,max_triplet_anchors_per_minibatch,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_reassign_noise,grl_lambda,dann_start_epoch,dann_ramp_epochs,lambda_MMD,learning_rate_eta,theta_NB,lambda_triplet,lambda_batch,alpha_cluster_vs_density,omega_update_momentum,omega_i_min,n_encoder_hidden_layers,reconstruction_family_label,config_signature
TR206CFG_0001,SG_RUN_0009,BBAG094 Zeisel,bbag094_zeisel,scRAW (best per dataset),trial_0011,best_per_dataset,BBAG094 Zeisel,/data2/fbidet/scRAW_EXPERIMENTAL/results/generalist_ultra_search_20260327_154831/stage1/trials/trial_0011/bbag094_zeisel/seed_60/config/config_used.json,/data2/fbidet/scRAW_EXPERIMENTAL/results/generalist_ultra_search_20260327_154831/stage1/trials/trial_0011/trial_config.json,hdbscan,hdbscan_final,batch,label,60.0,60.0,cuda,batch,batch,leiden,hdbscan,10.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256",192.0,0.25,100.0,45.0,384.0,NB,Pearson residuals,0.1,0.6,0.1,3.0,20.0,10.0,multiplicative,84.0,0.4,0.8,128.0,8.0,4.0,True,1.25,55.0,50.0,0.0,0.0007872027701888,51.37907180874263,0.107759869208203,0.2280210798375418,0.2240586944006157,0.552028366977949,0.4286509681867912,2,NB + Pearson residuals,038fb65c9c37c585ea643a6b96726356
TR206CFG_0002,SG_RUN_0003,BBAG094 Zeisel,bbag094_zeisel,scRAW (best trial so far),trial_0016,best_trial_so_far,BBAG094 Zeisel | BBAG094 spleen | Baron human pancreas | Human testis GSE112013 | Kang PBMC | Macaque retina bipolar | Pancreas | Pancreas 4 batches | Paul15 bone marrow | SCIB Human Pancreas 1 | SCIB Human Pancreas 2 | SCIB Mouse Pancreas 1 | Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/results/generalist_ultra_search_20260327_154831/stage1/trials/trial_0016/bbag094_zeisel/seed_60/config/config_used.json,/data2/fbidet/scRAW_EXPERIMENTAL/results/generalist_ultra_search_20260327_154831/stage1/trials/trial_0016/trial_config.json,leiden,leiden_target10_final,batch,label,60.0,60.0,cuda,batch,batch,leiden,hdbscan,10.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256,128",192.0,0.3,210.0,36.0,192.0,MSE,log1p,0.1,0.8,0.1,8.0,20.0,8.0,additive,60.0,0.4,1.8,128.0,8.0,8.0,True,1.75,55.0,60.0,0.0,0.0023823487693607,4.349503965927903,0.1377156301454771,0.0442981325443249,0.3504751684638374,0.7260000554226008,0.4454825234722164,3,MSE + log1p,450032c1cb4c74783e3764bc1d063096
TR206CFG_0003,SG_RUN_0001,BBAG094 Zeisel,bbag094_zeisel,scRAW (default),,default,BBAG094 Zeisel | BBAG094 spleen | Baron human pancreas | Human testis GSE112013 | Kang PBMC | Macaque retina bipolar | Pancreas | Pancreas 4 batches | Paul15 bone marrow | SCIB Human Pancreas 1 | SCIB Human Pancreas 2 | SCIB Mouse Pancreas 1 | Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324/scRAW_default_from_scRAW_seed60_stage_umaps_20260421/bbag094_zeisel/seed_60/config/config_used.json,,leiden,hdbscan_final,batch,label,60.0,60.0,cuda,batch,batch,leiden,hdbscan,10.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256,128",192.0,0.3,210.0,74.0,192.0,MSE,log1p,0.15,0.8,0.7000000000000001,8.0,10.0,8.0,additive,84.0,0.4,1.8,64.0,8.0,8.0,True,1.75,55.0,60.0,0.0,0.0023367033768385,2.5815883941220323,0.2346243650039478,0.0561506963361156,0.3,0.8500000000000001,0.45,3,MSE + log1p,3d53f5767f52cb0ab5b64f2736a73061
TR206CFG_0004,SG_RUN_0002,BBAG094 Zeisel,bbag094_zeisel,scRAW (default_v2),candidate_default_v2,default_v2,BBAG094 Zeisel | BBAG094 spleen | Baron human pancreas | Human testis GSE112013 | Kang PBMC | Macaque retina bipolar | Pancreas | Pancreas 4 batches | Paul15 bone marrow | SCIB Human Pancreas 1 | SCIB Human Pancreas 2 | SCIB Mouse Pancreas 1 | Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/results/stable_generalist_nonredundant10_candidate_sweep_20260413_124501/stable_default_v2_consensus/bbag094_zeisel/seed_60/config/config_used.json,,leiden,leiden_target10_final,batch,label,60.0,60.0,cuda,batch,batch,leiden,leiden,10.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256",192.0,0.2,80.0,74.0,192.0,MSE,log1p,0.1,0.8,0.1,8.0,10.0,8.0,additive,60.0,0.4,1.0,128.0,8.0,8.0,False,0.5,55.0,55.0,0.05,0.0010689964738835,11.623582708841573,0.1928616915439295,0.0684828204412041,0.5135545572653624,0.7966299232499916,0.397700694123926,2,MSE + log1p,4fcbe17ddcb5d710c34a0bf9687c4c42
TR206CFG_0180,TR206COMP_0003,BBAG094 Zeisel,bbag094_zeisel,scRAW (stable_default no DANN + Harmony),stable_default_no_dann_harmony,stable_default_no_dann_harmony,BBAG094 Zeisel | BBAG094 spleen | Baron human pancreas | Human testis GSE112013 | Kang PBMC | Macaque retina bipolar | Pancreas | Pancreas 4 batches | Paul15 bone marrow | SCIB Human Pancreas 1 | SCIB Human Pancreas 2 | SCIB Mouse Pancreas 1 | Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324/stable_generalist_complementary_experiments_native_20260512/scraw_stable_default_no_dann_harmony/bbag094_zeisel/config/config_used.json,,leiden,hdbscan_final,batch,label,60.0,60.0,cuda,batch,,leiden,hdbscan,1.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256,128",256.0,0.3,120.0,55.0,192.0,MSE,log1p,0.1,0.8,0.2,3.0,20.0,10.0,multiplicative,60.0,0.4,1.2,64.0,8.0,6.0,False,1.0,30.0,30.0,0.0,0.0016407608329703,19.237616208909103,0.0500758178018821,0.0,0.3483603718613933,0.6884621079434989,0.3845423008053828,3,MSE + log1p,fbba706a24c0f99f996c37a6417f11e0
TR206CFG_0198,TR206COMP_0058,BBAG094 Zeisel,bbag094_zeisel,scRAW (stable_default no DANN + Harmony),stable_default_no_dann_harmony,stable_default_no_dann_harmony,BBAG094 Zeisel | BBAG094 spleen | Baron human pancreas | Human testis GSE112013 | Kang PBMC | Macaque retina bipolar | Pancreas | Pancreas 4 batches | Paul15 bone marrow | SCIB Human Pancreas 1 | SCIB Human Pancreas 2 | SCIB Mouse Pancreas 1 | Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/results/stable_generalist_no_dann_seed42_refresh_scheduled_20260528_115937/scraw_stable_default_no_dann_harmony/bbag094_zeisel/config/config_used.json,,leiden,hdbscan_final,batch,label,42.0,42.0,cuda,batch,,leiden,hdbscan,1.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256,128",256.0,0.3,120.0,55.0,192.0,MSE,log1p,0.1,0.8,0.2,3.0,20.0,10.0,multiplicative,60.0,0.4,1.2,64.0,8.0,6.0,False,1.0,30.0,30.0,0.0,0.00164076083297036,19.237616208909103,0.05007581780188212,0.0,0.3483603718613933,0.6884621079434989,0.3845423008053828,3,MSE + log1p,fbba706a24c0f99f996c37a6417f11e0
TR206CFG_0199,TR206COMP_0059,BBAG094 Zeisel,bbag094_zeisel,scRAW (stable_default no DANN),stable_default_no_dann,stable_default_no_dann,BBAG094 Zeisel | BBAG094 spleen | Baron human pancreas | Human testis GSE112013 | Kang PBMC | Macaque retina bipolar | Pancreas | Pancreas 4 batches | Paul15 bone marrow | SCIB Human Pancreas 1 | SCIB Human Pancreas 2 | SCIB Mouse Pancreas 1 | Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/results/stable_generalist_no_dann_seed42_refresh_scheduled_20260528_115937/scraw_stable_default_no_dann/bbag094_zeisel/config/config_used.json,,leiden,hdbscan_final,batch,label,42.0,42.0,cuda,batch,,leiden,hdbscan,1.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256,128",256.0,0.3,120.0,55.0,192.0,MSE,log1p,0.1,0.8,0.2,3.0,20.0,10.0,multiplicative,60.0,0.4,1.2,64.0,8.0,6.0,False,1.0,30.0,30.0,0.0,0.00164076083297036,19.237616208909103,0.05007581780188212,0.0,0.3483603718613933,0.6884621079434989,0.3845423008053828,3,MSE + log1p,fbba706a24c0f99f996c37a6417f11e0
TR206CFG_0005,SG_RUN_0016,BBAG094 Zeisel,bbag094_zeisel,scRAW (trial_0008),trial_0008,explicit_trial,BBAG094 Zeisel | BBAG094 spleen | Baron human pancreas | Human testis GSE112013 | Kang PBMC | Macaque retina bipolar | Paul15 bone marrow | Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324/scRAW trial_0008 stable_default_v2/bbag094_zeisel/seed_60/config/config_used.json,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_stable_generalist_nonbaron_20260324/scRAW trial_0008 stable_default_v2/trial_config.json,best_of_both,leiden_target10_final,batch,label,60.0,60.0,cuda,batch,batch,leiden,hdbscan,10.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256",256.0,0.3,80.0,60.0,192.0,MSE,log1p,0.2,0.8,0.1,3.0,20.0,8.0,additive,60.0,0.5,1.0,128.0,9.0,5.0,True,0.75,45.0,55.0,0.0,0.0009214891895459,14.58703066898954,0.1509053237610683,0.0553708988262211,0.3981138505636376,0.8029231571096801,0.4141165328680999,2,MSE + log1p,11371d983c59c44473814cc4ec14656c
TR206CFG_0006,SG_RUN_0017,BBAG094 Zeisel,bbag094_zeisel,scRAW (trial_0009),trial_0009,explicit_trial,BBAG094 Zeisel | BBAG094 spleen | Baron human pancreas | Human testis GSE112013 | Kang PBMC | Macaque retina bipolar | Pancreas | Pancreas 4 batches | Paul15 bone marrow | SCIB Human Pancreas 1 | SCIB Human Pancreas 2 | SCIB Mouse Pancreas 1 | Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/results/generalist_ultra_search_stage1_stable_default_v2_bestofboth_rarefocus_scib_20260413_0210/stage1/trials/trial_0009/bbag094_zeisel/seed_60/config/config_used.json,/data2/fbidet/scRAW_EXPERIMENTAL/results/generalist_ultra_search_stage1_stable_default_v2_bestofboth_rarefocus_scib_20260413_0210/stage1/trials/trial_0009/trial_config.json,best_of_both,leiden_target10_final,batch,label,60.0,60.0,cuda,batch,batch,leiden,hdbscan,10.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256",256.0,0.2,100.0,74.0,192.0,MSE,log1p,0.2,0.8,0.2,8.0,20.0,10.0,additive,84.0,0.5,1.0,128.0,8.0,5.0,True,0.5,55.0,55.0,0.05,0.0008947361247775,8.220634993032638,0.0956987556006549,0.0646853688954063,0.5334836306684376,0.8158914576114217,0.4368097033542426,2,MSE + log1p,7467a20c753f6d2251249e5e3b624d40
TR206CFG_0007,SG_RUN_0018,BBAG094 Zeisel,bbag094_zeisel,scRAW (stable_generalist),stable_generalist,explicit_trial,BBAG094 Zeisel | BBAG094 spleen | Baron human pancreas | Human testis GSE112013 | Kang PBMC | Macaque retina bipolar | Pancreas | Pancreas 4 batches | Paul15 bone marrow | SCIB Human Pancreas 1 | SCIB Human Pancreas 2 | SCIB Mouse Pancreas 1 | Tabula Muris liver,/data2/fbidet/scRAW_EXPERIMENTAL/results/optuna_stable_generalist_search_20260415_161134/phase1/stable_generalist/stage1/runs/stable_generalist_stable_generalist/bbag094_zeisel/seed_42/config/config_used.json,,leiden,leiden_target10_final,batch,label,42.0,42.0,auto,batch,batch,leiden,hdbscan,10.0,True,Fluidigm C1 / C1-STRT (UMI-based),Plate / FACS / microfluidic,Medium,"512,256,128",256.0,0.3,120.0,55.0,192.0,MSE,log1p,0.1,0.8,0.2,3.0,20.0,10.0,multiplicative,60.0,0.4,1.2,64.0,8.0,6.0,False,1.0,30.0,30.0,0.0,0.0016407608329703,19.237616208909103,0.0500758178018821,0.1176339887516649,0.3483603718613933,0.6884621079434989,0.3845423008053828,3,MSE + log1p,5912ce2b0787710312fc51437849541c
