dataset_key,status,gpu_id,run_dir,checkpoint,umap,log,return_code
Human_Pancreas_1_raw_counts,completed,1,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/Human_Pancreas_1_raw_counts/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_Human_Pancreas_1_raw_counts.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/Human_Pancreas_1_raw_counts_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/Human_Pancreas_1_raw_counts.log,0
Human_Pancreas_2_raw_counts,completed,1,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/Human_Pancreas_2_raw_counts/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_Human_Pancreas_2_raw_counts.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/Human_Pancreas_2_raw_counts_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/Human_Pancreas_2_raw_counts.log,0
Mouse_Pancreas_1_raw_counts,completed,1,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/Mouse_Pancreas_1_raw_counts/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_Mouse_Pancreas_1_raw_counts.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/Mouse_Pancreas_1_raw_counts_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/Mouse_Pancreas_1_raw_counts.log,0
Tabula_Muris_liver_filtered_raw_counts,completed,1,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/Tabula_Muris_liver_filtered_raw_counts/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_Tabula_Muris_liver_filtered_raw_counts.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/Tabula_Muris_liver_filtered_raw_counts_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/Tabula_Muris_liver_filtered_raw_counts.log,0
baron_human_pancreas,completed,1,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/baron_human_pancreas/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_baron_human_pancreas.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/baron_human_pancreas_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/baron_human_pancreas.log,0
bbag094_spleen,completed,2,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/bbag094_spleen/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_bbag094_spleen.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/bbag094_spleen_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/bbag094_spleen.log,0
bbag094_zeisel,completed,1,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/bbag094_zeisel/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_bbag094_zeisel.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/bbag094_zeisel_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/bbag094_zeisel.log,0
gse112013_human_testis_raw_counts,completed,1,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/gse112013_human_testis_raw_counts/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_gse112013_human_testis_raw_counts.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/gse112013_human_testis_raw_counts_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/gse112013_human_testis_raw_counts.log,0
kang_pbmc_gse96583_singlets_raw_counts,completed,2,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/kang_pbmc_gse96583_singlets_raw_counts/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_kang_pbmc_gse96583_singlets_raw_counts.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/kang_pbmc_gse96583_singlets_raw_counts_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/kang_pbmc_gse96583_singlets_raw_counts.log,0
macaque_retina_gse118480_bipolar_raw_counts,completed,1,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/runs/macaque_retina_gse118480_bipolar_raw_counts/seed_42,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/model_weights/checkpoints/model_macaque_retina_gse118480_bipolar_raw_counts.pt,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/figures/umaps/macaque_retina_gse118480_bipolar_raw_counts_batch_label_groundtruth_weights_umap.png,/data2/fbidet/SCRBenchmark/scraw-transductive-stable-generalist/logs/macaque_retina_gse118480_bipolar_raw_counts.log,0
