cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,-8.741277694702148,14.935458183288574,0,human1_lib1.final_cell_0001-0,acinar,acinar,single_batch,1.541144609451294
1,-9.547272682189941,14.86914348602295,0,human1_lib1.final_cell_0002-0,acinar,acinar,single_batch,1.6175894737243652
2,-8.539421081542969,14.350883483886719,0,human1_lib1.final_cell_0003-0,acinar,acinar,single_batch,1.3858532905578613
3,-9.607152938842773,14.66750717163086,0,human1_lib1.final_cell_0004-0,acinar,acinar,single_batch,1.835459589958191
4,-9.447420120239258,14.486518859863281,0,human1_lib1.final_cell_0005-0,acinar,acinar,single_batch,1.8627475500106812
5,-8.374908447265625,14.476251602172852,0,human1_lib1.final_cell_0006-0,acinar,acinar,single_batch,1.3333086967468262
6,9.713074684143066,10.203485488891602,7,human1_lib1.final_cell_0007-0,beta,beta,single_batch,0.5024577379226685
7,-8.795890808105469,14.81102466583252,0,human1_lib1.final_cell_0008-0,acinar,acinar,single_batch,1.3421249389648438
8,-9.667243957519531,14.819856643676758,0,human1_lib1.final_cell_0009-0,acinar,acinar,single_batch,1.9556325674057007
9,-8.728079795837402,14.916769027709961,0,human1_lib1.final_cell_0010-0,acinar,acinar,single_batch,1.31895112991333
10,-9.094243049621582,14.953933715820312,0,human1_lib1.final_cell_0011-0,acinar,acinar,single_batch,1.4297797679901123
11,-8.158318519592285,14.484585762023926,0,human1_lib1.final_cell_0012-0,acinar,acinar,single_batch,1.3173978328704834
12,-4.648963451385498,-7.675171852111816,8,human1_lib1.final_cell_0013-0,delta,delta,single_batch,0.5404046177864075
13,-5.641910076141357,-7.116649150848389,8,human1_lib1.final_cell_0014-0,delta,delta,single_batch,0.49053865671157837
14,12.778421401977539,9.150280952453613,7,human1_lib1.final_cell_0015-0,beta,beta,single_batch,0.4412235915660858
15,-7.995482444763184,4.591026306152344,3,human1_lib1.final_cell_0016-0,activated_stellate,activated_stellate,single_batch,2.728938341140747
16,7.821581840515137,13.207889556884766,7,human1_lib1.final_cell_0017-0,beta,beta,single_batch,0.4232386350631714
17,-9.351719856262207,14.919060707092285,0,human1_lib1.final_cell_0018-0,acinar,acinar,single_batch,1.5566143989562988
18,9.646698951721191,-7.028467178344727,4,human1_lib1.final_cell_0019-0,ductal,ductal,single_batch,2.0901315212249756
