cell_index,scraw_reconstruction_weight,cell_id
0,1.541144609451294,human1_lib1.final_cell_0001-0
1,1.6175894737243652,human1_lib1.final_cell_0002-0
2,1.3858532905578613,human1_lib1.final_cell_0003-0
3,1.835459589958191,human1_lib1.final_cell_0004-0
4,1.8627475500106812,human1_lib1.final_cell_0005-0
5,1.3333086967468262,human1_lib1.final_cell_0006-0
6,0.5024577379226685,human1_lib1.final_cell_0007-0
7,1.3421249389648438,human1_lib1.final_cell_0008-0
8,1.9556325674057007,human1_lib1.final_cell_0009-0
9,1.31895112991333,human1_lib1.final_cell_0010-0
10,1.4297797679901123,human1_lib1.final_cell_0011-0
11,1.3173978328704834,human1_lib1.final_cell_0012-0
12,0.5404046177864075,human1_lib1.final_cell_0013-0
13,0.49053865671157837,human1_lib1.final_cell_0014-0
14,0.4412235915660858,human1_lib1.final_cell_0015-0
15,2.728938341140747,human1_lib1.final_cell_0016-0
16,0.4232386350631714,human1_lib1.final_cell_0017-0
17,1.5566143989562988,human1_lib1.final_cell_0018-0
18,2.0901315212249756,human1_lib1.final_cell_0019-0
19,0.41672760248184204,human1_lib1.final_cell_0020-0
20,0.3845422863960266,human1_lib1.final_cell_0021-0
21,0.6116410493850708,human1_lib1.final_cell_0022-0
22,1.9002656936645508,human1_lib1.final_cell_0023-0
23,0.39164847135543823,human1_lib1.final_cell_0024-0
24,0.5913106203079224,human1_lib1.final_cell_0025-0
25,0.5865452289581299,human1_lib1.final_cell_0026-0
26,0.3845422863960266,human1_lib1.final_cell_0027-0
27,2.4253878593444824,human1_lib1.final_cell_0028-0
28,2.003734588623047,human1_lib1.final_cell_0029-0
29,0.3845422863960266,human1_lib1.final_cell_0030-0
30,0.7875916361808777,human1_lib1.final_cell_0031-0
31,0.5785980224609375,human1_lib1.final_cell_0032-0
32,0.7046263217926025,human1_lib1.final_cell_0033-0
33,1.0422754287719727,human1_lib1.final_cell_0034-0
34,0.38561737537384033,human1_lib1.final_cell_0035-0
35,1.6635750532150269,human1_lib1.final_cell_0036-0
36,0.38501423597335815,human1_lib1.final_cell_0037-0
37,0.3845422863960266,human1_lib1.final_cell_0038-0
38,0.4512825608253479,human1_lib1.final_cell_0039-0
39,0.5967558026313782,human1_lib1.final_cell_0040-0
40,2.187718629837036,human1_lib1.final_cell_0041-0
41,0.3845422863960266,human1_lib1.final_cell_0042-0
42,0.5885795950889587,human1_lib1.final_cell_0043-0
43,2.728938341140747,human1_lib1.final_cell_0044-0
44,2.728938341140747,human1_lib1.final_cell_0045-0
45,2.5773792266845703,human1_lib1.final_cell_0046-0
46,1.25654935836792,human1_lib1.final_cell_0047-0
47,2.5546066761016846,human1_lib1.final_cell_0048-0
48,0.5125263929367065,human1_lib1.final_cell_0049-0
49,0.3845422863960266,human1_lib1.final_cell_0050-0
50,0.4803943932056427,human1_lib1.final_cell_0051-0
51,0.5552680492401123,human1_lib1.final_cell_0052-0
52,1.3746358156204224,human1_lib1.final_cell_0053-0
53,0.3845422863960266,human1_lib1.final_cell_0054-0
54,0.3845422863960266,human1_lib1.final_cell_0055-0
55,2.534712314605713,human1_lib1.final_cell_0056-0
56,0.4440416991710663,human1_lib1.final_cell_0057-0
57,0.3845422863960266,human1_lib1.final_cell_0058-0
58,0.38843539357185364,human1_lib1.final_cell_0059-0
59,0.5209532380104065,human1_lib1.final_cell_0060-0
60,1.4419597387313843,human1_lib1.final_cell_0061-0
61,0.5153125524520874,human1_lib1.final_cell_0062-0
62,0.575056791305542,human1_lib1.final_cell_0063-0
63,2.288738965988159,human1_lib1.final_cell_0064-0
64,2.288738965988159,human1_lib1.final_cell_0065-0
65,1.3687623739242554,human1_lib1.final_cell_0066-0
66,0.43561065196990967,human1_lib1.final_cell_0067-0
67,0.3845422863960266,human1_lib1.final_cell_0068-0
68,0.4525778293609619,human1_lib1.final_cell_0069-0
69,0.49565446376800537,human1_lib1.final_cell_0070-0
70,0.7424759268760681,human1_lib1.final_cell_0071-0
71,0.5597758293151855,human1_lib1.final_cell_0072-0
72,0.4169059097766876,human1_lib1.final_cell_0073-0
73,0.9865509867668152,human1_lib1.final_cell_0074-0
74,0.408006876707077,human1_lib1.final_cell_0075-0
75,0.3845422863960266,human1_lib1.final_cell_0076-0
76,0.5982011556625366,human1_lib1.final_cell_0077-0
77,0.5751919746398926,human1_lib1.final_cell_0078-0
78,0.3845422863960266,human1_lib1.final_cell_0079-0
79,0.7601382732391357,human1_lib1.final_cell_0080-0
80,0.3845422863960266,human1_lib1.final_cell_0081-0
81,0.3845422863960266,human1_lib1.final_cell_0082-0
82,0.3845422863960266,human1_lib1.final_cell_0083-0
83,1.2606205940246582,human1_lib1.final_cell_0084-0
84,2.4487242698669434,human1_lib1.final_cell_0085-0
85,0.46332356333732605,human1_lib1.final_cell_0086-0
86,0.5914660692214966,human1_lib1.final_cell_0087-0
87,0.38994336128234863,human1_lib1.final_cell_0088-0
88,0.41053885221481323,human1_lib1.final_cell_0089-0
89,0.3845422863960266,human1_lib1.final_cell_0090-0
90,0.5302124619483948,human1_lib1.final_cell_0091-0
91,0.3845422863960266,human1_lib1.final_cell_0092-0
92,0.3845422863960266,human1_lib1.final_cell_0093-0
93,0.9217130541801453,human1_lib1.final_cell_0094-0
94,0.3845422863960266,human1_lib1.final_cell_0095-0
95,1.1564944982528687,human1_lib1.final_cell_0096-0
96,0.4761064052581787,human1_lib1.final_cell_0097-0
97,0.7846770882606506,human1_lib1.final_cell_0098-0
98,0.8365808129310608,human1_lib1.final_cell_0099-0
99,0.3845422863960266,human1_lib1.final_cell_0100-0
100,0.5906943678855896,human1_lib1.final_cell_0101-0
101,0.5935646295547485,human1_lib1.final_cell_0102-0
102,0.8859085440635681,human1_lib1.final_cell_0103-0
103,0.5927250981330872,human1_lib1.final_cell_0104-0
104,0.40814435482025146,human1_lib1.final_cell_0105-0
105,0.4361228048801422,human1_lib1.final_cell_0106-0
106,0.5765274167060852,human1_lib1.final_cell_0107-0
107,0.40253040194511414,human1_lib1.final_cell_0108-0
108,1.8834549188613892,human1_lib1.final_cell_0109-0
109,0.6978471279144287,human1_lib1.final_cell_0110-0
110,0.3845422863960266,human1_lib1.final_cell_0111-0
111,0.42677292227745056,human1_lib1.final_cell_0112-0
112,0.7382709980010986,human1_lib1.final_cell_0113-0
113,0.42940428853034973,human1_lib1.final_cell_0114-0
114,0.3845422863960266,human1_lib1.final_cell_0115-0
115,0.3845422863960266,human1_lib1.final_cell_0116-0
116,0.5726290941238403,human1_lib1.final_cell_0117-0
117,0.4333781898021698,human1_lib1.final_cell_0118-0
118,0.5966582894325256,human1_lib1.final_cell_0119-0
119,0.3845422863960266,human1_lib1.final_cell_0120-0
120,0.44873636960983276,human1_lib1.final_cell_0121-0
121,0.4134293496608734,human1_lib1.final_cell_0122-0
122,0.8786511421203613,human1_lib1.final_cell_0123-0
123,0.3845422863960266,human1_lib1.final_cell_0124-0
124,0.3845422863960266,human1_lib1.final_cell_0125-0
125,0.518746554851532,human1_lib1.final_cell_0126-0
126,0.9253135323524475,human1_lib1.final_cell_0127-0
127,0.3949114680290222,human1_lib1.final_cell_0128-0
128,0.718805730342865,human1_lib1.final_cell_0129-0
129,0.3845422863960266,human1_lib1.final_cell_0130-0
130,0.9550041556358337,human1_lib1.final_cell_0131-0
131,0.6957435011863708,human1_lib1.final_cell_0132-0
132,0.3961702287197113,human1_lib1.final_cell_0133-0
133,1.5295275449752808,human1_lib1.final_cell_0134-0
134,0.4978797435760498,human1_lib1.final_cell_0135-0
135,0.3845422863960266,human1_lib1.final_cell_0136-0
