hdbscan_final,leiden_target14_final,true_label
5,2,delta
5,2,delta
3,1,alpha
5,2,delta
5,2,delta
5,2,delta
5,2,delta
5,2,delta
9,8,activated_stellate
1,7,ductal
5,2,delta
5,2,delta
3,1,alpha
5,2,delta
3,0,alpha
3,1,alpha
7,5,beta
0,4,ductal
3,0,alpha
3,1,alpha
1,7,ductal
3,1,alpha
3,1,alpha
5,2,delta
1,7,ductal
3,1,alpha
5,2,delta
0,9,ductal
0,4,ductal
1,7,ductal
11,13,activated_stellate
0,4,ductal
3,6,alpha
5,2,delta
5,2,delta
5,2,delta
3,1,alpha
1,7,ductal
3,0,alpha
6,11,macrophage
3,0,alpha
5,2,delta
1,7,ductal
5,2,delta
3,1,alpha
3,0,alpha
3,1,alpha
3,1,alpha
0,4,ductal
9,8,activated_stellate
1,7,ductal
3,0,alpha
10,13,quiescent_stellate
8,10,beta
3,0,alpha
7,3,beta
7,3,beta
7,3,beta
3,1,alpha
5,2,delta
5,2,delta
3,1,alpha
7,3,beta
3,1,alpha
3,0,alpha
3,1,alpha
0,4,ductal
7,5,beta
0,4,ductal
9,8,activated_stellate
1,7,ductal
3,6,alpha
7,3,beta
1,7,ductal
3,0,alpha
7,3,beta
3,0,alpha
1,7,ductal
3,0,alpha
7,3,beta
3,1,alpha
0,4,ductal
1,7,ductal
3,0,alpha
3,0,alpha
1,7,ductal
3,1,alpha
3,1,alpha
3,1,alpha
7,3,beta
3,1,alpha
11,3,beta
3,0,alpha
1,7,ductal
5,2,delta
5,2,gamma
3,6,alpha
0,4,ductal
3,1,alpha
7,5,beta
7,5,beta
5,2,gamma
3,6,alpha
5,2,delta
7,3,beta
3,0,alpha
8,10,beta
3,0,alpha
3,0,alpha
3,6,alpha
8,10,beta
0,4,ductal
0,4,ductal
3,0,alpha
7,3,beta
3,1,alpha
1,7,ductal
3,0,alpha
7,5,beta
3,1,alpha
0,4,ductal
3,1,alpha
5,2,delta
7,5,beta
1,7,ductal
7,3,beta
3,0,alpha
7,3,beta
0,9,ductal
3,0,alpha
3,0,alpha
3,0,alpha
3,0,alpha
0,9,ductal
3,0,alpha
0,4,ductal
7,3,beta
1,7,ductal
7,3,beta
3,0,alpha
7,3,beta
3,0,alpha
9,8,activated_stellate
3,0,alpha
7,5,beta
3,0,alpha
3,1,alpha
3,0,alpha
3,1,alpha
7,5,beta
0,4,ductal
9,8,activated_stellate
3,0,alpha
3,0,alpha
0,4,ductal
5,2,delta
3,1,alpha
3,1,alpha
0,9,ductal
0,4,ductal
3,1,alpha
3,0,alpha
3,6,alpha
3,1,alpha
9,8,activated_stellate
3,0,alpha
6,11,macrophage
3,0,alpha
5,2,delta
3,1,alpha
9,8,activated_stellate
3,0,alpha
5,2,delta
3,1,alpha
3,0,alpha
3,6,alpha
0,4,ductal
3,0,alpha
3,0,alpha
3,1,alpha
1,7,ductal
7,5,beta
7,3,beta
3,0,alpha
5,2,gamma
1,7,ductal
