cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch
0,human2_lib1.final_cell_0001-1,5,delta,delta,single_batch
1,human2_lib1.final_cell_0002-1,5,delta,delta,single_batch
2,human2_lib1.final_cell_0003-1,3,alpha,alpha,single_batch
3,human2_lib1.final_cell_0004-1,5,delta,delta,single_batch
4,human2_lib1.final_cell_0005-1,5,delta,delta,single_batch
5,human2_lib1.final_cell_0006-1,5,delta,delta,single_batch
6,human2_lib1.final_cell_0007-1,5,delta,delta,single_batch
7,human2_lib1.final_cell_0008-1,5,delta,delta,single_batch
8,human2_lib1.final_cell_0009-1,9,activated_stellate,activated_stellate,single_batch
9,human2_lib1.final_cell_0010-1,1,ductal,acinar,single_batch
10,human2_lib1.final_cell_0011-1,5,delta,delta,single_batch
11,human2_lib1.final_cell_0012-1,5,delta,delta,single_batch
12,human2_lib1.final_cell_0013-1,3,alpha,alpha,single_batch
13,human2_lib1.final_cell_0014-1,5,delta,delta,single_batch
14,human2_lib1.final_cell_0015-1,3,alpha,alpha,single_batch
15,human2_lib1.final_cell_0016-1,3,alpha,alpha,single_batch
16,human2_lib1.final_cell_0017-1,7,beta,beta,single_batch
17,human2_lib1.final_cell_0018-1,0,ductal,ductal,single_batch
18,human2_lib1.final_cell_0019-1,3,alpha,alpha,single_batch
19,human2_lib1.final_cell_0020-1,3,alpha,alpha,single_batch
20,human2_lib1.final_cell_0021-1,1,ductal,acinar,single_batch
21,human2_lib1.final_cell_0022-1,3,alpha,alpha,single_batch
22,human2_lib1.final_cell_0023-1,3,alpha,alpha,single_batch
23,human2_lib1.final_cell_0024-1,5,delta,delta,single_batch
24,human2_lib1.final_cell_0025-1,1,ductal,acinar,single_batch
25,human2_lib1.final_cell_0026-1,3,alpha,alpha,single_batch
26,human2_lib1.final_cell_0027-1,5,delta,delta,single_batch
27,human2_lib1.final_cell_0028-1,0,ductal,ductal,single_batch
28,human2_lib1.final_cell_0029-1,0,ductal,ductal,single_batch
29,human2_lib1.final_cell_0030-1,1,ductal,acinar,single_batch
30,human2_lib1.final_cell_0031-1,11,activated_stellate,t_cell,single_batch
31,human2_lib1.final_cell_0032-1,0,ductal,ductal,single_batch
32,human2_lib1.final_cell_0033-1,3,alpha,alpha,single_batch
33,human2_lib1.final_cell_0034-1,5,delta,delta,single_batch
34,human2_lib1.final_cell_0035-1,5,delta,delta,single_batch
35,human2_lib1.final_cell_0036-1,5,delta,delta,single_batch
36,human2_lib1.final_cell_0037-1,3,alpha,alpha,single_batch
37,human2_lib1.final_cell_0038-1,1,ductal,acinar,single_batch
38,human2_lib1.final_cell_0039-1,3,alpha,alpha,single_batch
39,human2_lib1.final_cell_0040-1,6,macrophage,macrophage,single_batch
40,human2_lib1.final_cell_0041-1,3,alpha,alpha,single_batch
41,human2_lib1.final_cell_0042-1,5,delta,delta,single_batch
42,human2_lib1.final_cell_0043-1,1,ductal,acinar,single_batch
43,human2_lib1.final_cell_0044-1,5,delta,delta,single_batch
44,human2_lib1.final_cell_0045-1,3,alpha,alpha,single_batch
45,human2_lib1.final_cell_0046-1,3,alpha,alpha,single_batch
46,human2_lib1.final_cell_0047-1,3,alpha,alpha,single_batch
47,human2_lib1.final_cell_0048-1,3,alpha,alpha,single_batch
48,human2_lib1.final_cell_0049-1,0,ductal,ductal,single_batch
49,human2_lib1.final_cell_0050-1,9,activated_stellate,activated_stellate,single_batch
50,human2_lib1.final_cell_0051-1,1,ductal,acinar,single_batch
51,human2_lib1.final_cell_0052-1,3,alpha,alpha,single_batch
52,human2_lib1.final_cell_0053-1,10,quiescent_stellate,quiescent_stellate,single_batch
53,human2_lib1.final_cell_0054-1,8,beta,epsilon,single_batch
54,human2_lib1.final_cell_0055-1,3,alpha,alpha,single_batch
55,human2_lib1.final_cell_0056-1,7,beta,beta,single_batch
56,human2_lib1.final_cell_0057-1,7,beta,beta,single_batch
57,human2_lib1.final_cell_0058-1,7,beta,beta,single_batch
58,human2_lib1.final_cell_0059-1,3,alpha,alpha,single_batch
59,human2_lib1.final_cell_0060-1,5,delta,delta,single_batch
60,human2_lib1.final_cell_0061-1,5,delta,delta,single_batch
61,human2_lib1.final_cell_0062-1,3,alpha,alpha,single_batch
62,human2_lib1.final_cell_0063-1,7,beta,beta,single_batch
63,human2_lib1.final_cell_0064-1,3,alpha,alpha,single_batch
64,human2_lib1.final_cell_0065-1,3,alpha,alpha,single_batch
65,human2_lib1.final_cell_0066-1,3,alpha,alpha,single_batch
66,human2_lib1.final_cell_0067-1,0,ductal,ductal,single_batch
67,human2_lib1.final_cell_0068-1,7,beta,beta,single_batch
68,human2_lib1.final_cell_0069-1,0,ductal,ductal,single_batch
69,human2_lib1.final_cell_0070-1,9,activated_stellate,activated_stellate,single_batch
70,human2_lib1.final_cell_0071-1,1,ductal,acinar,single_batch
71,human2_lib1.final_cell_0072-1,3,alpha,alpha,single_batch
72,human2_lib1.final_cell_0073-1,7,beta,beta,single_batch
73,human2_lib1.final_cell_0074-1,1,ductal,acinar,single_batch
74,human2_lib1.final_cell_0075-1,3,alpha,alpha,single_batch
75,human2_lib1.final_cell_0076-1,7,beta,beta,single_batch
76,human2_lib1.final_cell_0077-1,3,alpha,alpha,single_batch
77,human2_lib1.final_cell_0078-1,1,ductal,acinar,single_batch
78,human2_lib1.final_cell_0079-1,3,alpha,alpha,single_batch
79,human2_lib1.final_cell_0080-1,7,beta,beta,single_batch
80,human2_lib1.final_cell_0081-1,3,alpha,alpha,single_batch
81,human2_lib1.final_cell_0082-1,0,ductal,ductal,single_batch
82,human2_lib1.final_cell_0083-1,1,ductal,acinar,single_batch
83,human2_lib1.final_cell_0084-1,3,alpha,alpha,single_batch
84,human2_lib1.final_cell_0085-1,3,alpha,alpha,single_batch
85,human2_lib1.final_cell_0086-1,1,ductal,acinar,single_batch
86,human2_lib1.final_cell_0087-1,3,alpha,alpha,single_batch
87,human2_lib1.final_cell_0088-1,3,alpha,alpha,single_batch
88,human2_lib1.final_cell_0089-1,3,alpha,alpha,single_batch
89,human2_lib1.final_cell_0090-1,7,beta,beta,single_batch
90,human2_lib1.final_cell_0091-1,3,alpha,alpha,single_batch
91,human2_lib1.final_cell_0092-1,11,beta,t_cell,single_batch
92,human2_lib1.final_cell_0093-1,3,alpha,alpha,single_batch
93,human2_lib1.final_cell_0094-1,1,ductal,acinar,single_batch
94,human2_lib1.final_cell_0095-1,5,delta,delta,single_batch
95,human2_lib1.final_cell_0096-1,5,gamma,delta,single_batch
96,human2_lib1.final_cell_0097-1,3,alpha,alpha,single_batch
97,human2_lib1.final_cell_0098-1,0,ductal,ductal,single_batch
98,human2_lib1.final_cell_0099-1,3,alpha,alpha,single_batch
99,human2_lib1.final_cell_0100-1,7,beta,beta,single_batch
100,human2_lib1.final_cell_0101-1,7,beta,beta,single_batch
101,human2_lib1.final_cell_0102-1,5,gamma,delta,single_batch
102,human2_lib1.final_cell_0103-1,3,alpha,alpha,single_batch
103,human2_lib1.final_cell_0104-1,5,delta,delta,single_batch
104,human2_lib1.final_cell_0105-1,7,beta,beta,single_batch
105,human2_lib1.final_cell_0106-1,3,alpha,alpha,single_batch
106,human2_lib1.final_cell_0107-1,8,beta,epsilon,single_batch
107,human2_lib1.final_cell_0108-1,3,alpha,alpha,single_batch
108,human2_lib1.final_cell_0109-1,3,alpha,alpha,single_batch
109,human2_lib1.final_cell_0110-1,3,alpha,alpha,single_batch
110,human2_lib1.final_cell_0111-1,8,beta,epsilon,single_batch
111,human2_lib1.final_cell_0112-1,0,ductal,ductal,single_batch
112,human2_lib1.final_cell_0113-1,0,ductal,ductal,single_batch
113,human2_lib1.final_cell_0114-1,3,alpha,alpha,single_batch
114,human2_lib1.final_cell_0115-1,7,beta,beta,single_batch
115,human2_lib1.final_cell_0116-1,3,alpha,alpha,single_batch
116,human2_lib1.final_cell_0117-1,1,ductal,acinar,single_batch
117,human2_lib1.final_cell_0118-1,3,alpha,alpha,single_batch
118,human2_lib1.final_cell_0119-1,7,beta,beta,single_batch
119,human2_lib1.final_cell_0120-1,3,alpha,alpha,single_batch
120,human2_lib1.final_cell_0121-1,0,ductal,ductal,single_batch
121,human2_lib1.final_cell_0122-1,3,alpha,alpha,single_batch
122,human2_lib1.final_cell_0123-1,5,delta,delta,single_batch
123,human2_lib1.final_cell_0124-1,7,beta,beta,single_batch
124,human2_lib1.final_cell_0125-1,1,ductal,acinar,single_batch
125,human2_lib1.final_cell_0126-1,7,beta,beta,single_batch
126,human2_lib1.final_cell_0127-1,3,alpha,alpha,single_batch
127,human2_lib1.final_cell_0128-1,7,beta,beta,single_batch
128,human2_lib1.final_cell_0129-1,0,ductal,ductal,single_batch
129,human2_lib1.final_cell_0130-1,3,alpha,alpha,single_batch
130,human2_lib1.final_cell_0131-1,3,alpha,alpha,single_batch
131,human2_lib1.final_cell_0132-1,3,alpha,alpha,single_batch
132,human2_lib1.final_cell_0133-1,3,alpha,alpha,single_batch
133,human2_lib1.final_cell_0134-1,0,ductal,ductal,single_batch
134,human2_lib1.final_cell_0135-1,3,alpha,alpha,single_batch
135,human2_lib1.final_cell_0136-1,0,ductal,ductal,single_batch
136,human2_lib1.final_cell_0137-1,7,beta,beta,single_batch
137,human2_lib1.final_cell_0138-1,1,ductal,acinar,single_batch
138,human2_lib1.final_cell_0139-1,7,beta,beta,single_batch
139,human2_lib1.final_cell_0140-1,3,alpha,alpha,single_batch
140,human2_lib1.final_cell_0141-1,7,beta,beta,single_batch
141,human2_lib1.final_cell_0142-1,3,alpha,alpha,single_batch
142,human2_lib1.final_cell_0143-1,9,activated_stellate,activated_stellate,single_batch
143,human2_lib1.final_cell_0144-1,3,alpha,alpha,single_batch
144,human2_lib1.final_cell_0145-1,7,beta,beta,single_batch
145,human2_lib1.final_cell_0146-1,3,alpha,alpha,single_batch
146,human2_lib1.final_cell_0147-1,3,alpha,alpha,single_batch
147,human2_lib1.final_cell_0148-1,3,alpha,alpha,single_batch
148,human2_lib1.final_cell_0149-1,3,alpha,alpha,single_batch
