cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch
0,mouse1_lib1.final_cell_0001,5,beta,beta,single_batch
1,mouse1_lib1.final_cell_0002,3,ductal,ductal,single_batch
2,mouse1_lib1.final_cell_0003,7,delta,delta,single_batch
3,mouse1_lib1.final_cell_0004,3,schwann,ductal,single_batch
4,mouse1_lib1.final_cell_0005,7,delta,delta,single_batch
5,mouse1_lib1.final_cell_0006,5,beta,beta,single_batch
6,mouse1_lib1.final_cell_0007,5,beta,beta,single_batch
7,mouse1_lib1.final_cell_0008,5,beta,beta,single_batch
8,mouse1_lib1.final_cell_0009,5,beta,beta,single_batch
9,mouse1_lib1.final_cell_0010,3,ductal,ductal,single_batch
10,mouse1_lib1.final_cell_0011,4,ductal,T_cell,single_batch
11,mouse1_lib1.final_cell_0012,5,beta,beta,single_batch
12,mouse1_lib1.final_cell_0013,6,beta,gamma,single_batch
13,mouse1_lib1.final_cell_0014,6,delta,gamma,single_batch
14,mouse1_lib1.final_cell_0015,5,beta,beta,single_batch
15,mouse1_lib1.final_cell_0016,4,ductal,T_cell,single_batch
16,mouse1_lib1.final_cell_0017,5,beta,beta,single_batch
17,mouse1_lib1.final_cell_0018,2,quiescent_stellate,quiescent_stellate,single_batch
18,mouse1_lib1.final_cell_0019,4,ductal,T_cell,single_batch
19,mouse1_lib1.final_cell_0020,3,ductal,ductal,single_batch
20,mouse1_lib1.final_cell_0021,5,beta,beta,single_batch
21,mouse1_lib1.final_cell_0022,5,beta,beta,single_batch
22,mouse1_lib1.final_cell_0023,5,beta,beta,single_batch
23,mouse1_lib1.final_cell_0024,7,delta,delta,single_batch
24,mouse1_lib1.final_cell_0025,2,quiescent_stellate,quiescent_stellate,single_batch
25,mouse1_lib1.final_cell_0026,0,endothelial,endothelial,single_batch
26,mouse1_lib1.final_cell_0027,3,ductal,ductal,single_batch
27,mouse1_lib1.final_cell_0028,3,ductal,ductal,single_batch
28,mouse1_lib1.final_cell_0029,5,beta,beta,single_batch
29,mouse1_lib1.final_cell_0030,4,ductal,T_cell,single_batch
30,mouse1_lib1.final_cell_0031,4,ductal,T_cell,single_batch
31,mouse1_lib1.final_cell_0032,3,ductal,ductal,single_batch
32,mouse1_lib1.final_cell_0033,6,gamma,gamma,single_batch
33,mouse1_lib1.final_cell_0034,5,beta,beta,single_batch
34,mouse1_lib1.final_cell_0035,5,beta,beta,single_batch
35,mouse1_lib1.final_cell_0036,3,ductal,ductal,single_batch
36,mouse1_lib1.final_cell_0037,4,ductal,T_cell,single_batch
37,mouse1_lib1.final_cell_0038,4,ductal,T_cell,single_batch
38,mouse1_lib1.final_cell_0039,7,delta,delta,single_batch
39,mouse1_lib1.final_cell_0040,5,beta,beta,single_batch
40,mouse1_lib1.final_cell_0041,5,beta,beta,single_batch
41,mouse1_lib1.final_cell_0042,3,ductal,ductal,single_batch
42,mouse1_lib1.final_cell_0043,7,delta,delta,single_batch
43,mouse1_lib1.final_cell_0044,0,endothelial,endothelial,single_batch
44,mouse1_lib1.final_cell_0045,5,beta,beta,single_batch
45,mouse1_lib1.final_cell_0046,5,beta,beta,single_batch
46,mouse1_lib1.final_cell_0047,6,alpha,gamma,single_batch
47,mouse1_lib1.final_cell_0048,4,ductal,T_cell,single_batch
48,mouse1_lib1.final_cell_0049,5,beta,beta,single_batch
49,mouse1_lib1.final_cell_0050,4,ductal,T_cell,single_batch
50,mouse1_lib1.final_cell_0051,6,gamma,gamma,single_batch
51,mouse1_lib1.final_cell_0052,5,beta,beta,single_batch
52,mouse1_lib1.final_cell_0053,4,ductal,T_cell,single_batch
53,mouse1_lib1.final_cell_0054,4,ductal,T_cell,single_batch
54,mouse1_lib1.final_cell_0055,4,ductal,T_cell,single_batch
55,mouse1_lib1.final_cell_0056,5,beta,beta,single_batch
56,mouse1_lib1.final_cell_0057,3,ductal,ductal,single_batch
57,mouse1_lib1.final_cell_0058,0,endothelial,endothelial,single_batch
58,mouse1_lib1.final_cell_0059,3,ductal,ductal,single_batch
59,mouse1_lib1.final_cell_0060,5,beta,beta,single_batch
60,mouse1_lib1.final_cell_0061,5,beta,beta,single_batch
61,mouse1_lib1.final_cell_0062,4,ductal,T_cell,single_batch
62,mouse1_lib1.final_cell_0063,3,ductal,ductal,single_batch
63,mouse1_lib1.final_cell_0064,0,endothelial,endothelial,single_batch
64,mouse1_lib1.final_cell_0065,5,beta,beta,single_batch
65,mouse1_lib1.final_cell_0066,5,beta,beta,single_batch
66,mouse1_lib1.final_cell_0067,3,ductal,ductal,single_batch
67,mouse1_lib1.final_cell_0068,5,beta,beta,single_batch
68,mouse1_lib1.final_cell_0069,0,endothelial,endothelial,single_batch
69,mouse1_lib1.final_cell_0070,3,ductal,ductal,single_batch
70,mouse1_lib1.final_cell_0071,5,beta,beta,single_batch
71,mouse1_lib1.final_cell_0072,5,beta,beta,single_batch
72,mouse1_lib1.final_cell_0073,0,endothelial,endothelial,single_batch
73,mouse1_lib1.final_cell_0074,5,beta,beta,single_batch
74,mouse1_lib1.final_cell_0075,5,beta,beta,single_batch
75,mouse1_lib1.final_cell_0076,4,ductal,T_cell,single_batch
76,mouse1_lib1.final_cell_0077,5,beta,beta,single_batch
77,mouse1_lib1.final_cell_0078,4,ductal,T_cell,single_batch
78,mouse1_lib1.final_cell_0079,2,quiescent_stellate,quiescent_stellate,single_batch
79,mouse1_lib1.final_cell_0080,5,beta,beta,single_batch
80,mouse1_lib1.final_cell_0081,4,ductal,T_cell,single_batch
81,mouse1_lib1.final_cell_0082,3,ductal,ductal,single_batch
82,mouse1_lib1.final_cell_0083,7,delta,delta,single_batch
83,mouse1_lib1.final_cell_0084,6,alpha,gamma,single_batch
84,mouse1_lib1.final_cell_0085,4,ductal,T_cell,single_batch
85,mouse1_lib1.final_cell_0086,5,beta,beta,single_batch
86,mouse1_lib1.final_cell_0087,4,ductal,T_cell,single_batch
