cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,-1.9156198501586914,1.5570954084396362,5,mouse1_lib1.final_cell_0001,beta,beta,single_batch,0.3845422863960266
1,4.754857063293457,7.658990859985352,3,mouse1_lib1.final_cell_0002,ductal,ductal,single_batch,0.9666635990142822
2,8.176507949829102,17.22059440612793,7,mouse1_lib1.final_cell_0003,delta,delta,single_batch,1.674719214439392
3,6.650660037994385,6.646870136260986,3,mouse1_lib1.final_cell_0004,schwann,ductal,single_batch,2.017502546310425
4,7.001932144165039,16.716901779174805,7,mouse1_lib1.final_cell_0005,delta,delta,single_batch,1.0855908393859863
5,-3.2625255584716797,2.5695316791534424,5,mouse1_lib1.final_cell_0006,beta,beta,single_batch,0.5170900225639343
6,-3.7083799839019775,4.494027137756348,5,mouse1_lib1.final_cell_0007,beta,beta,single_batch,0.3845422863960266
7,-1.8664661645889282,4.2661356925964355,5,mouse1_lib1.final_cell_0008,beta,beta,single_batch,0.3845422863960266
8,-2.2706189155578613,4.201354026794434,5,mouse1_lib1.final_cell_0009,beta,beta,single_batch,0.3962565064430237
9,4.5250163078308105,8.59993839263916,3,mouse1_lib1.final_cell_0010,ductal,ductal,single_batch,1.0874645709991455
10,-11.703471183776855,-3.4852542877197266,4,mouse1_lib1.final_cell_0011,ductal,T_cell,single_batch,1.2599818706512451
11,-1.4487875699996948,3.147449493408203,5,mouse1_lib1.final_cell_0012,beta,beta,single_batch,0.3845422863960266
12,11.240489959716797,-2.2947885990142822,6,mouse1_lib1.final_cell_0013,beta,gamma,single_batch,1.237489938735962
13,12.072027206420898,-1.031972050666809,6,mouse1_lib1.final_cell_0014,delta,gamma,single_batch,1.390457272529602
14,-1.7349474430084229,3.3025546073913574,5,mouse1_lib1.final_cell_0015,beta,beta,single_batch,0.3845422863960266
15,-13.433873176574707,-2.5326640605926514,4,mouse1_lib1.final_cell_0016,ductal,T_cell,single_batch,0.794182538986206
16,-1.2067586183547974,1.8382152318954468,5,mouse1_lib1.final_cell_0017,beta,beta,single_batch,0.3845422863960266
17,14.118309020996094,2.020263671875,2,mouse1_lib1.final_cell_0018,quiescent_stellate,quiescent_stellate,single_batch,2.5735983848571777
18,-12.049819946289062,-3.672996759414673,4,mouse1_lib1.final_cell_0019,ductal,T_cell,single_batch,1.3398277759552002
