cell_index,scraw_reconstruction_weight,cell_id
0,0.3845422863960266,mouse1_lib1.final_cell_0001
1,0.9666635990142822,mouse1_lib1.final_cell_0002
2,1.674719214439392,mouse1_lib1.final_cell_0003
3,2.017502546310425,mouse1_lib1.final_cell_0004
4,1.0855908393859863,mouse1_lib1.final_cell_0005
5,0.5170900225639343,mouse1_lib1.final_cell_0006
6,0.3845422863960266,mouse1_lib1.final_cell_0007
7,0.3845422863960266,mouse1_lib1.final_cell_0008
8,0.3962565064430237,mouse1_lib1.final_cell_0009
9,1.0874645709991455,mouse1_lib1.final_cell_0010
10,1.2599818706512451,mouse1_lib1.final_cell_0011
11,0.3845422863960266,mouse1_lib1.final_cell_0012
12,1.237489938735962,mouse1_lib1.final_cell_0013
13,1.390457272529602,mouse1_lib1.final_cell_0014
14,0.3845422863960266,mouse1_lib1.final_cell_0015
15,0.794182538986206,mouse1_lib1.final_cell_0016
16,0.3845422863960266,mouse1_lib1.final_cell_0017
17,2.5735983848571777,mouse1_lib1.final_cell_0018
18,1.3398277759552002,mouse1_lib1.final_cell_0019
19,0.9345862865447998,mouse1_lib1.final_cell_0020
20,0.3845422863960266,mouse1_lib1.final_cell_0021
21,0.38726767897605896,mouse1_lib1.final_cell_0022
22,0.3845422863960266,mouse1_lib1.final_cell_0023
23,1.2725197076797485,mouse1_lib1.final_cell_0024
24,2.0130326747894287,mouse1_lib1.final_cell_0025
25,2.327212333679199,mouse1_lib1.final_cell_0026
26,0.6815570592880249,mouse1_lib1.final_cell_0027
27,0.5522105693817139,mouse1_lib1.final_cell_0028
28,0.3845422863960266,mouse1_lib1.final_cell_0029
29,0.9416883587837219,mouse1_lib1.final_cell_0030
30,0.7139210104942322,mouse1_lib1.final_cell_0031
31,0.5601085424423218,mouse1_lib1.final_cell_0032
32,0.9455078840255737,mouse1_lib1.final_cell_0033
33,0.3845422863960266,mouse1_lib1.final_cell_0034
34,0.3845422863960266,mouse1_lib1.final_cell_0035
35,0.9635819792747498,mouse1_lib1.final_cell_0036
36,0.8276692032814026,mouse1_lib1.final_cell_0037
37,0.9522039890289307,mouse1_lib1.final_cell_0038
38,1.5563857555389404,mouse1_lib1.final_cell_0039
39,0.3845422863960266,mouse1_lib1.final_cell_0040
40,0.3845422863960266,mouse1_lib1.final_cell_0041
41,1.6223970651626587,mouse1_lib1.final_cell_0042
42,1.2502663135528564,mouse1_lib1.final_cell_0043
43,2.2781951427459717,mouse1_lib1.final_cell_0044
44,0.3845422863960266,mouse1_lib1.final_cell_0045
45,0.3845422863960266,mouse1_lib1.final_cell_0046
46,1.0747623443603516,mouse1_lib1.final_cell_0047
47,1.0791985988616943,mouse1_lib1.final_cell_0048
48,0.3845422863960266,mouse1_lib1.final_cell_0049
49,1.0281325578689575,mouse1_lib1.final_cell_0050
50,0.928309440612793,mouse1_lib1.final_cell_0051
51,0.3845422863960266,mouse1_lib1.final_cell_0052
52,1.1830217838287354,mouse1_lib1.final_cell_0053
53,0.759950578212738,mouse1_lib1.final_cell_0054
54,0.9144740700721741,mouse1_lib1.final_cell_0055
55,0.4023052752017975,mouse1_lib1.final_cell_0056
56,0.8700543642044067,mouse1_lib1.final_cell_0057
57,2.327212333679199,mouse1_lib1.final_cell_0058
58,0.9628013372421265,mouse1_lib1.final_cell_0059
59,0.3845422863960266,mouse1_lib1.final_cell_0060
60,0.3845422863960266,mouse1_lib1.final_cell_0061
61,0.8357381224632263,mouse1_lib1.final_cell_0062
62,0.7059609889984131,mouse1_lib1.final_cell_0063
63,2.1235640048980713,mouse1_lib1.final_cell_0064
