hdbscan_final,leiden_target11_final,true_label
6,0,hepatocyte
6,0,hepatocyte
10,5,myeloid leukocyte
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
12,3,Kupffer cell
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
14,5,myeloid leukocyte
1,2,mature NK T cell
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
1,2,"CD4-positive, alpha-beta T cell"
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
6,0,endothelial cell of hepatic sinusoid
14,3,myeloid leukocyte
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
2,9,NK cell
14,3,Kupffer cell
6,0,hepatocyte
6,0,hepatocyte
4,1,myeloid leukocyte
11,5,myeloid leukocyte
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
0,4,B cell
6,0,hepatocyte
2,9,NK cell
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
6,0,B cell
6,0,hepatocyte
2,9,NK cell
1,2,mature NK T cell
6,0,hepatocyte
6,0,hepatocyte
1,2,mature NK T cell
12,3,Kupffer cell
4,1,endothelial cell of hepatic sinusoid
0,4,B cell
10,5,myeloid leukocyte
2,9,NK cell
1,2,T cell
0,4,B cell
0,4,B cell
12,3,Kupffer cell
6,0,hepatocyte
12,3,Kupffer cell
12,3,myeloid leukocyte
6,0,hepatocyte
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
1,2,mature NK T cell
6,0,hepatocyte
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
12,3,Kupffer cell
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
1,2,myeloid leukocyte
1,2,mature NK T cell
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
5,10,neutrophil
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
12,3,Kupffer cell
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
5,10,neutrophil
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
0,4,B cell
12,3,Kupffer cell
6,0,hepatocyte
6,0,hepatocyte
4,1,myeloid leukocyte
4,1,endothelial cell of hepatic sinusoid
4,1,Kupffer cell
4,1,myeloid leukocyte
6,0,endothelial cell of hepatic sinusoid
6,0,hepatocyte
2,9,mature NK T cell
1,2,T cell
6,0,hepatocyte
6,0,hepatocyte
0,4,B cell
0,4,B cell
0,4,B cell
6,0,hepatocyte
0,4,B cell
12,3,Kupffer cell
1,2,mature NK T cell
6,0,hepatocyte
6,0,hepatocyte
0,4,B cell
6,0,hepatocyte
6,0,hepatocyte
6,0,hepatocyte
2,9,mature NK T cell
0,4,B cell
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
0,4,B cell
4,1,endothelial cell of hepatic sinusoid
1,2,"CD4-positive, alpha-beta T cell"
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
6,0,hepatocyte
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
2,9,NK cell
4,1,endothelial cell of hepatic sinusoid
6,0,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
6,0,hepatocyte
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
12,3,Kupffer cell
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
1,2,mature NK T cell
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
11,5,myeloid leukocyte
5,10,neutrophil
1,2,mature NK T cell
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
5,10,neutrophil
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
1,2,mature NK T cell
0,4,B cell
12,3,Kupffer cell
4,1,endothelial cell of hepatic sinusoid
0,4,B cell
9,5,myeloid leukocyte
4,1,endothelial cell of hepatic sinusoid
5,10,neutrophil
4,1,endothelial cell of hepatic sinusoid
14,5,myeloid leukocyte
6,0,hepatocyte
6,0,hepatocyte
1,2,T cell
4,1,myeloid leukocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
5,10,neutrophil
1,2,mature NK T cell
1,2,mature NK T cell
6,0,hepatocyte
11,5,myeloid leukocyte
12,3,Kupffer cell
6,0,hepatocyte
0,4,B cell
1,2,T cell
12,3,Kupffer cell
6,0,hepatocyte
6,0,endothelial cell of hepatic sinusoid
12,3,Kupffer cell
6,0,hepatocyte
1,2,mature NK T cell
6,0,hepatocyte
6,6,hepatocyte
6,0,hepatocyte
12,3,Kupffer cell
9,5,myeloid leukocyte
10,5,myeloid leukocyte
6,0,hepatocyte
1,2,hepatocyte
6,0,hepatocyte
6,0,hepatocyte
0,4,B cell
12,3,Kupffer cell
6,0,endothelial cell of hepatic sinusoid
6,0,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
1,2,myeloid leukocyte
4,1,endothelial cell of hepatic sinusoid
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
1,2,"CD4-positive, alpha-beta T cell"
12,3,Kupffer cell
6,0,hepatocyte
8,5,myeloid leukocyte
10,5,myeloid leukocyte
6,0,hepatocyte
4,1,endothelial cell of hepatic sinusoid
4,1,endothelial cell of hepatic sinusoid
1,2,"CD8-positive, alpha-beta T cell"
14,5,myeloid leukocyte
6,0,hepatocyte
6,0,hepatocyte
