cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch
0,A10_B000767_B009945_S10.mm10-plus-4-0,6,hepatocyte,hepatocyte,single_batch
1,A10_D045313_B009942_S10.mm10-plus-4-0,6,hepatocyte,hepatocyte,single_batch
2,A11_B000767_B009945_S11.mm10-plus-4-0,10,myeloid leukocyte,Unmatched_10,single_batch
3,A11_B001247_B009941_S11.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
4,A11_B002688_B009944_S11.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
5,A11_D045313_B009942_S11.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
6,A12_B000767_B009945_S12.mm10-plus-4-0,6,hepatocyte,hepatocyte,single_batch
7,A12_B002688_B009944_S12.mm10-plus-4-0,6,hepatocyte,hepatocyte,single_batch
8,A12_D045313_B009942_S12.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
9,A13_B002681_B009943_S13.mm10-plus-4-0,6,hepatocyte,hepatocyte,single_batch
10,A13_B002688_B009944_S13.mm10-plus-4-0,12,Kupffer cell,Kupffer cell,single_batch
11,A13_D045313_B009942_S13.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
12,A14_B001247_B009941_S14.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
13,A14_B002688_B009944_S14.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
14,A14_D045313_B009942_S14.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
15,A15_B000767_B009945_S15.mm10-plus-4-0,6,hepatocyte,hepatocyte,single_batch
16,A15_B001247_B009941_S15.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
17,A15_B002681_B009943_S15.mm10-plus-4-0,6,hepatocyte,hepatocyte,single_batch
18,A15_D045313_B009942_S15.mm10-plus-4-0,14,myeloid leukocyte,myeloid leukocyte,single_batch
19,A16_B000767_B009945_S16.mm10-plus-4-0,1,mature NK T cell,mature NK T cell,single_batch
20,A16_B001247_B009941_S16.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
21,A16_B002688_B009944_S16.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
22,A16_D045313_B009942_S16.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
23,A17_B000767_B009945_S17.mm10-plus-4-0,1,"CD4-positive, alpha-beta T cell",mature NK T cell,single_batch
24,A17_B001247_B009941_S17.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
25,A17_B002688_B009944_S17.mm10-plus-4-0,6,hepatocyte,hepatocyte,single_batch
26,A17_D045313_B009942_S17.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
27,A18_B001247_B009941_S18.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
28,A18_B002681_B009943_S18.mm10-plus-4-0,6,hepatocyte,hepatocyte,single_batch
29,A18_B002688_B009944_S18.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
30,A18_D045313_B009942_S18.mm10-plus-4-0,4,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch
31,A19_B000767_B009945_S19.mm10-plus-4-0,6,endothelial cell of hepatic sinusoid,hepatocyte,single_batch
