cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,-2.6014597415924072,9.567232131958008,6,A10_B000767_B009945_S10.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,1.1629490852355957
1,-2.886888265609741,11.957135200500488,6,A10_D045313_B009942_S10.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.615229606628418
2,7.150757312774658,-4.725096225738525,10,A11_B000767_B009945_S11.mm10-plus-4-0,myeloid leukocyte,Unmatched_10,single_batch,2.040419816970825
3,7.813370227813721,8.427077293395996,4,A11_B001247_B009941_S11.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.8905880451202393
4,9.39833927154541,10.559179306030273,4,A11_B002688_B009944_S11.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.546958863735199
5,11.491463661193848,10.250386238098145,4,A11_D045313_B009942_S11.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6503084897994995
6,-2.6740927696228027,10.295991897583008,6,A12_B000767_B009945_S12.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.7714836597442627
7,-4.847759246826172,14.038898468017578,6,A12_B002688_B009944_S12.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.9103731513023376
8,10.056916236877441,10.70163345336914,4,A12_D045313_B009942_S12.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6386933922767639
9,-1.623726725578308,14.630693435668945,6,A13_B002681_B009943_S13.mm10-plus-4-0,hepatocyte,hepatocyte,single_batch,0.4190481901168823
10,10.868916511535645,-3.957000732421875,12,A13_B002688_B009944_S13.mm10-plus-4-0,Kupffer cell,Kupffer cell,single_batch,0.9160423874855042
11,8.834843635559082,8.800710678100586,4,A13_D045313_B009942_S13.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.6001989245414734
12,8.600324630737305,9.892965316772461,4,A14_B001247_B009941_S14.mm10-plus-4-0,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,single_batch,0.5294036865234375
