hdbscan_final,leiden_target14_final,true_label
1,2,acinar
1,2,acinar
1,2,acinar
1,2,acinar
1,2,acinar
1,2,acinar
12,0,beta
1,2,acinar
1,2,acinar
1,2,acinar
1,2,acinar
1,2,acinar
8,6,delta
8,6,delta
12,0,beta
10,7,activated_stellate
12,0,beta
1,2,acinar
3,3,ductal
12,0,beta
12,0,beta
11,1,alpha
3,3,ductal
12,0,beta
8,6,delta
11,1,alpha
12,0,beta
1,2,acinar
1,2,acinar
12,0,beta
8,6,delta
8,6,delta
8,6,delta
8,6,delta
12,0,beta
1,2,acinar
12,0,beta
12,0,beta
12,0,beta
8,6,delta
10,7,activated_stellate
12,0,beta
8,6,delta
10,7,activated_stellate
10,7,activated_stellate
10,7,activated_stellate
1,2,acinar
10,7,activated_stellate
8,6,delta
12,0,beta
8,6,delta
12,0,beta
1,2,acinar
12,4,beta
12,0,beta
10,7,activated_stellate
12,0,beta
12,0,beta
12,0,beta
12,0,beta
3,3,ductal
11,1,alpha
12,0,beta
3,3,ductal
3,3,ductal
1,2,acinar
11,1,alpha
12,0,beta
8,6,delta
11,1,alpha
12,0,beta
12,0,beta
12,0,beta
8,6,delta
12,0,beta
12,0,beta
8,6,delta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
1,2,acinar
10,7,activated_stellate
8,6,delta
8,6,delta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
8,6,delta
8,6,delta
12,0,beta
8,6,delta
11,1,alpha
11,1,alpha
8,6,delta
12,0,beta
12,0,beta
12,0,beta
12,0,beta
1,2,acinar
8,6,delta
12,0,beta
12,0,beta
8,6,delta
12,0,beta
12,0,beta
12,0,beta
8,6,delta
12,0,beta
8,6,delta
12,0,beta
12,0,beta
12,0,beta
8,6,epsilon
12,0,beta
12,0,beta
12,0,beta
11,1,delta
12,0,beta
8,6,delta
12,0,beta
11,1,alpha
11,8,alpha
12,0,beta
1,2,acinar
11,1,alpha
12,0,beta
12,0,beta
