cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch
0,human1_lib1.final_cell_0001-0,1,acinar,acinar,human1
1,human1_lib1.final_cell_0002-0,1,acinar,acinar,human1
2,human1_lib1.final_cell_0003-0,1,acinar,acinar,human1
3,human1_lib1.final_cell_0004-0,1,acinar,acinar,human1
4,human1_lib1.final_cell_0005-0,1,acinar,acinar,human1
5,human1_lib1.final_cell_0006-0,1,acinar,acinar,human1
6,human1_lib1.final_cell_0007-0,12,beta,beta,human1
7,human1_lib1.final_cell_0008-0,1,acinar,acinar,human1
8,human1_lib1.final_cell_0009-0,1,acinar,acinar,human1
9,human1_lib1.final_cell_0010-0,1,acinar,acinar,human1
10,human1_lib1.final_cell_0011-0,1,acinar,acinar,human1
11,human1_lib1.final_cell_0012-0,1,acinar,acinar,human1
12,human1_lib1.final_cell_0013-0,8,delta,delta,human1
13,human1_lib1.final_cell_0014-0,8,delta,delta,human1
14,human1_lib1.final_cell_0015-0,12,beta,beta,human1
15,human1_lib1.final_cell_0016-0,10,activated_stellate,activated_stellate,human1
16,human1_lib1.final_cell_0017-0,12,beta,beta,human1
17,human1_lib1.final_cell_0018-0,1,acinar,acinar,human1
18,human1_lib1.final_cell_0019-0,3,ductal,ductal,human1
19,human1_lib1.final_cell_0020-0,12,beta,beta,human1
20,human1_lib1.final_cell_0021-0,12,beta,beta,human1
21,human1_lib1.final_cell_0022-0,11,alpha,alpha,human1
22,human1_lib1.final_cell_0023-0,3,ductal,ductal,human1
23,human1_lib1.final_cell_0024-0,12,beta,beta,human1
24,human1_lib1.final_cell_0025-0,8,delta,delta,human1
25,human1_lib1.final_cell_0026-0,11,alpha,alpha,human1
26,human1_lib1.final_cell_0027-0,12,beta,beta,human1
27,human1_lib1.final_cell_0028-0,1,acinar,acinar,human1
28,human1_lib1.final_cell_0029-0,1,acinar,acinar,human1
29,human1_lib1.final_cell_0030-0,12,beta,beta,human1
30,human1_lib1.final_cell_0031-0,8,delta,delta,human1
31,human1_lib1.final_cell_0032-0,8,delta,delta,human1
32,human1_lib1.final_cell_0033-0,8,delta,delta,human1
33,human1_lib1.final_cell_0034-0,8,delta,delta,human1
34,human1_lib1.final_cell_0035-0,12,beta,beta,human1
35,human1_lib1.final_cell_0036-0,1,acinar,acinar,human1
36,human1_lib1.final_cell_0037-0,12,beta,beta,human1
37,human1_lib1.final_cell_0038-0,12,beta,beta,human1
38,human1_lib1.final_cell_0039-0,12,beta,beta,human1
39,human1_lib1.final_cell_0040-0,8,delta,delta,human1
40,human1_lib1.final_cell_0041-0,10,activated_stellate,activated_stellate,human1
41,human1_lib1.final_cell_0042-0,12,beta,beta,human1
42,human1_lib1.final_cell_0043-0,8,delta,delta,human1
43,human1_lib1.final_cell_0044-0,10,activated_stellate,activated_stellate,human1
44,human1_lib1.final_cell_0045-0,10,activated_stellate,activated_stellate,human1
45,human1_lib1.final_cell_0046-0,10,activated_stellate,activated_stellate,human1
46,human1_lib1.final_cell_0047-0,1,acinar,acinar,human1
47,human1_lib1.final_cell_0048-0,10,activated_stellate,activated_stellate,human1
48,human1_lib1.final_cell_0049-0,8,delta,delta,human1
49,human1_lib1.final_cell_0050-0,12,beta,beta,human1
50,human1_lib1.final_cell_0051-0,8,delta,delta,human1
51,human1_lib1.final_cell_0052-0,12,beta,beta,human1
52,human1_lib1.final_cell_0053-0,1,acinar,acinar,human1
53,human1_lib1.final_cell_0054-0,12,beta,beta,human1
54,human1_lib1.final_cell_0055-0,12,beta,beta,human1
55,human1_lib1.final_cell_0056-0,10,activated_stellate,activated_stellate,human1
56,human1_lib1.final_cell_0057-0,12,beta,beta,human1
57,human1_lib1.final_cell_0058-0,12,beta,beta,human1
58,human1_lib1.final_cell_0059-0,12,beta,beta,human1
59,human1_lib1.final_cell_0060-0,12,beta,beta,human1
60,human1_lib1.final_cell_0061-0,3,ductal,ductal,human1
61,human1_lib1.final_cell_0062-0,11,alpha,alpha,human1
62,human1_lib1.final_cell_0063-0,12,beta,beta,human1
63,human1_lib1.final_cell_0064-0,3,ductal,ductal,human1
64,human1_lib1.final_cell_0065-0,3,ductal,ductal,human1
65,human1_lib1.final_cell_0066-0,1,acinar,acinar,human1
66,human1_lib1.final_cell_0067-0,11,alpha,alpha,human1
67,human1_lib1.final_cell_0068-0,12,beta,beta,human1
68,human1_lib1.final_cell_0069-0,8,delta,delta,human1
69,human1_lib1.final_cell_0070-0,11,alpha,alpha,human1
70,human1_lib1.final_cell_0071-0,12,beta,beta,human1
71,human1_lib1.final_cell_0072-0,12,beta,beta,human1
72,human1_lib1.final_cell_0073-0,12,beta,beta,human1
73,human1_lib1.final_cell_0074-0,8,delta,delta,human1
74,human1_lib1.final_cell_0075-0,12,beta,beta,human1
75,human1_lib1.final_cell_0076-0,12,beta,beta,human1
76,human1_lib1.final_cell_0077-0,8,delta,delta,human1
77,human1_lib1.final_cell_0078-0,12,beta,beta,human1
78,human1_lib1.final_cell_0079-0,12,beta,beta,human1
79,human1_lib1.final_cell_0080-0,12,beta,beta,human1
80,human1_lib1.final_cell_0081-0,12,beta,beta,human1
81,human1_lib1.final_cell_0082-0,12,beta,beta,human1
82,human1_lib1.final_cell_0083-0,12,beta,beta,human1
83,human1_lib1.final_cell_0084-0,1,acinar,acinar,human1
84,human1_lib1.final_cell_0085-0,10,activated_stellate,activated_stellate,human1
85,human1_lib1.final_cell_0086-0,8,delta,delta,human1
86,human1_lib1.final_cell_0087-0,8,delta,delta,human1
87,human1_lib1.final_cell_0088-0,12,beta,beta,human1
88,human1_lib1.final_cell_0089-0,12,beta,beta,human1
89,human1_lib1.final_cell_0090-0,12,beta,beta,human1
90,human1_lib1.final_cell_0091-0,12,beta,beta,human1
91,human1_lib1.final_cell_0092-0,12,beta,beta,human1
92,human1_lib1.final_cell_0093-0,12,beta,beta,human1
93,human1_lib1.final_cell_0094-0,12,beta,beta,human1
94,human1_lib1.final_cell_0095-0,12,beta,beta,human1
95,human1_lib1.final_cell_0096-0,12,beta,beta,human1
96,human1_lib1.final_cell_0097-0,12,beta,beta,human1
97,human1_lib1.final_cell_0098-0,8,delta,delta,human1
98,human1_lib1.final_cell_0099-0,8,delta,delta,human1
