cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,-6.314405918121338,-1.54984450340271,1,human1_lib1.final_cell_0001-0,acinar,acinar,human1,0.9714178442955017
1,-5.790666580200195,-1.4212968349456787,1,human1_lib1.final_cell_0002-0,acinar,acinar,human1,0.928289532661438
2,-6.261348724365234,-1.6005505323410034,1,human1_lib1.final_cell_0003-0,acinar,acinar,human1,0.8360571265220642
3,-5.0292277336120605,-1.470911979675293,1,human1_lib1.final_cell_0004-0,acinar,acinar,human1,1.3489404916763306
4,-5.798009395599365,-1.4184471368789673,1,human1_lib1.final_cell_0005-0,acinar,acinar,human1,1.027095079421997
5,-6.242348670959473,-1.2955293655395508,1,human1_lib1.final_cell_0006-0,acinar,acinar,human1,0.9881423711776733
6,2.7334213256835938,19.202518463134766,12,human1_lib1.final_cell_0007-0,beta,beta,human1,0.4047490358352661
7,-5.982789039611816,-1.558310866355896,1,human1_lib1.final_cell_0008-0,acinar,acinar,human1,0.8613643050193787
8,-5.7401814460754395,-1.416847825050354,1,human1_lib1.final_cell_0009-0,acinar,acinar,human1,1.0129859447479248
9,-6.297940731048584,-1.3074554204940796,1,human1_lib1.final_cell_0010-0,acinar,acinar,human1,0.7983218431472778
10,-5.824471473693848,-1.4001429080963135,1,human1_lib1.final_cell_0011-0,acinar,acinar,human1,0.9012791514396667
11,-6.7550129890441895,-1.4615025520324707,1,human1_lib1.final_cell_0012-0,acinar,acinar,human1,1.0999648571014404
12,19.516817092895508,11.260676383972168,8,human1_lib1.final_cell_0013-0,delta,delta,human1,0.39706161618232727
13,19.112258911132812,11.236642837524414,8,human1_lib1.final_cell_0014-0,delta,delta,human1,0.3845422863960266
14,5.694912910461426,17.04087257385254,12,human1_lib1.final_cell_0015-0,beta,beta,human1,0.7921956777572632
15,12.261585235595703,21.69362449645996,10,human1_lib1.final_cell_0016-0,activated_stellate,activated_stellate,human1,1.705127477645874
16,1.9425638914108276,21.287166595458984,12,human1_lib1.final_cell_0017-0,beta,beta,human1,0.4789070785045624
17,-6.414037227630615,-1.0952770709991455,1,human1_lib1.final_cell_0018-0,acinar,acinar,human1,0.9628588557243347
18,-9.247737884521484,11.516698837280273,3,human1_lib1.final_cell_0019-0,ductal,ductal,human1,1.6165125370025635
19,5.716917991638184,13.435022354125977,12,human1_lib1.final_cell_0020-0,beta,beta,human1,0.9652663469314575
20,6.13917350769043,13.97536849975586,12,human1_lib1.final_cell_0021-0,beta,beta,human1,0.4429643750190735
21,6.811058044433594,4.014528751373291,11,human1_lib1.final_cell_0022-0,alpha,alpha,human1,0.6101475954055786
22,-8.72089672088623,11.629843711853027,3,human1_lib1.final_cell_0023-0,ductal,ductal,human1,1.4703165292739868
23,3.002919912338257,19.233924865722656,12,human1_lib1.final_cell_0024-0,beta,beta,human1,0.3858529031276703
24,19.834630966186523,11.876487731933594,8,human1_lib1.final_cell_0025-0,delta,delta,human1,0.4819028377532959
25,4.583224773406982,3.7779598236083984,11,human1_lib1.final_cell_0026-0,alpha,alpha,human1,0.6580755114555359
26,5.343123912811279,17.893354415893555,12,human1_lib1.final_cell_0027-0,beta,beta,human1,0.3845422863960266
27,-7.085873603820801,-0.19773326814174652,1,human1_lib1.final_cell_0028-0,acinar,acinar,human1,0.9920681715011597
28,-6.026674270629883,-1.6338539123535156,1,human1_lib1.final_cell_0029-0,acinar,acinar,human1,1.3900232315063477
29,3.4370086193084717,19.231706619262695,12,human1_lib1.final_cell_0030-0,beta,beta,human1,0.3845422863960266
30,18.11839485168457,11.81777286529541,8,human1_lib1.final_cell_0031-0,delta,delta,human1,0.7155451774597168
31,19.380451202392578,12.61099910736084,8,human1_lib1.final_cell_0032-0,delta,delta,human1,0.4858134686946869
32,19.777503967285156,12.101354598999023,8,human1_lib1.final_cell_0033-0,delta,delta,human1,0.3845422863960266
33,19.572498321533203,12.254888534545898,8,human1_lib1.final_cell_0034-0,delta,delta,human1,0.39907023310661316
