cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch
0,bbag094_zeisel_cell_00001,8,unknown,2,unknown
1,bbag094_zeisel_cell_00002,4,1,1,1
2,bbag094_zeisel_cell_00003,4,1,1,1
3,bbag094_zeisel_cell_00004,4,1,1,1
4,bbag094_zeisel_cell_00005,4,1,1,1
5,bbag094_zeisel_cell_00006,4,1,1,1
6,bbag094_zeisel_cell_00007,4,1,1,1
7,bbag094_zeisel_cell_00008,4,1,1,1
8,bbag094_zeisel_cell_00009,4,1,1,1
9,bbag094_zeisel_cell_00010,4,1,1,1
10,bbag094_zeisel_cell_00011,4,1,1,1
11,bbag094_zeisel_cell_00012,4,1,1,1
12,bbag094_zeisel_cell_00013,4,1,1,1
13,bbag094_zeisel_cell_00014,4,1,1,1
14,bbag094_zeisel_cell_00015,4,1,1,1
15,bbag094_zeisel_cell_00016,4,1,1,1
16,bbag094_zeisel_cell_00017,4,1,1,1
17,bbag094_zeisel_cell_00018,4,1,1,1
18,bbag094_zeisel_cell_00019,4,1,1,1
19,bbag094_zeisel_cell_00020,4,1,1,1
20,bbag094_zeisel_cell_00021,4,1,1,1
21,bbag094_zeisel_cell_00022,4,1,1,1
22,bbag094_zeisel_cell_00023,4,1,1,1
23,bbag094_zeisel_cell_00024,4,1,1,1
24,bbag094_zeisel_cell_00025,4,1,1,1
25,bbag094_zeisel_cell_00026,4,1,1,1
26,bbag094_zeisel_cell_00027,4,1,1,1
27,bbag094_zeisel_cell_00028,4,1,1,1
28,bbag094_zeisel_cell_00029,4,1,1,1
29,bbag094_zeisel_cell_00030,4,1,1,1
30,bbag094_zeisel_cell_00031,4,1,1,1
31,bbag094_zeisel_cell_00032,4,1,1,1
32,bbag094_zeisel_cell_00033,4,1,1,1
33,bbag094_zeisel_cell_00034,4,1,1,1
34,bbag094_zeisel_cell_00035,4,1,1,1
35,bbag094_zeisel_cell_00036,4,1,1,1
36,bbag094_zeisel_cell_00037,4,1,1,1
37,bbag094_zeisel_cell_00038,4,1,1,1
38,bbag094_zeisel_cell_00039,4,1,1,1
39,bbag094_zeisel_cell_00040,4,1,1,1
40,bbag094_zeisel_cell_00041,4,1,1,1
41,bbag094_zeisel_cell_00042,4,1,1,1
42,bbag094_zeisel_cell_00043,4,1,1,1
43,bbag094_zeisel_cell_00044,4,1,1,1
44,bbag094_zeisel_cell_00045,4,1,1,1
45,bbag094_zeisel_cell_00046,4,1,1,1
46,bbag094_zeisel_cell_00047,4,1,1,1
47,bbag094_zeisel_cell_00048,4,1,1,1
48,bbag094_zeisel_cell_00049,4,1,1,1
49,bbag094_zeisel_cell_00050,4,1,1,1
50,bbag094_zeisel_cell_00051,4,1,1,1
51,bbag094_zeisel_cell_00052,4,1,1,1
52,bbag094_zeisel_cell_00053,4,1,1,1
53,bbag094_zeisel_cell_00054,4,1,1,1
54,bbag094_zeisel_cell_00055,4,1,1,1
55,bbag094_zeisel_cell_00056,4,1,1,1
56,bbag094_zeisel_cell_00057,4,1,1,1
