cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,17.96068572998047,4.817531585693359,8,bbag094_zeisel_cell_00001,unknown,2,unknown,3.0590591430664062
1,18.03903579711914,-0.34051719307899475,4,bbag094_zeisel_cell_00002,1,1,1,1.1238923072814941
2,18.150917053222656,-0.6327788829803467,4,bbag094_zeisel_cell_00003,1,1,1,0.9837443232536316
3,17.941118240356445,-0.27735981345176697,4,bbag094_zeisel_cell_00004,1,1,1,1.643536925315857
4,17.90856170654297,-0.3328711986541748,4,bbag094_zeisel_cell_00005,1,1,1,1.2413737773895264
5,18.387691497802734,-0.42367860674858093,4,bbag094_zeisel_cell_00006,1,1,1,1.090116024017334
6,17.831789016723633,-0.4797990024089813,4,bbag094_zeisel_cell_00007,1,1,1,1.541007161140442
7,18.696659088134766,-0.4802856743335724,4,bbag094_zeisel_cell_00008,1,1,1,1.045740008354187
8,17.987239837646484,-0.21677660942077637,4,bbag094_zeisel_cell_00009,1,1,1,1.2213668823242188
9,18.584115982055664,0.01935223676264286,4,bbag094_zeisel_cell_00010,1,1,1,1.4467964172363281
10,18.93290138244629,-0.15198911726474762,4,bbag094_zeisel_cell_00011,1,1,1,1.0423201322555542
11,18.590980529785156,-0.1215585470199585,4,bbag094_zeisel_cell_00012,1,1,1,1.2541903257369995
12,18.575075149536133,1.0708956718444824,4,bbag094_zeisel_cell_00013,1,1,1,1.5373095273971558
13,18.716794967651367,0.9102246165275574,4,bbag094_zeisel_cell_00014,1,1,1,1.4586032629013062
14,18.243017196655273,1.041001319885254,4,bbag094_zeisel_cell_00015,1,1,1,2.079357624053955
15,18.467185974121094,0.9116291999816895,4,bbag094_zeisel_cell_00016,1,1,1,1.6551836729049683
16,18.51517105102539,1.03757643699646,4,bbag094_zeisel_cell_00017,1,1,1,1.5489071607589722
17,18.723787307739258,0.2934333086013794,4,bbag094_zeisel_cell_00018,1,1,1,1.7758216857910156
18,18.33884620666504,0.9374611973762512,4,bbag094_zeisel_cell_00019,1,1,1,1.9509806632995605
19,18.664756774902344,2.0500075817108154,4,bbag094_zeisel_cell_00020,1,1,1,2.0504612922668457
20,20.171092987060547,0.6636279821395874,4,bbag094_zeisel_cell_00021,1,1,1,1.0005872249603271
21,20.213335037231445,0.6536357402801514,4,bbag094_zeisel_cell_00022,1,1,1,1.003839373588562
22,19.65260887145996,1.3839043378829956,4,bbag094_zeisel_cell_00023,1,1,1,1.1438277959823608
23,20.101318359375,0.5189752578735352,4,bbag094_zeisel_cell_00024,1,1,1,1.11873197555542
24,20.17745018005371,0.6303616762161255,4,bbag094_zeisel_cell_00025,1,1,1,0.904599130153656
25,19.7049503326416,1.3220235109329224,4,bbag094_zeisel_cell_00026,1,1,1,1.186985731124878
26,20.270986557006836,-0.1178361177444458,4,bbag094_zeisel_cell_00027,1,1,1,1.021336317062378
27,19.0354061126709,-0.03682459145784378,4,bbag094_zeisel_cell_00028,1,1,1,1.2670129537582397
28,20.57260513305664,0.2705566883087158,4,bbag094_zeisel_cell_00029,1,1,1,0.9508160352706909
29,20.055545806884766,0.7852603197097778,4,bbag094_zeisel_cell_00030,1,1,1,1.1257705688476562
30,20.007230758666992,0.8958225846290588,4,bbag094_zeisel_cell_00031,1,1,1,1.0400986671447754
31,20.084091186523438,-0.0968284010887146,4,bbag094_zeisel_cell_00032,1,1,1,0.9921159148216248
32,20.50473403930664,0.35372310876846313,4,bbag094_zeisel_cell_00033,1,1,1,0.9925581216812134
33,20.635517120361328,0.3097659945487976,4,bbag094_zeisel_cell_00034,1,1,1,0.7808264493942261
34,19.849889755249023,1.1003026962280273,4,bbag094_zeisel_cell_00035,1,1,1,1.0169038772583008
35,20.123598098754883,0.650274395942688,4,bbag094_zeisel_cell_00036,1,1,1,0.902140736579895
36,20.052913665771484,0.8070312738418579,4,bbag094_zeisel_cell_00037,1,1,1,0.9595917463302612
37,20.66840362548828,0.1671423763036728,4,bbag094_zeisel_cell_00038,1,1,1,0.8719852566719055
38,20.562746047973633,0.27199867367744446,4,bbag094_zeisel_cell_00039,1,1,1,0.8662610650062561
39,20.146038055419922,-0.24621900916099548,4,bbag094_zeisel_cell_00040,1,1,1,1.188857078552246
40,20.216867446899414,-0.15875133872032166,4,bbag094_zeisel_cell_00041,1,1,1,1.0159817934036255
41,20.073978424072266,-0.8726696372032166,4,bbag094_zeisel_cell_00042,1,1,1,0.9322909116744995
42,19.53822135925293,-0.913463294506073,4,bbag094_zeisel_cell_00043,1,1,1,0.9866646528244019
43,19.132545471191406,-0.2656994163990021,4,bbag094_zeisel_cell_00044,1,1,1,0.9549872279167175
44,20.18703842163086,-0.18056371808052063,4,bbag094_zeisel_cell_00045,1,1,1,0.9067134261131287
45,20.010887145996094,-0.921845018863678,4,bbag094_zeisel_cell_00046,1,1,1,0.9316190481185913
46,20.428972244262695,-0.5116751790046692,4,bbag094_zeisel_cell_00047,1,1,1,0.8190536499023438
47,20.308704376220703,-0.7513356804847717,4,bbag094_zeisel_cell_00048,1,1,1,0.9978810548782349
48,20.32586097717285,-0.763483464717865,4,bbag094_zeisel_cell_00049,1,1,1,0.9625416994094849
49,19.043874740600586,-0.2298317700624466,4,bbag094_zeisel_cell_00050,1,1,1,0.9321288466453552
50,18.040660858154297,-0.512321412563324,4,bbag094_zeisel_cell_00051,1,1,1,0.8699144721031189
51,20.410127639770508,-0.5156707763671875,4,bbag094_zeisel_cell_00052,1,1,1,0.8249256610870361
52,19.017879486083984,-0.16712237894535065,4,bbag094_zeisel_cell_00053,1,1,1,0.9185099601745605
53,20.25909996032715,-0.5798563361167908,4,bbag094_zeisel_cell_00054,1,1,1,0.8038550019264221
54,19.9495849609375,-0.4871191084384918,4,bbag094_zeisel_cell_00055,1,1,1,0.9522616863250732
55,19.698848724365234,-0.9179191589355469,4,bbag094_zeisel_cell_00056,1,1,1,0.8799720406532288
56,18.57927894592285,-0.6884924173355103,4,bbag094_zeisel_cell_00057,1,1,1,0.9964482188224792
57,20.229551315307617,-0.4719122350215912,4,bbag094_zeisel_cell_00058,1,1,1,0.8184670805931091
58,18.34750747680664,-0.45310676097869873,4,bbag094_zeisel_cell_00059,1,1,1,0.9936712980270386
59,18.41452407836914,-0.4899488687515259,4,bbag094_zeisel_cell_00060,1,1,1,1.014841079711914
60,17.94032859802246,-0.21779723465442657,4,bbag094_zeisel_cell_00061,1,1,1,1.5549482107162476
61,17.984752655029297,-0.5617766976356506,4,bbag094_zeisel_cell_00062,1,1,1,1.393654704093933
62,17.962631225585938,-0.3677511513233185,4,bbag094_zeisel_cell_00063,1,1,1,1.1000839471817017
63,17.835304260253906,-0.4389055669307709,4,bbag094_zeisel_cell_00064,1,1,1,1.7942893505096436
64,18.439281463623047,-0.5010440349578857,4,bbag094_zeisel_cell_00065,1,1,1,1.0532138347625732
65,18.003036499023438,-0.5879250168800354,4,bbag094_zeisel_cell_00066,1,1,1,1.4354289770126343
66,18.077411651611328,-0.46052226424217224,4,bbag094_zeisel_cell_00067,1,1,1,0.8388391137123108
67,17.982276916503906,-0.47922053933143616,4,bbag094_zeisel_cell_00068,1,1,1,1.2105427980422974
68,18.018281936645508,-0.36937180161476135,4,bbag094_zeisel_cell_00069,1,1,1,1.0829142332077026
69,18.008337020874023,-0.5676249265670776,4,bbag094_zeisel_cell_00070,1,1,1,1.0156372785568237
70,17.956867218017578,-0.5217099785804749,4,bbag094_zeisel_cell_00071,1,1,1,0.9592838287353516
71,18.114166259765625,-0.39784032106399536,4,bbag094_zeisel_cell_00072,1,1,1,1.0455236434936523
72,18.779296875,-0.6433836221694946,4,bbag094_zeisel_cell_00073,1,1,1,0.9871671795845032
73,19.025272369384766,-0.8216935396194458,4,bbag094_zeisel_cell_00074,1,1,1,1.0910154581069946
74,18.584016799926758,0.009887706488370895,4,bbag094_zeisel_cell_00075,1,1,1,1.4673186540603638
75,19.657703399658203,-0.9810395240783691,4,bbag094_zeisel_cell_00076,1,1,1,0.8931676745414734
76,19.2454776763916,-0.7028924226760864,4,bbag094_zeisel_cell_00077,1,1,1,0.896510660648346
77,18.99736785888672,-0.8012892603874207,4,bbag094_zeisel_cell_00078,1,1,1,0.9135100841522217
78,19.69420623779297,-0.48162153363227844,4,bbag094_zeisel_cell_00079,1,1,1,0.8899993896484375
79,20.253921508789062,-0.5488322377204895,4,bbag094_zeisel_cell_00080,1,1,1,0.776783287525177
80,19.882526397705078,-0.49437928199768066,4,bbag094_zeisel_cell_00081,1,1,1,0.8320988416671753
81,20.0797061920166,-0.30495497584342957,4,bbag094_zeisel_cell_00082,1,1,1,0.8852041363716125
82,18.89051055908203,-0.744330108165741,4,bbag094_zeisel_cell_00083,1,1,1,0.878177285194397
83,20.175844192504883,-0.2824200987815857,4,bbag094_zeisel_cell_00084,1,1,1,0.9398356080055237
84,20.421663284301758,-0.6337741613388062,4,bbag094_zeisel_cell_00085,1,1,1,1.0619893074035645
85,20.422977447509766,-0.5367644429206848,4,bbag094_zeisel_cell_00086,1,1,1,0.9282947778701782
86,20.50145721435547,-0.511996865272522,4,bbag094_zeisel_cell_00087,1,1,1,1.2358427047729492
87,20.424243927001953,-0.571681797504425,4,bbag094_zeisel_cell_00088,1,1,1,0.8670601844787598
88,18.883451461791992,-0.27300775051116943,4,bbag094_zeisel_cell_00089,1,1,1,1.059356451034546
89,20.38178253173828,-0.6827540397644043,4,bbag094_zeisel_cell_00090,1,1,1,0.8711298108100891
