cell_index,scraw_reconstruction_weight,cell_id
0,3.0590591430664062,bbag094_zeisel_cell_00001
1,1.1238923072814941,bbag094_zeisel_cell_00002
2,0.9837443232536316,bbag094_zeisel_cell_00003
3,1.643536925315857,bbag094_zeisel_cell_00004
4,1.2413737773895264,bbag094_zeisel_cell_00005
5,1.090116024017334,bbag094_zeisel_cell_00006
6,1.541007161140442,bbag094_zeisel_cell_00007
7,1.045740008354187,bbag094_zeisel_cell_00008
8,1.2213668823242188,bbag094_zeisel_cell_00009
9,1.4467964172363281,bbag094_zeisel_cell_00010
10,1.0423201322555542,bbag094_zeisel_cell_00011
11,1.2541903257369995,bbag094_zeisel_cell_00012
12,1.5373095273971558,bbag094_zeisel_cell_00013
13,1.4586032629013062,bbag094_zeisel_cell_00014
14,2.079357624053955,bbag094_zeisel_cell_00015
15,1.6551836729049683,bbag094_zeisel_cell_00016
16,1.5489071607589722,bbag094_zeisel_cell_00017
17,1.7758216857910156,bbag094_zeisel_cell_00018
18,1.9509806632995605,bbag094_zeisel_cell_00019
19,2.0504612922668457,bbag094_zeisel_cell_00020
20,1.0005872249603271,bbag094_zeisel_cell_00021
21,1.003839373588562,bbag094_zeisel_cell_00022
22,1.1438277959823608,bbag094_zeisel_cell_00023
23,1.11873197555542,bbag094_zeisel_cell_00024
24,0.904599130153656,bbag094_zeisel_cell_00025
25,1.186985731124878,bbag094_zeisel_cell_00026
26,1.021336317062378,bbag094_zeisel_cell_00027
27,1.2670129537582397,bbag094_zeisel_cell_00028
28,0.9508160352706909,bbag094_zeisel_cell_00029
29,1.1257705688476562,bbag094_zeisel_cell_00030
30,1.0400986671447754,bbag094_zeisel_cell_00031
31,0.9921159148216248,bbag094_zeisel_cell_00032
32,0.9925581216812134,bbag094_zeisel_cell_00033
33,0.7808264493942261,bbag094_zeisel_cell_00034
34,1.0169038772583008,bbag094_zeisel_cell_00035
35,0.902140736579895,bbag094_zeisel_cell_00036
36,0.9595917463302612,bbag094_zeisel_cell_00037
37,0.8719852566719055,bbag094_zeisel_cell_00038
38,0.8662610650062561,bbag094_zeisel_cell_00039
39,1.188857078552246,bbag094_zeisel_cell_00040
40,1.0159817934036255,bbag094_zeisel_cell_00041
41,0.9322909116744995,bbag094_zeisel_cell_00042
42,0.9866646528244019,bbag094_zeisel_cell_00043
43,0.9549872279167175,bbag094_zeisel_cell_00044
44,0.9067134261131287,bbag094_zeisel_cell_00045
45,0.9316190481185913,bbag094_zeisel_cell_00046
46,0.8190536499023438,bbag094_zeisel_cell_00047
47,0.9978810548782349,bbag094_zeisel_cell_00048
48,0.9625416994094849,bbag094_zeisel_cell_00049
49,0.9321288466453552,bbag094_zeisel_cell_00050
50,0.8699144721031189,bbag094_zeisel_cell_00051
51,0.8249256610870361,bbag094_zeisel_cell_00052
52,0.9185099601745605,bbag094_zeisel_cell_00053
53,0.8038550019264221,bbag094_zeisel_cell_00054
54,0.9522616863250732,bbag094_zeisel_cell_00055
55,0.8799720406532288,bbag094_zeisel_cell_00056
56,0.9964482188224792,bbag094_zeisel_cell_00057
57,0.8184670805931091,bbag094_zeisel_cell_00058
58,0.9936712980270386,bbag094_zeisel_cell_00059
59,1.014841079711914,bbag094_zeisel_cell_00060
60,1.5549482107162476,bbag094_zeisel_cell_00061
61,1.393654704093933,bbag094_zeisel_cell_00062
62,1.1000839471817017,bbag094_zeisel_cell_00063
63,1.7942893505096436,bbag094_zeisel_cell_00064
64,1.0532138347625732,bbag094_zeisel_cell_00065
65,1.4354289770126343,bbag094_zeisel_cell_00066
66,0.8388391137123108,bbag094_zeisel_cell_00067
67,1.2105427980422974,bbag094_zeisel_cell_00068
68,1.0829142332077026,bbag094_zeisel_cell_00069
69,1.0156372785568237,bbag094_zeisel_cell_00070
