hdbscan_final,leiden_target8_final,true_label
13,1,CD14+ Monocytes
11,1,CD14+ Monocytes
3,5,CD4 T cells
4,1,CD14+ Monocytes
0,6,Dendritic cells
3,0,CD4 T cells
11,1,CD14+ Monocytes
3,0,CD4 T cells
11,1,CD14+ Monocytes
3,2,NK cells
3,0,CD4 T cells
3,5,CD4 T cells
3,0,CD4 T cells
3,0,CD4 T cells
13,3,CD8 T cells
6,3,B cells
11,1,CD14+ Monocytes
3,2,CD8 T cells
3,0,CD4 T cells
3,0,CD4 T cells
11,1,CD14+ Monocytes
3,0,CD4 T cells
6,3,B cells
3,2,NK cells
3,0,CD4 T cells
3,2,CD8 T cells
1,7,Megakaryocytes
1,7,FCGR3A+ Monocytes
3,0,CD4 T cells
6,3,B cells
13,3,B cells
3,0,CD4 T cells
11,1,CD14+ Monocytes
3,5,CD8 T cells
1,7,CD4 T cells
3,2,CD4 T cells
3,0,CD4 T cells
3,5,CD4 T cells
7,3,B cells
3,0,CD4 T cells
11,1,CD14+ Monocytes
11,1,CD14+ Monocytes
10,4,FCGR3A+ Monocytes
3,2,CD8 T cells
6,3,B cells
13,3,B cells
3,5,CD4 T cells
11,1,CD14+ Monocytes
3,0,CD4 T cells
12,6,Dendritic cells
3,5,CD8 T cells
11,1,CD14+ Monocytes
3,0,CD4 T cells
10,4,FCGR3A+ Monocytes
11,1,CD14+ Monocytes
3,0,CD4 T cells
6,3,B cells
3,0,CD4 T cells
11,1,CD14+ Monocytes
3,2,CD4 T cells
3,2,NK cells
13,3,B cells
10,4,FCGR3A+ Monocytes
3,0,CD4 T cells
3,2,NK cells
3,0,CD4 T cells
3,0,CD4 T cells
11,1,CD14+ Monocytes
3,0,CD4 T cells
13,1,CD14+ Monocytes
3,0,CD4 T cells
3,5,CD4 T cells
3,2,NK cells
3,2,CD8 T cells
3,0,CD4 T cells
11,1,CD14+ Monocytes
3,0,CD4 T cells
3,0,CD4 T cells
3,0,CD4 T cells
11,1,CD14+ Monocytes
3,0,CD4 T cells
3,5,CD4 T cells
1,7,CD8 T cells
3,0,CD4 T cells
