hdbscan_final,leiden_target14_final,true_label
12,5,acinar
13,3,acinar
12,5,acinar
13,3,acinar
13,3,acinar
12,5,acinar
20,1,beta
12,5,acinar
13,3,acinar
13,3,acinar
23,3,acinar
12,5,acinar
3,4,delta
3,4,delta
22,1,beta
7,8,activated_stellate
20,1,beta
12,5,acinar
1,2,ductal
20,1,beta
20,1,beta
17,0,alpha
1,2,ductal
20,1,beta
3,4,delta
17,0,alpha
20,1,beta
13,3,acinar
12,5,acinar
20,1,beta
3,4,delta
3,4,delta
3,4,delta
3,4,delta
20,1,beta
13,3,acinar
20,1,beta
20,1,beta
22,1,beta
3,4,delta
7,8,activated_stellate
20,1,beta
3,4,delta
7,8,activated_stellate
7,8,activated_stellate
7,8,activated_stellate
12,5,acinar
7,8,activated_stellate
3,4,delta
20,1,beta
3,4,delta
20,1,beta
13,3,acinar
20,1,beta
20,1,beta
7,8,activated_stellate
20,1,beta
20,1,beta
20,1,beta
22,1,beta
1,2,ductal
17,0,alpha
22,1,beta
1,2,ductal
1,2,ductal
12,5,acinar
17,0,alpha
20,1,beta
3,4,delta
17,0,alpha
22,1,beta
22,1,beta
23,1,beta
3,4,delta
20,1,beta
20,1,beta
3,4,delta
23,1,beta
20,1,beta
20,1,beta
20,1,beta
20,1,beta
20,1,beta
12,5,acinar
7,8,activated_stellate
3,4,delta
3,4,delta
20,1,beta
22,1,beta
20,1,beta
20,1,beta
20,1,beta
20,1,beta
20,1,beta
20,1,beta
22,1,beta
20,1,beta
3,4,delta
3,4,delta
20,1,beta
3,4,delta
17,0,alpha
17,0,alpha
3,4,delta
20,1,beta
20,1,beta
23,1,beta
20,1,beta
13,3,acinar
3,4,delta
20,1,beta
23,1,beta
3,4,delta
20,1,beta
20,1,beta
20,1,beta
3,4,delta
20,1,beta
3,4,delta
20,1,beta
20,1,beta
23,1,beta
3,4,epsilon
20,1,beta
20,1,beta
20,1,beta
23,0,delta
20,1,beta
3,4,delta
20,1,beta
17,0,alpha
17,0,alpha
20,1,beta
12,5,acinar
17,0,alpha
20,1,beta
20,1,beta
17,0,alpha
20,1,beta
