cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch
0,human1_lib1.final_cell_0001,12,acinar,acinar,inDrop1
1,human1_lib1.final_cell_0002,13,acinar,Unmatched_13,inDrop1
2,human1_lib1.final_cell_0003,12,acinar,acinar,inDrop1
3,human1_lib1.final_cell_0004,13,acinar,Unmatched_13,inDrop1
4,human1_lib1.final_cell_0005,13,acinar,Unmatched_13,inDrop1
5,human1_lib1.final_cell_0006,12,acinar,acinar,inDrop1
6,human1_lib1.final_cell_0007,20,beta,beta,inDrop1
7,human1_lib1.final_cell_0008,12,acinar,acinar,inDrop1
8,human1_lib1.final_cell_0009,13,acinar,Unmatched_13,inDrop1
9,human1_lib1.final_cell_0010,13,acinar,Unmatched_13,inDrop1
10,human1_lib1.final_cell_0011,23,acinar,epsilon,inDrop1
11,human1_lib1.final_cell_0012,12,acinar,acinar,inDrop1
12,human1_lib1.final_cell_0013,3,delta,delta,inDrop1
13,human1_lib1.final_cell_0014,3,delta,delta,inDrop1
14,human1_lib1.final_cell_0015,22,beta,Unmatched_22,inDrop1
15,human1_lib1.final_cell_0016,7,activated_stellate,activated_stellate,inDrop1
16,human1_lib1.final_cell_0017,20,beta,beta,inDrop1
17,human1_lib1.final_cell_0018,12,acinar,acinar,inDrop1
18,human1_lib1.final_cell_0019,1,ductal,ductal,inDrop1
19,human1_lib1.final_cell_0020,20,beta,beta,inDrop1
20,human1_lib1.final_cell_0021,20,beta,beta,inDrop1
21,human1_lib1.final_cell_0022,17,alpha,alpha,inDrop1
22,human1_lib1.final_cell_0023,1,ductal,ductal,inDrop1
23,human1_lib1.final_cell_0024,20,beta,beta,inDrop1
24,human1_lib1.final_cell_0025,3,delta,delta,inDrop1
25,human1_lib1.final_cell_0026,17,alpha,alpha,inDrop1
26,human1_lib1.final_cell_0027,20,beta,beta,inDrop1
27,human1_lib1.final_cell_0028,13,acinar,Unmatched_13,inDrop1
28,human1_lib1.final_cell_0029,12,acinar,acinar,inDrop1
29,human1_lib1.final_cell_0030,20,beta,beta,inDrop1
30,human1_lib1.final_cell_0031,3,delta,delta,inDrop1
31,human1_lib1.final_cell_0032,3,delta,delta,inDrop1
32,human1_lib1.final_cell_0033,3,delta,delta,inDrop1
33,human1_lib1.final_cell_0034,3,delta,delta,inDrop1
34,human1_lib1.final_cell_0035,20,beta,beta,inDrop1
35,human1_lib1.final_cell_0036,13,acinar,Unmatched_13,inDrop1
36,human1_lib1.final_cell_0037,20,beta,beta,inDrop1
37,human1_lib1.final_cell_0038,20,beta,beta,inDrop1
