cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,6.0943803787231445,8.239656448364258,12,human1_lib1.final_cell_0001,acinar,acinar,inDrop1,1.5738260746002197
1,10.540236473083496,10.73318862915039,13,human1_lib1.final_cell_0002,acinar,Unmatched_13,inDrop1,1.469348669052124
2,5.524120330810547,7.485598564147949,12,human1_lib1.final_cell_0003,acinar,acinar,inDrop1,1.0162714719772339
3,10.852063179016113,11.09179401397705,13,human1_lib1.final_cell_0004,acinar,Unmatched_13,inDrop1,1.4899793863296509
4,10.697343826293945,10.843013763427734,13,human1_lib1.final_cell_0005,acinar,Unmatched_13,inDrop1,1.3904151916503906
5,5.815804481506348,7.80892276763916,12,human1_lib1.final_cell_0006,acinar,acinar,inDrop1,1.3727607727050781
6,19.397602081298828,-1.5929723978042603,20,human1_lib1.final_cell_0007,beta,beta,inDrop1,0.6712150573730469
7,5.988424777984619,8.034268379211426,12,human1_lib1.final_cell_0008,acinar,acinar,inDrop1,1.5069563388824463
8,10.753506660461426,10.902539253234863,13,human1_lib1.final_cell_0009,acinar,Unmatched_13,inDrop1,1.5977988243103027
9,10.373282432556152,10.635787010192871,13,human1_lib1.final_cell_0010,acinar,Unmatched_13,inDrop1,1.897465705871582
10,10.401667594909668,10.654069900512695,23,human1_lib1.final_cell_0011,acinar,epsilon,inDrop1,1.9100123643875122
11,5.644331932067871,7.593323707580566,12,human1_lib1.final_cell_0012,acinar,acinar,inDrop1,1.2552376985549927
12,5.027069568634033,15.058463096618652,3,human1_lib1.final_cell_0013,delta,delta,inDrop1,0.5755720734596252
13,4.886127948760986,15.077957153320312,3,human1_lib1.final_cell_0014,delta,delta,inDrop1,0.5605523586273193
14,17.407556533813477,4.157145977020264,22,human1_lib1.final_cell_0015,beta,Unmatched_22,inDrop1,1.2566925287246704
15,-8.240654945373535,4.002155780792236,7,human1_lib1.final_cell_0016,activated_stellate,activated_stellate,inDrop1,2.260580062866211
16,16.41924285888672,0.897907555103302,20,human1_lib1.final_cell_0017,beta,beta,inDrop1,0.9757001996040344
17,6.289440155029297,8.446586608886719,12,human1_lib1.final_cell_0018,acinar,acinar,inDrop1,1.8472808599472046
18,-2.1534273624420166,4.938536167144775,1,human1_lib1.final_cell_0019,ductal,ductal,inDrop1,1.265690565109253
19,20.6612491607666,-2.3408026695251465,20,human1_lib1.final_cell_0020,beta,beta,inDrop1,0.5392966270446777
20,18.87468719482422,-2.2841975688934326,20,human1_lib1.final_cell_0021,beta,beta,inDrop1,0.6517848968505859
21,3.994260311126709,-4.046189308166504,17,human1_lib1.final_cell_0022,alpha,alpha,inDrop1,0.3846716582775116
22,-1.1774321794509888,6.030310153961182,1,human1_lib1.final_cell_0023,ductal,ductal,inDrop1,1.8086227178573608
23,20.905458450317383,-2.5373871326446533,20,human1_lib1.final_cell_0024,beta,beta,inDrop1,0.5905869603157043
24,5.603530406951904,14.670036315917969,3,human1_lib1.final_cell_0025,delta,delta,inDrop1,0.5325475335121155
25,5.295269966125488,-3.1817989349365234,17,human1_lib1.final_cell_0026,alpha,alpha,inDrop1,0.4088204503059387
26,20.775230407714844,-1.8915799856185913,20,human1_lib1.final_cell_0027,beta,beta,inDrop1,0.6406861543655396
27,10.744998931884766,10.799727439880371,13,human1_lib1.final_cell_0028,acinar,Unmatched_13,inDrop1,1.5553089380264282
28,5.94743537902832,7.989136695861816,12,human1_lib1.final_cell_0029,acinar,acinar,inDrop1,1.6401721239089966
29,18.73441505432129,-2.1778807640075684,20,human1_lib1.final_cell_0030,beta,beta,inDrop1,0.5921987295150757
30,4.667639255523682,14.876246452331543,3,human1_lib1.final_cell_0031,delta,delta,inDrop1,0.6746687293052673
31,4.678831100463867,15.285990715026855,3,human1_lib1.final_cell_0032,delta,delta,inDrop1,0.5599569082260132
32,4.7544264793396,14.884251594543457,3,human1_lib1.final_cell_0033,delta,delta,inDrop1,0.4928831160068512
33,4.859070301055908,15.410623550415039,3,human1_lib1.final_cell_0034,delta,delta,inDrop1,0.7123336791992188
34,16.85651206970215,-0.4177093207836151,20,human1_lib1.final_cell_0035,beta,beta,inDrop1,0.7347822189331055
35,10.484488487243652,10.724592208862305,13,human1_lib1.final_cell_0036,acinar,Unmatched_13,inDrop1,1.5654441118240356
36,20.419918060302734,-2.774587392807007,20,human1_lib1.final_cell_0037,beta,beta,inDrop1,0.5755833983421326
37,17.064159393310547,-0.2156125009059906,20,human1_lib1.final_cell_0038,beta,beta,inDrop1,0.7361496090888977
38,18.177825927734375,5.102705478668213,22,human1_lib1.final_cell_0039,beta,Unmatched_22,inDrop1,1.043686032295227
39,5.140562057495117,15.289402961730957,3,human1_lib1.final_cell_0040,delta,delta,inDrop1,0.47128239274024963
40,-8.485217094421387,4.095092296600342,7,human1_lib1.final_cell_0041,activated_stellate,activated_stellate,inDrop1,1.7738271951675415
41,19.093769073486328,-1.4555224180221558,20,human1_lib1.final_cell_0042,beta,beta,inDrop1,0.6600801944732666
42,4.5230302810668945,15.238767623901367,3,human1_lib1.final_cell_0043,delta,delta,inDrop1,0.6597726941108704
43,-8.39292049407959,4.000957489013672,7,human1_lib1.final_cell_0044,activated_stellate,activated_stellate,inDrop1,1.8681457042694092
44,-8.062564849853516,3.2186312675476074,7,human1_lib1.final_cell_0045,activated_stellate,activated_stellate,inDrop1,2.620918035507202
45,-8.665803909301758,3.8846185207366943,7,human1_lib1.final_cell_0046,activated_stellate,activated_stellate,inDrop1,1.989662766456604
46,6.319901943206787,8.478987693786621,12,human1_lib1.final_cell_0047,acinar,acinar,inDrop1,1.5491268634796143
47,-8.93134593963623,4.296103477478027,7,human1_lib1.final_cell_0048,activated_stellate,activated_stellate,inDrop1,2.0549674034118652
48,4.833323001861572,14.931023597717285,3,human1_lib1.final_cell_0049,delta,delta,inDrop1,0.4806329607963562
49,20.25798988342285,-2.402451753616333,20,human1_lib1.final_cell_0050,beta,beta,inDrop1,0.4909461736679077
50,4.065491676330566,14.801634788513184,3,human1_lib1.final_cell_0051,delta,delta,inDrop1,0.8118712306022644
51,19.634239196777344,-2.4703047275543213,20,human1_lib1.final_cell_0052,beta,beta,inDrop1,0.5272908210754395
