hdbscan_final,leiden_target13_final,true_label
12,0,alpha
2,10,endothelial
13,4,delta
4,2,beta
9,1,ductal
9,1,ductal
12,0,alpha
12,0,alpha
2,10,endothelial
12,0,alpha
12,0,alpha
7,3,acinar
7,3,acinar
14,0,alpha
12,0,alpha
12,0,alpha
4,2,beta
9,1,ductal
7,3,acinar
12,0,alpha
9,1,ductal
7,3,acinar
13,4,delta
7,3,acinar
12,5,alpha
6,11,mast
4,2,alpha
9,1,ductal
7,3,acinar
7,3,acinar
14,1,ductal
13,4,gamma
12,0,alpha
13,4,gamma
9,1,ductal
9,1,ductal
14,4,gamma
7,3,acinar
7,3,acinar
12,0,alpha
13,4,delta
9,1,ductal
9,1,ductal
7,3,acinar
12,0,alpha
7,3,acinar
12,0,alpha
9,1,ductal
7,3,acinar
9,1,ductal
9,1,ductal
7,3,acinar
9,1,ductal
12,0,alpha
9,1,ductal
13,4,gamma
4,2,beta
7,3,acinar
9,1,ductal
0,8,activated_stellate
7,3,acinar
12,0,alpha
7,3,acinar
12,0,alpha
12,0,alpha
7,3,acinar
7,3,acinar
13,4,gamma
9,1,ductal
12,0,alpha
6,11,mast
14,0,alpha
4,2,beta
7,3,acinar
7,3,acinar
2,10,endothelial
7,3,acinar
5,11,macrophage
12,0,alpha
7,3,acinar
7,3,acinar
7,3,acinar
14,0,alpha
13,4,gamma
0,8,quiescent_stellate
12,0,alpha
7,3,acinar
12,0,alpha
4,2,beta
12,0,alpha
12,0,alpha
12,0,alpha
13,4,gamma
12,0,alpha
13,4,delta
6,11,mast
13,4,gamma
7,3,acinar
7,3,acinar
4,2,beta
7,3,acinar
9,1,ductal
4,2,beta
7,3,acinar
4,2,beta
12,0,alpha
7,3,alpha
4,2,beta
12,0,alpha
2,10,endothelial
7,3,acinar
9,1,ductal
7,3,alpha
7,3,acinar
7,3,acinar
9,1,ductal
9,1,ductal
12,0,alpha
13,4,delta
7,3,acinar
9,1,ductal
12,0,alpha
7,3,acinar
12,0,alpha
12,0,alpha
9,1,ductal
7,3,acinar
12,0,alpha
7,3,acinar
13,4,delta
12,0,alpha
7,3,acinar
9,1,ductal
5,11,macrophage
4,2,beta
