cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch
0,D28-1_1,12,alpha,alpha,celseq2
1,D28-1_2,2,endothelial,endothelial,celseq2
2,D28-1_3,13,delta,delta,celseq2
3,D28-1_4,4,beta,beta,celseq2
4,D28-1_5,9,ductal,ductal,celseq2
5,D28-1_13,9,ductal,ductal,celseq2
6,D28-1_15,12,alpha,alpha,celseq2
7,D28-1_17,12,alpha,alpha,celseq2
8,D28-1_26,2,endothelial,endothelial,celseq2
9,D28-1_29,12,alpha,alpha,celseq2
10,D28-1_30,12,alpha,alpha,celseq2
11,D28-1_37,7,acinar,acinar,celseq2
12,D28-1_38,7,acinar,acinar,celseq2
13,D28-1_39,14,alpha,epsilon,celseq2
14,D28-1_40,12,alpha,alpha,celseq2
15,D28-1_41,12,alpha,alpha,celseq2
16,D28-1_43,4,beta,beta,celseq2
17,D28-1_49,9,ductal,ductal,celseq2
18,D28-1_50,7,acinar,acinar,celseq2
19,D28-1_51,12,alpha,alpha,celseq2
20,D28-1_52,9,ductal,ductal,celseq2
21,D28-1_55,7,acinar,acinar,celseq2
22,D28-1_61,13,delta,delta,celseq2
23,D28-1_62,7,acinar,acinar,celseq2
24,D28-1_63,12,alpha,alpha,celseq2
25,D28-1_64,6,mast,mast,celseq2
26,D28-1_65,4,alpha,beta,celseq2
27,D28-1_66,9,ductal,ductal,celseq2
28,D28-1_67,7,acinar,acinar,celseq2
29,D28-1_68,7,acinar,acinar,celseq2
30,D28-1_73,14,ductal,epsilon,celseq2
31,D28-1_74,13,gamma,delta,celseq2
32,D28-1_75,12,alpha,alpha,celseq2
33,D28-1_76,13,gamma,delta,celseq2
34,D28-1_77,9,ductal,ductal,celseq2
35,D28-1_80,9,ductal,ductal,celseq2
36,D28-1_85,14,gamma,epsilon,celseq2
37,D28-1_86,7,acinar,acinar,celseq2
38,D28-1_87,7,acinar,acinar,celseq2
39,D28-1_88,12,alpha,alpha,celseq2
40,D28-1_89,13,delta,delta,celseq2
41,D28-1_90,9,ductal,ductal,celseq2
42,D28-1_91,9,ductal,ductal,celseq2
43,D28-2_1,7,acinar,acinar,celseq2
44,D28-2_2,12,alpha,alpha,celseq2
45,D28-2_4,7,acinar,acinar,celseq2
46,D28-2_5,12,alpha,alpha,celseq2
47,D28-2_13,9,ductal,ductal,celseq2
48,D28-2_15,7,acinar,acinar,celseq2
49,D28-2_16,9,ductal,ductal,celseq2
50,D28-2_17,9,ductal,ductal,celseq2
51,D28-2_18,7,acinar,acinar,celseq2
52,D28-2_26,9,ductal,ductal,celseq2
53,D28-2_28,12,alpha,alpha,celseq2
54,D28-2_29,9,ductal,ductal,celseq2
55,D28-2_37,13,gamma,delta,celseq2
56,D28-2_38,4,beta,beta,celseq2
57,D28-2_39,7,acinar,acinar,celseq2
58,D28-2_40,9,ductal,ductal,celseq2
59,D28-2_41,0,activated_stellate,activated_stellate,celseq2
60,D28-2_42,7,acinar,acinar,celseq2
61,D28-2_43,12,alpha,alpha,celseq2
62,D28-2_49,7,acinar,acinar,celseq2
63,D28-2_51,12,alpha,alpha,celseq2
64,D28-2_52,12,alpha,alpha,celseq2
65,D28-2_53,7,acinar,acinar,celseq2
66,D28-2_61,7,acinar,acinar,celseq2
67,D28-2_63,13,gamma,delta,celseq2
68,D28-2_64,9,ductal,ductal,celseq2
69,D28-2_65,12,alpha,alpha,celseq2
70,D28-2_66,6,mast,mast,celseq2
71,D28-2_68,14,alpha,epsilon,celseq2
72,D28-2_73,4,beta,beta,celseq2
73,D28-2_74,7,acinar,acinar,celseq2
74,D28-2_75,7,acinar,acinar,celseq2
75,D28-2_76,2,endothelial,endothelial,celseq2
76,D28-2_78,7,acinar,acinar,celseq2
77,D28-2_79,5,macrophage,macrophage,celseq2
78,D28-2_85,12,alpha,alpha,celseq2
79,D28-2_86,7,acinar,acinar,celseq2
80,D28-2_87,7,acinar,acinar,celseq2
81,D28-2_89,7,acinar,acinar,celseq2
82,D28-2_90,14,alpha,epsilon,celseq2
83,D28-2_91,13,gamma,delta,celseq2
84,D28-3_1,0,quiescent_stellate,activated_stellate,celseq2
85,D28-3_3,12,alpha,alpha,celseq2
86,D28-3_4,7,acinar,acinar,celseq2
87,D28-3_5,12,alpha,alpha,celseq2
88,D28-3_6,4,beta,beta,celseq2
89,D28-3_7,12,alpha,alpha,celseq2
90,D28-3_8,12,alpha,alpha,celseq2
91,D28-3_13,12,alpha,alpha,celseq2
92,D28-3_14,13,gamma,delta,celseq2
93,D28-3_15,12,alpha,alpha,celseq2
94,D28-3_16,13,delta,delta,celseq2
95,D28-3_17,6,mast,mast,celseq2
96,D28-3_18,13,gamma,delta,celseq2
97,D28-3_25,7,acinar,acinar,celseq2
98,D28-3_26,7,acinar,acinar,celseq2
99,D28-3_27,4,beta,beta,celseq2
100,D28-3_28,7,acinar,acinar,celseq2
101,D28-3_29,9,ductal,ductal,celseq2
102,D28-3_30,4,beta,beta,celseq2
103,D28-3_31,7,acinar,acinar,celseq2
104,D28-3_37,4,beta,beta,celseq2
105,D28-3_38,12,alpha,alpha,celseq2
106,D28-3_40,7,alpha,acinar,celseq2
107,D28-3_41,4,beta,beta,celseq2
108,D28-3_42,12,alpha,alpha,celseq2
109,D28-3_43,2,endothelial,endothelial,celseq2
110,D28-3_44,7,acinar,acinar,celseq2
111,D28-3_49,9,ductal,ductal,celseq2
112,D28-3_50,7,alpha,acinar,celseq2
113,D28-3_51,7,acinar,acinar,celseq2
114,D28-3_52,7,acinar,acinar,celseq2
115,D28-3_53,9,ductal,ductal,celseq2
116,D28-3_54,9,ductal,ductal,celseq2
117,D28-3_55,12,alpha,alpha,celseq2
118,D28-3_61,13,delta,delta,celseq2
119,D28-3_62,7,acinar,acinar,celseq2
120,D28-3_63,9,ductal,ductal,celseq2
121,D28-3_64,12,alpha,alpha,celseq2
122,D28-3_65,7,acinar,acinar,celseq2
123,D28-3_68,12,alpha,alpha,celseq2
124,D28-3_69,12,alpha,alpha,celseq2
125,D28-3_73,9,ductal,ductal,celseq2
126,D28-3_75,7,acinar,acinar,celseq2
127,D28-3_76,12,alpha,alpha,celseq2
128,D28-3_77,7,acinar,acinar,celseq2
129,D28-3_78,13,delta,delta,celseq2
130,D28-3_79,12,alpha,alpha,celseq2
131,D28-3_85,7,acinar,acinar,celseq2
132,D28-3_86,9,ductal,ductal,celseq2
133,D28-3_88,5,macrophage,macrophage,celseq2
