cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,6.136706352233887,14.948023796081543,12,D28-1_1,alpha,alpha,celseq2,0.6494241952896118
1,15.301593780517578,-10.977949142456055,2,D28-1_2,endothelial,endothelial,celseq2,3.003685235977173
2,-5.6277055740356445,16.971046447753906,13,D28-1_3,delta,delta,celseq2,0.5298840403556824
3,-9.094893455505371,0.29436352849006653,4,D28-1_4,beta,beta,celseq2,0.6620426177978516
4,7.124037265777588,-4.041347026824951,9,D28-1_5,ductal,ductal,celseq2,1.6824908256530762
5,6.769449234008789,-1.9606820344924927,9,D28-1_13,ductal,ductal,celseq2,1.2725534439086914
6,6.808966159820557,13.036599159240723,12,D28-1_15,alpha,alpha,celseq2,0.39545971155166626
7,5.781848430633545,14.160972595214844,12,D28-1_17,alpha,alpha,celseq2,0.4566443860530853
8,15.213127136230469,-10.899031639099121,2,D28-1_26,endothelial,endothelial,celseq2,3.1751623153686523
9,6.6475653648376465,13.194554328918457,12,D28-1_29,alpha,alpha,celseq2,0.514042317867279
10,6.622964859008789,13.604949951171875,12,D28-1_30,alpha,alpha,celseq2,0.4074995517730713
11,17.63981819152832,8.943528175354004,7,D28-1_37,acinar,acinar,celseq2,0.7272436022758484
12,17.687488555908203,9.651336669921875,7,D28-1_38,acinar,acinar,celseq2,2.0057294368743896
13,7.045788288116455,12.994399070739746,14,D28-1_39,alpha,epsilon,celseq2,1.3995367288589478
14,7.367927074432373,15.582148551940918,12,D28-1_40,alpha,alpha,celseq2,0.43841928243637085
15,6.804687023162842,13.038020133972168,12,D28-1_41,alpha,alpha,celseq2,0.5226076245307922
16,-9.190347671508789,-0.07863596826791763,4,D28-1_43,beta,beta,celseq2,0.8658207058906555
17,8.638014793395996,-3.67905330657959,9,D28-1_49,ductal,ductal,celseq2,1.1808364391326904
18,17.809720993041992,8.85814094543457,7,D28-1_50,acinar,acinar,celseq2,0.7802754044532776
19,8.952540397644043,14.59402847290039,12,D28-1_51,alpha,alpha,celseq2,0.49204447865486145
20,8.082830429077148,-3.7035536766052246,9,D28-1_52,ductal,ductal,celseq2,1.2164303064346313
21,17.240690231323242,8.184303283691406,7,D28-1_55,acinar,acinar,celseq2,0.8145917654037476
22,-5.461771011352539,16.783063888549805,13,D28-1_61,delta,delta,celseq2,0.5729418992996216
23,17.78668975830078,8.254977226257324,7,D28-1_62,acinar,acinar,celseq2,0.7094916105270386
24,4.438307285308838,12.864567756652832,12,D28-1_63,alpha,alpha,celseq2,0.6299980282783508
25,6.966192245483398,3.8720827102661133,6,D28-1_64,mast,mast,celseq2,3.993431806564331
26,-8.15805721282959,-1.3583850860595703,4,D28-1_65,alpha,beta,celseq2,1.060258388519287
27,8.69843578338623,-3.37858510017395,9,D28-1_66,ductal,ductal,celseq2,1.09060537815094
28,17.329849243164062,9.068860054016113,7,D28-1_67,acinar,acinar,celseq2,1.0012229681015015
29,17.85219383239746,8.212264060974121,7,D28-1_68,acinar,acinar,celseq2,0.908564031124115
30,6.931066989898682,-4.152538299560547,14,D28-1_73,ductal,epsilon,celseq2,2.0734949111938477
31,-2.3831257820129395,16.903675079345703,13,D28-1_74,gamma,delta,celseq2,1.179995059967041
32,7.751497745513916,14.438100814819336,12,D28-1_75,alpha,alpha,celseq2,0.5351074934005737
33,-3.057295799255371,17.21855354309082,13,D28-1_76,gamma,delta,celseq2,1.327330231666565
34,8.680842399597168,-3.818694591522217,9,D28-1_77,ductal,ductal,celseq2,1.1410020589828491
35,8.320097923278809,-4.556183338165283,9,D28-1_80,ductal,ductal,celseq2,1.7229208946228027
36,-5.413914680480957,17.502878189086914,14,D28-1_85,gamma,epsilon,celseq2,1.991258144378662
37,17.515316009521484,9.217801094055176,7,D28-1_86,acinar,acinar,celseq2,0.7984583377838135
38,15.998552322387695,6.452875137329102,7,D28-1_87,acinar,acinar,celseq2,1.2323262691497803
39,5.704185962677002,13.769737243652344,12,D28-1_88,alpha,alpha,celseq2,0.4558131694793701
40,-5.054900646209717,16.04569435119629,13,D28-1_89,delta,delta,celseq2,0.5241708755493164
41,7.798444747924805,-2.9240527153015137,9,D28-1_90,ductal,ductal,celseq2,0.7589362859725952
42,9.256584167480469,-4.608579158782959,9,D28-1_91,ductal,ductal,celseq2,1.3670551776885986
43,17.312503814697266,7.487412929534912,7,D28-2_1,acinar,acinar,celseq2,0.6976556181907654
