hdbscan_final,leiden_target19_final,true_label
0,1,7MEP
3,2,15Mo
2,11,3Ery
4,0,15Mo
2,7,3Ery
4,0,15Mo
2,7,4Ery
0,1,2Ery
2,11,3Ery
5,6,2Ery
5,6,2Ery
1,14,17Neu
3,2,14Mo
1,3,13Baso
5,6,3Ery
0,1,7MEP
2,11,3Ery
5,6,3Ery
6,12,2Ery
0,17,8Mk
5,4,3Ery
1,3,9GMP
0,17,8Mk
1,8,10GMP
1,9,15Mo
4,0,16Neu
5,6,4Ery
1,3,13Baso
1,14,17Neu
2,7,3Ery
5,6,2Ery
2,7,3Ery
5,4,5Ery
5,4,3Ery
1,3,13Baso
6,12,1Ery
2,11,3Ery
2,7,6Ery
1,9,15Mo
5,4,3Ery
5,6,3Ery
3,2,14Mo
7,13,19Lymph
1,3,12Baso
2,11,3Ery
3,2,14Mo
5,4,6Ery
2,7,4Ery
0,1,7MEP
6,15,2Ery
1,3,13Baso
4,0,14Mo
5,4,6Ery
1,8,18Eos
5,6,4Ery
5,6,3Ery
5,6,3Ery
3,2,14Mo
6,15,2Ery
3,5,13Baso
6,15,2Ery
3,2,13Baso
1,3,13Baso
3,2,14Mo
0,1,7MEP
2,11,7MEP
0,1,7MEP
1,3,10GMP
1,14,12Baso
5,4,6Ery
5,10,5Ery
5,4,5Ery
4,0,14Mo
5,6,4Ery
4,0,16Neu
4,0,16Neu
2,7,3Ery
5,6,2Ery
5,10,6Ery
1,3,13Baso
1,3,13Baso
1,3,10GMP
4,0,14Mo
5,10,5Ery
0,1,7MEP
0,1,7MEP
5,10,5Ery
5,4,6Ery
6,15,2Ery
1,3,10GMP
1,3,10GMP
5,6,2Ery
0,1,7MEP
5,4,6Ery
0,1,7MEP
3,2,14Mo
3,5,16Neu
1,3,10GMP
5,16,3Ery
2,11,3Ery
3,2,13Baso
6,12,1Ery
3,5,14Mo
3,2,15Mo
5,10,2Ery
5,4,5Ery
6,12,2Ery
5,4,5Ery
2,11,3Ery
3,5,14Mo
1,3,10GMP
6,12,2Ery
0,1,7MEP
5,4,4Ery
1,3,9GMP
0,1,7MEP
6,15,3Ery
4,0,16Neu
8,13,11DC
7,13,10GMP
2,7,6Ery
5,4,3Ery
6,12,2Ery
5,6,5Ery
6,12,2Ery
5,6,2Ery
5,4,5Ery
3,5,14Mo
5,4,5Ery
3,5,14Mo
2,7,3Ery
5,6,2Ery
4,0,16Neu
6,12,2Ery
1,8,13Baso
1,9,16Neu
6,15,2Ery
2,7,3Ery
5,6,3Ery
3,5,14Mo
5,16,5Ery
4,0,16Neu
3,5,14Mo
1,8,14Mo
3,2,13Baso
5,6,3Ery
1,9,14Mo
0,1,7MEP
1,3,14Mo
1,8,10GMP
0,1,2Ery
1,9,14Mo
1,9,15Mo
3,5,14Mo
4,0,16Neu
7,13,10GMP
0,1,7MEP
5,16,5Ery
1,9,16Neu
6,12,2Ery
1,9,16Neu
1,9,14Mo
1,3,10GMP
4,0,16Neu
0,1,8Mk
0,1,7MEP
3,5,14Mo
1,14,7MEP
5,4,2Ery
3,5,14Mo
1,8,14Mo
5,6,4Ery
5,4,5Ery
1,9,14Mo
1,9,14Mo
0,1,10GMP
0,1,6Ery
5,4,5Ery
1,9,14Mo
2,7,3Ery
5,4,5Ery
4,0,15Mo
5,16,5Ery
3,5,14Mo
3,5,16Neu
1,8,8Mk
2,7,3Ery
3,2,14Mo
1,14,12Baso
4,0,14Mo
2,11,3Ery
5,4,5Ery
1,8,16Neu
4,0,15Mo
3,2,13Baso
5,6,5Ery
2,11,3Ery
1,3,13Baso
1,3,12Baso
0,1,8Mk
0,1,7MEP
5,4,6Ery
5,6,2Ery
2,11,3Ery
5,6,3Ery
3,2,15Mo
2,11,3Ery
5,6,3Ery
2,7,3Ery
0,1,8Mk
5,6,2Ery
5,6,2Ery
3,2,14Mo
2,7,3Ery
3,2,15Mo
3,2,14Mo
0,1,7MEP
1,9,15Mo
5,4,3Ery
5,10,3Ery
1,3,13Baso
3,2,15Mo
5,4,3Ery
3,2,15Mo
3,2,13Baso
5,4,3Ery
4,0,15Mo
4,0,15Mo
3,2,13Baso
9,13,19Lymph
5,4,4Ery
5,4,3Ery
3,5,14Mo
5,6,4Ery
0,1,6Ery
4,0,16Neu
3,2,14Mo
6,12,3Ery
0,1,17Neu
3,2,15Mo
5,4,4Ery
2,11,3Ery
5,4,6Ery
3,2,14Mo
2,11,3Ery
1,9,16Neu
3,2,14Mo
3,5,15Mo
0,1,7MEP
1,3,13Baso
4,0,15Mo
3,2,14Mo
2,7,3Ery
6,15,2Ery
5,6,2Ery
3,2,14Mo
6,12,2Ery
4,0,13Baso
5,6,2Ery
2,7,3Ery
1,14,13Baso
1,8,12Baso
6,15,2Ery
1,3,10GMP
5,16,5Ery
3,5,13Baso
2,7,3Ery
1,8,9GMP
4,0,15Mo
5,6,2Ery
1,8,10GMP
5,6,5Ery
5,10,5Ery
6,15,2Ery
1,3,14Mo
1,3,13Baso
6,12,2Ery
3,2,14Mo
4,0,16Neu
1,8,12Baso
3,5,14Mo
1,9,14Mo
5,6,3Ery
1,3,14Mo
1,3,13Baso
1,3,12Baso
5,16,5Ery
1,8,10GMP
1,9,14Mo
5,4,4Ery
3,5,15Mo
8,13,11DC
2,11,3Ery
5,6,4Ery
5,10,4Ery
5,6,4Ery
5,6,4Ery
5,16,5Ery
6,12,1Ery
4,0,16Neu
3,2,14Mo
6,15,2Ery
5,4,5Ery
1,9,15Mo
5,4,5Ery
5,6,2Ery
5,4,5Ery
6,12,1Ery
0,1,7MEP
5,16,2Ery
1,14,14Mo
0,1,10GMP
5,6,2Ery
3,5,14Mo
0,1,6Ery
0,1,9GMP
2,11,3Ery
5,16,2Ery
5,10,3Ery
0,1,12Baso
5,16,2Ery
1,8,18Eos
5,10,5Ery
5,4,3Ery
3,5,15Mo
1,9,14Mo
6,12,2Ery
5,4,6Ery
1,9,14Mo
6,12,2Ery
5,16,5Ery
1,8,12Baso
0,1,7MEP
1,14,17Neu
3,5,14Mo
5,16,2Ery
5,16,5Ery
6,15,2Ery
