cell_index,cell_id,predicted_label,true_label,aligned_predicted_label,batch
0,W31105,0,7MEP,7MEP,single_batch
1,W31106,3,15Mo,14Mo,single_batch
2,W31107,2,3Ery,3Ery,single_batch
3,W31108,4,15Mo,16Neu,single_batch
4,W31109,2,3Ery,3Ery,single_batch
5,W31110,4,15Mo,16Neu,single_batch
6,W31111,2,4Ery,3Ery,single_batch
7,W31113,0,2Ery,7MEP,single_batch
8,W31114,2,3Ery,3Ery,single_batch
9,W31115,5,2Ery,5Ery,single_batch
10,W31116,5,2Ery,5Ery,single_batch
11,W31117,1,17Neu,10GMP,single_batch
12,W31118,3,14Mo,14Mo,single_batch
13,W31119,1,13Baso,10GMP,single_batch
14,W31120,5,3Ery,5Ery,single_batch
15,W31121,0,7MEP,7MEP,single_batch
16,W31122,2,3Ery,3Ery,single_batch
17,W31123,5,3Ery,5Ery,single_batch
18,W31124,6,2Ery,2Ery,single_batch
19,W31125,0,8Mk,7MEP,single_batch
20,W31126,5,3Ery,5Ery,single_batch
21,W31127,1,9GMP,10GMP,single_batch
22,W31128,0,8Mk,7MEP,single_batch
23,W31129,1,10GMP,10GMP,single_batch
24,W31130,1,15Mo,10GMP,single_batch
25,W31131,4,16Neu,16Neu,single_batch
26,W31132,5,4Ery,5Ery,single_batch
27,W31133,1,13Baso,10GMP,single_batch
28,W31134,1,17Neu,10GMP,single_batch
29,W31136,2,3Ery,3Ery,single_batch
30,W31137,5,2Ery,5Ery,single_batch
31,W31138,2,3Ery,3Ery,single_batch
32,W31139,5,5Ery,5Ery,single_batch
33,W31140,5,3Ery,5Ery,single_batch
34,W31141,1,13Baso,10GMP,single_batch
35,W31142,6,1Ery,2Ery,single_batch
36,W31143,2,3Ery,3Ery,single_batch
37,W31144,2,6Ery,3Ery,single_batch
38,W31145,1,15Mo,10GMP,single_batch
39,W31146,5,3Ery,5Ery,single_batch
40,W31147,5,3Ery,5Ery,single_batch
41,W31148,3,14Mo,14Mo,single_batch
42,W31149,7,19Lymph,19Lymph,single_batch
43,W31150,1,12Baso,10GMP,single_batch
44,W31151,2,3Ery,3Ery,single_batch
45,W31152,3,14Mo,14Mo,single_batch
46,W31153,5,6Ery,5Ery,single_batch
47,W31154,2,4Ery,3Ery,single_batch
48,W31155,0,7MEP,7MEP,single_batch
49,W31156,6,2Ery,2Ery,single_batch
50,W31157,1,13Baso,10GMP,single_batch
51,W31158,4,14Mo,16Neu,single_batch
52,W31159,5,6Ery,5Ery,single_batch
53,W31160,1,18Eos,10GMP,single_batch
54,W31161,5,4Ery,5Ery,single_batch
55,W31162,5,3Ery,5Ery,single_batch
56,W31163,5,3Ery,5Ery,single_batch
57,W31164,3,14Mo,14Mo,single_batch
58,W31165,6,2Ery,2Ery,single_batch
59,W31166,3,13Baso,14Mo,single_batch
60,W31167,6,2Ery,2Ery,single_batch
61,W31168,3,13Baso,14Mo,single_batch
62,W31169,1,13Baso,10GMP,single_batch
63,W31170,3,14Mo,14Mo,single_batch
64,W31171,0,7MEP,7MEP,single_batch
65,W31172,2,7MEP,3Ery,single_batch
66,W31173,0,7MEP,7MEP,single_batch
67,W31174,1,10GMP,10GMP,single_batch
68,W31175,1,12Baso,10GMP,single_batch
69,W31176,5,6Ery,5Ery,single_batch
70,W31177,5,5Ery,5Ery,single_batch
71,W31178,5,5Ery,5Ery,single_batch
72,W31179,4,14Mo,16Neu,single_batch
73,W31180,5,4Ery,5Ery,single_batch
74,W31181,4,16Neu,16Neu,single_batch
75,W31182,4,16Neu,16Neu,single_batch
76,W31183,2,3Ery,3Ery,single_batch
77,W31184,5,2Ery,5Ery,single_batch
78,W31185,5,6Ery,5Ery,single_batch
79,W31186,1,13Baso,10GMP,single_batch
80,W31187,1,13Baso,10GMP,single_batch
81,W31188,1,10GMP,10GMP,single_batch
82,W31189,4,14Mo,16Neu,single_batch
83,W31190,5,5Ery,5Ery,single_batch
84,W31191,0,7MEP,7MEP,single_batch
85,W31192,0,7MEP,7MEP,single_batch
86,W31193,5,5Ery,5Ery,single_batch
87,W31194,5,6Ery,5Ery,single_batch
88,W31195,6,2Ery,2Ery,single_batch
89,W31196,1,10GMP,10GMP,single_batch
90,W31197,1,10GMP,10GMP,single_batch
91,W31198,5,2Ery,5Ery,single_batch
92,W31199,0,7MEP,7MEP,single_batch
93,W31200,5,6Ery,5Ery,single_batch
94,W31201,0,7MEP,7MEP,single_batch
95,W31202,3,14Mo,14Mo,single_batch
96,W31203,3,16Neu,14Mo,single_batch
97,W31204,1,10GMP,10GMP,single_batch
98,W31205,5,3Ery,5Ery,single_batch
99,W31206,2,3Ery,3Ery,single_batch
100,W31207,3,13Baso,14Mo,single_batch
101,W31209,6,1Ery,2Ery,single_batch
102,W31210,3,14Mo,14Mo,single_batch
103,W31211,3,15Mo,14Mo,single_batch
104,W31212,5,2Ery,5Ery,single_batch
105,W31213,5,5Ery,5Ery,single_batch
106,W31214,6,2Ery,2Ery,single_batch
107,W31215,5,5Ery,5Ery,single_batch
108,W31217,2,3Ery,3Ery,single_batch
109,W31218,3,14Mo,14Mo,single_batch
110,W31219,1,10GMP,10GMP,single_batch
111,W31220,6,2Ery,2Ery,single_batch
112,W31221,0,7MEP,7MEP,single_batch
113,W31222,5,4Ery,5Ery,single_batch
114,W31223,1,9GMP,10GMP,single_batch
115,W31224,0,7MEP,7MEP,single_batch
116,W31225,6,3Ery,2Ery,single_batch
117,W31226,4,16Neu,16Neu,single_batch
118,W31227,8,11DC,11DC,single_batch
119,W31228,7,10GMP,19Lymph,single_batch
120,W31229,2,6Ery,3Ery,single_batch
121,W31230,5,3Ery,5Ery,single_batch
122,W31231,6,2Ery,2Ery,single_batch
123,W31232,5,5Ery,5Ery,single_batch
124,W31233,6,2Ery,2Ery,single_batch
125,W31234,5,2Ery,5Ery,single_batch
126,W31236,5,5Ery,5Ery,single_batch
127,W31237,3,14Mo,14Mo,single_batch
128,W31238,5,5Ery,5Ery,single_batch
129,W31239,3,14Mo,14Mo,single_batch
130,W31240,2,3Ery,3Ery,single_batch
131,W31241,5,2Ery,5Ery,single_batch
132,W31242,4,16Neu,16Neu,single_batch
133,W31243,6,2Ery,2Ery,single_batch
134,W31244,1,13Baso,10GMP,single_batch
135,W31245,1,16Neu,10GMP,single_batch
136,W31246,6,2Ery,2Ery,single_batch
137,W31247,2,3Ery,3Ery,single_batch
138,W31248,5,3Ery,5Ery,single_batch
139,W31249,3,14Mo,14Mo,single_batch
140,W31250,5,5Ery,5Ery,single_batch
141,W31251,4,16Neu,16Neu,single_batch
142,W31252,3,14Mo,14Mo,single_batch
143,W31253,1,14Mo,10GMP,single_batch
144,W31254,3,13Baso,14Mo,single_batch
145,W31255,5,3Ery,5Ery,single_batch
146,W31256,1,14Mo,10GMP,single_batch
147,W31257,0,7MEP,7MEP,single_batch
148,W31259,1,14Mo,10GMP,single_batch
149,W31260,1,10GMP,10GMP,single_batch
150,W31262,0,2Ery,7MEP,single_batch
151,W31263,1,14Mo,10GMP,single_batch
152,W31264,1,15Mo,10GMP,single_batch
153,W31265,3,14Mo,14Mo,single_batch
154,W31266,4,16Neu,16Neu,single_batch
155,W31267,7,10GMP,19Lymph,single_batch
156,W31268,0,7MEP,7MEP,single_batch
157,W31269,5,5Ery,5Ery,single_batch
158,W31270,1,16Neu,10GMP,single_batch
159,W31271,6,2Ery,2Ery,single_batch
160,W31272,1,16Neu,10GMP,single_batch
161,W31273,1,14Mo,10GMP,single_batch
162,W31274,1,10GMP,10GMP,single_batch
163,W31275,4,16Neu,16Neu,single_batch
164,W31276,0,8Mk,7MEP,single_batch
165,W31277,0,7MEP,7MEP,single_batch
166,W31278,3,14Mo,14Mo,single_batch
167,W31279,1,7MEP,10GMP,single_batch
168,W31280,5,2Ery,5Ery,single_batch
169,W31281,3,14Mo,14Mo,single_batch
170,W31282,1,14Mo,10GMP,single_batch
171,W31283,5,4Ery,5Ery,single_batch
172,W31284,5,5Ery,5Ery,single_batch
173,W31285,1,14Mo,10GMP,single_batch
174,W31286,1,14Mo,10GMP,single_batch
175,W31287,0,10GMP,7MEP,single_batch
176,W31288,0,6Ery,7MEP,single_batch
177,W31289,5,5Ery,5Ery,single_batch
178,W31290,1,14Mo,10GMP,single_batch
179,W31291,2,3Ery,3Ery,single_batch
180,W31292,5,5Ery,5Ery,single_batch
181,W31293,4,15Mo,16Neu,single_batch
182,W31294,5,5Ery,5Ery,single_batch
183,W31295,3,14Mo,14Mo,single_batch
184,W31296,3,16Neu,14Mo,single_batch
185,W31297,1,8Mk,10GMP,single_batch
186,W31298,2,3Ery,3Ery,single_batch
187,W31299,3,14Mo,14Mo,single_batch
188,W31300,1,12Baso,10GMP,single_batch
189,W31301,4,14Mo,16Neu,single_batch
190,W31302,2,3Ery,3Ery,single_batch
191,W31303,5,5Ery,5Ery,single_batch
192,W31305,1,16Neu,10GMP,single_batch
193,W31306,4,15Mo,16Neu,single_batch
194,W31307,3,13Baso,14Mo,single_batch
195,W31309,5,5Ery,5Ery,single_batch
196,W31310,2,3Ery,3Ery,single_batch
197,W31311,1,13Baso,10GMP,single_batch
198,W31312,1,12Baso,10GMP,single_batch
199,W31313,0,8Mk,7MEP,single_batch
200,W31314,0,7MEP,7MEP,single_batch
201,W31315,5,6Ery,5Ery,single_batch
202,W31316,5,2Ery,5Ery,single_batch
203,W31317,2,3Ery,3Ery,single_batch
204,W31318,5,3Ery,5Ery,single_batch
205,W31319,3,15Mo,14Mo,single_batch
206,W31321,2,3Ery,3Ery,single_batch
207,W31322,5,3Ery,5Ery,single_batch
208,W31323,2,3Ery,3Ery,single_batch
209,W31324,0,8Mk,7MEP,single_batch
210,W31325,5,2Ery,5Ery,single_batch
211,W31326,5,2Ery,5Ery,single_batch
212,W31327,3,14Mo,14Mo,single_batch
213,W31328,2,3Ery,3Ery,single_batch
214,W31329,3,15Mo,14Mo,single_batch
215,W31330,3,14Mo,14Mo,single_batch
216,W31331,0,7MEP,7MEP,single_batch
217,W31332,1,15Mo,10GMP,single_batch
218,W31333,5,3Ery,5Ery,single_batch
219,W31334,5,3Ery,5Ery,single_batch
220,W31335,1,13Baso,10GMP,single_batch
221,W31336,3,15Mo,14Mo,single_batch
222,W31337,5,3Ery,5Ery,single_batch
223,W31338,3,15Mo,14Mo,single_batch
224,W31339,3,13Baso,14Mo,single_batch
225,W31340,5,3Ery,5Ery,single_batch
226,W31341,4,15Mo,16Neu,single_batch
227,W31342,4,15Mo,16Neu,single_batch
228,W31343,3,13Baso,14Mo,single_batch
229,W31344,9,19Lymph,6Ery,single_batch
230,W31345,5,4Ery,5Ery,single_batch
231,W31346,5,3Ery,5Ery,single_batch
232,W31347,3,14Mo,14Mo,single_batch
233,W31348,5,4Ery,5Ery,single_batch
234,W31349,0,6Ery,7MEP,single_batch
235,W31350,4,16Neu,16Neu,single_batch
236,W31351,3,14Mo,14Mo,single_batch
237,W31353,6,3Ery,2Ery,single_batch
238,W31354,0,17Neu,7MEP,single_batch
239,W31355,3,15Mo,14Mo,single_batch
240,W31356,5,4Ery,5Ery,single_batch
241,W31357,2,3Ery,3Ery,single_batch
242,W31358,5,6Ery,5Ery,single_batch
243,W31359,3,14Mo,14Mo,single_batch
244,W31360,2,3Ery,3Ery,single_batch
245,W31361,1,16Neu,10GMP,single_batch
246,W31362,3,14Mo,14Mo,single_batch
247,W31363,3,15Mo,14Mo,single_batch
248,W31364,0,7MEP,7MEP,single_batch
249,W31365,1,13Baso,10GMP,single_batch
250,W31366,4,15Mo,16Neu,single_batch
251,W31367,3,14Mo,14Mo,single_batch
252,W31368,2,3Ery,3Ery,single_batch
253,W31369,6,2Ery,2Ery,single_batch
254,W31370,5,2Ery,5Ery,single_batch
255,W31371,3,14Mo,14Mo,single_batch
256,W31372,6,2Ery,2Ery,single_batch
257,W31373,4,13Baso,16Neu,single_batch
258,W31374,5,2Ery,5Ery,single_batch
259,W31375,2,3Ery,3Ery,single_batch
260,W31376,1,13Baso,10GMP,single_batch
261,W31377,1,12Baso,10GMP,single_batch
262,W31378,6,2Ery,2Ery,single_batch
263,W31379,1,10GMP,10GMP,single_batch
264,W31380,5,5Ery,5Ery,single_batch
265,W31381,3,13Baso,14Mo,single_batch
266,W31382,2,3Ery,3Ery,single_batch
267,W31383,1,9GMP,10GMP,single_batch
268,W31386,4,15Mo,16Neu,single_batch
269,W31387,5,2Ery,5Ery,single_batch
270,W31388,1,10GMP,10GMP,single_batch
271,W31389,5,5Ery,5Ery,single_batch
272,W31390,5,5Ery,5Ery,single_batch
273,W31391,6,2Ery,2Ery,single_batch
274,W31392,1,14Mo,10GMP,single_batch
275,W31393,1,13Baso,10GMP,single_batch
276,W31394,6,2Ery,2Ery,single_batch
277,W31395,3,14Mo,14Mo,single_batch
278,W31396,4,16Neu,16Neu,single_batch
279,W31397,1,12Baso,10GMP,single_batch
280,W31398,3,14Mo,14Mo,single_batch
281,W31399,1,14Mo,10GMP,single_batch
282,W31401,5,3Ery,5Ery,single_batch
283,W31402,1,14Mo,10GMP,single_batch
284,W31403,1,13Baso,10GMP,single_batch
285,W31405,1,12Baso,10GMP,single_batch
286,W31406,5,5Ery,5Ery,single_batch
287,W31407,1,10GMP,10GMP,single_batch
288,W31409,1,14Mo,10GMP,single_batch
289,W31410,5,4Ery,5Ery,single_batch
290,W31411,3,15Mo,14Mo,single_batch
291,W31412,8,11DC,11DC,single_batch
292,W31413,2,3Ery,3Ery,single_batch
293,W31414,5,4Ery,5Ery,single_batch
294,W31415,5,4Ery,5Ery,single_batch
295,W31416,5,4Ery,5Ery,single_batch
296,W31418,5,4Ery,5Ery,single_batch
297,W31419,5,5Ery,5Ery,single_batch
298,W31420,6,1Ery,2Ery,single_batch
299,W31421,4,16Neu,16Neu,single_batch
300,W31422,3,14Mo,14Mo,single_batch
301,W31423,6,2Ery,2Ery,single_batch
302,W31424,5,5Ery,5Ery,single_batch
303,W31425,1,15Mo,10GMP,single_batch
304,W31426,5,5Ery,5Ery,single_batch
305,W31427,5,2Ery,5Ery,single_batch
306,W31428,5,5Ery,5Ery,single_batch
307,W31429,6,1Ery,2Ery,single_batch
308,W31430,0,7MEP,7MEP,single_batch
309,W31431,5,2Ery,5Ery,single_batch
310,W31432,1,14Mo,10GMP,single_batch
311,W31433,0,10GMP,7MEP,single_batch
312,W31434,5,2Ery,5Ery,single_batch
313,W31436,3,14Mo,14Mo,single_batch
314,W31437,0,6Ery,7MEP,single_batch
315,W31439,0,9GMP,7MEP,single_batch
316,W31440,2,3Ery,3Ery,single_batch
317,W31441,5,2Ery,5Ery,single_batch
318,W31442,5,3Ery,5Ery,single_batch
319,W31443,0,12Baso,7MEP,single_batch
320,W31444,5,2Ery,5Ery,single_batch
321,W31445,1,18Eos,10GMP,single_batch
322,W31446,5,5Ery,5Ery,single_batch
323,W31447,5,3Ery,5Ery,single_batch
324,W31448,3,15Mo,14Mo,single_batch
325,W31451,1,14Mo,10GMP,single_batch
326,W31452,6,2Ery,2Ery,single_batch
327,W31453,5,6Ery,5Ery,single_batch
328,W31454,1,14Mo,10GMP,single_batch
329,W31455,6,2Ery,2Ery,single_batch
330,W31456,5,5Ery,5Ery,single_batch
331,W31457,1,12Baso,10GMP,single_batch
332,W31458,0,7MEP,7MEP,single_batch
333,W31459,1,17Neu,10GMP,single_batch
334,W31460,3,14Mo,14Mo,single_batch
335,W31461,5,2Ery,5Ery,single_batch
336,W31462,5,5Ery,5Ery,single_batch
337,W31463,6,2Ery,2Ery,single_batch
338,W31464,3,14Mo,14Mo,single_batch
339,W31465,1,13Baso,10GMP,single_batch
340,W31466,3,15Mo,14Mo,single_batch
341,W31467,5,2Ery,5Ery,single_batch
342,W31468,1,13Baso,10GMP,single_batch
343,W31469,4,16Neu,16Neu,single_batch
344,W31470,5,5Ery,5Ery,single_batch
345,W31471,3,14Mo,14Mo,single_batch
346,W31472,1,16Neu,10GMP,single_batch
347,W31473,3,14Mo,14Mo,single_batch
348,W31474,4,16Neu,16Neu,single_batch
349,W31475,3,14Mo,14Mo,single_batch
350,W31476,0,8Mk,7MEP,single_batch
351,W31477,1,10GMP,10GMP,single_batch
352,W31478,1,14Mo,10GMP,single_batch
353,W31479,5,5Ery,5Ery,single_batch
354,W31480,0,7MEP,7MEP,single_batch
355,W31481,6,2Ery,2Ery,single_batch
356,W31483,1,14Mo,10GMP,single_batch
357,W31484,3,13Baso,14Mo,single_batch
358,W31485,5,2Ery,5Ery,single_batch
359,W31486,5,5Ery,5Ery,single_batch
360,W31487,3,14Mo,14Mo,single_batch
361,W31489,3,14Mo,14Mo,single_batch
362,W31491,1,9GMP,10GMP,single_batch
363,W31492,5,4Ery,5Ery,single_batch
364,W31493,1,10GMP,10GMP,single_batch
365,W31494,3,13Baso,14Mo,single_batch
366,W31495,1,10GMP,10GMP,single_batch
367,W31497,0,7MEP,7MEP,single_batch
368,W31498,1,10GMP,10GMP,single_batch
369,W31499,2,3Ery,3Ery,single_batch
370,W31500,2,2Ery,3Ery,single_batch
371,W31501,3,14Mo,14Mo,single_batch
372,W31502,1,10GMP,10GMP,single_batch
373,W31503,1,15Mo,10GMP,single_batch
374,W31504,3,13Baso,14Mo,single_batch
375,W31505,0,7MEP,7MEP,single_batch
376,W31506,0,6Ery,7MEP,single_batch
377,W31507,0,7MEP,7MEP,single_batch
378,W31508,5,5Ery,5Ery,single_batch
379,W31509,3,14Mo,14Mo,single_batch
380,W31510,3,13Baso,14Mo,single_batch
381,W31511,1,10GMP,10GMP,single_batch
382,W31512,0,7MEP,7MEP,single_batch
383,W31513,2,3Ery,3Ery,single_batch
384,W31514,0,7MEP,7MEP,single_batch
385,W31515,1,13Baso,10GMP,single_batch
386,W31516,6,1Ery,2Ery,single_batch
387,W31517,1,14Mo,10GMP,single_batch
388,W31518,3,13Baso,14Mo,single_batch
389,W31519,1,10GMP,10GMP,single_batch
390,W31520,1,9GMP,10GMP,single_batch
391,W31521,2,3Ery,3Ery,single_batch
392,W31522,3,13Baso,14Mo,single_batch
393,W31523,6,2Ery,2Ery,single_batch
394,W31524,1,13Baso,10GMP,single_batch
395,W31525,5,2Ery,5Ery,single_batch
396,W31526,0,6Ery,7MEP,single_batch
397,W31527,0,6Ery,7MEP,single_batch
398,W31528,1,13Baso,10GMP,single_batch
399,W31529,2,3Ery,3Ery,single_batch
400,W31530,1,13Baso,10GMP,single_batch
401,W31531,8,11DC,11DC,single_batch
402,W31532,1,14Mo,10GMP,single_batch
403,W31533,1,10GMP,10GMP,single_batch
404,W31534,0,8Mk,7MEP,single_batch
405,W31535,1,9GMP,10GMP,single_batch
406,W31536,5,2Ery,5Ery,single_batch
407,W31537,1,13Baso,10GMP,single_batch
408,W31538,3,14Mo,14Mo,single_batch
409,W31539,1,13Baso,10GMP,single_batch
410,W31540,3,14Mo,14Mo,single_batch
411,W31541,5,5Ery,5Ery,single_batch
412,W31542,1,14Mo,10GMP,single_batch
413,W31543,5,5Ery,5Ery,single_batch
414,W31544,3,13Baso,14Mo,single_batch
415,W31545,1,12Baso,10GMP,single_batch
416,W31546,4,16Neu,16Neu,single_batch
417,W31547,8,11DC,11DC,single_batch
418,W31548,1,13Baso,10GMP,single_batch
419,W31549,3,13Baso,14Mo,single_batch
420,W31550,6,2Ery,2Ery,single_batch
421,W31551,5,2Ery,5Ery,single_batch
422,W31552,1,14Mo,10GMP,single_batch
423,W31553,0,7MEP,7MEP,single_batch
424,W31554,5,4Ery,5Ery,single_batch
425,W31555,5,6Ery,5Ery,single_batch
426,W31556,1,13Baso,10GMP,single_batch
427,W31558,1,14Mo,10GMP,single_batch
428,W31559,3,14Mo,14Mo,single_batch
429,W31560,0,6Ery,7MEP,single_batch
430,W31562,1,12Baso,10GMP,single_batch
431,W31563,5,6Ery,5Ery,single_batch
432,W31564,1,14Mo,10GMP,single_batch
433,W31565,5,2Ery,5Ery,single_batch
434,W31566,1,13Baso,10GMP,single_batch
435,W31567,3,13Baso,14Mo,single_batch
436,W31568,1,14Mo,10GMP,single_batch
437,W31569,0,7MEP,7MEP,single_batch
438,W31570,0,7MEP,7MEP,single_batch
439,W31571,4,15Mo,16Neu,single_batch
440,W31572,5,5Ery,5Ery,single_batch
441,W31573,5,5Ery,5Ery,single_batch
442,W31575,5,5Ery,5Ery,single_batch
443,W31576,5,5Ery,5Ery,single_batch
444,W31577,4,15Mo,16Neu,single_batch
445,W31578,6,1Ery,2Ery,single_batch
446,W31580,1,13Baso,10GMP,single_batch
447,W31581,1,10GMP,10GMP,single_batch
448,W31583,1,12Baso,10GMP,single_batch
449,W31586,2,4Ery,3Ery,single_batch
450,W31587,0,7MEP,7MEP,single_batch
451,W31588,4,15Mo,16Neu,single_batch
452,W31589,7,19Lymph,19Lymph,single_batch
453,W31590,3,13Baso,14Mo,single_batch
454,W31591,3,13Baso,14Mo,single_batch
455,W31593,2,3Ery,3Ery,single_batch
456,W31594,5,3Ery,5Ery,single_batch
457,W31595,1,15Mo,10GMP,single_batch
458,W31596,4,16Neu,16Neu,single_batch
459,W31597,3,13Baso,14Mo,single_batch
460,W31598,5,2Ery,5Ery,single_batch
461,W31599,4,15Mo,16Neu,single_batch
462,W31600,1,17Neu,10GMP,single_batch
463,W31601,4,15Mo,16Neu,single_batch
464,W31602,1,13Baso,10GMP,single_batch
465,W31603,1,16Neu,10GMP,single_batch
466,W31604,0,6Ery,7MEP,single_batch
467,W31605,2,5Ery,3Ery,single_batch
468,W31606,3,15Mo,14Mo,single_batch
469,W31607,1,9GMP,10GMP,single_batch
470,W31608,3,13Baso,14Mo,single_batch
471,W31609,4,15Mo,16Neu,single_batch
472,W31611,3,13Baso,14Mo,single_batch
473,W31613,1,6Ery,10GMP,single_batch
474,W31614,0,7MEP,7MEP,single_batch
475,W31615,1,12Baso,10GMP,single_batch
476,W31617,4,15Mo,16Neu,single_batch
477,W31618,6,2Ery,2Ery,single_batch
478,W31620,1,13Baso,10GMP,single_batch
479,W31621,1,10GMP,10GMP,single_batch
480,W31622,1,14Mo,10GMP,single_batch
481,W31623,3,14Mo,14Mo,single_batch
482,W31624,1,14Mo,10GMP,single_batch
483,W31625,4,15Mo,16Neu,single_batch
484,W31626,5,5Ery,5Ery,single_batch
485,W31628,4,16Neu,16Neu,single_batch
486,W31629,5,5Ery,5Ery,single_batch
487,W31630,3,14Mo,14Mo,single_batch
488,W31631,3,13Baso,14Mo,single_batch
489,W31632,4,15Mo,16Neu,single_batch
490,W31634,6,2Ery,2Ery,single_batch
491,W31635,6,2Ery,2Ery,single_batch
492,W31636,6,2Ery,2Ery,single_batch
493,W31638,1,13Baso,10GMP,single_batch
494,W31639,1,13Baso,10GMP,single_batch
495,W31640,5,5Ery,5Ery,single_batch
496,W31641,5,5Ery,5Ery,single_batch
497,W31642,1,9GMP,10GMP,single_batch
498,W31644,3,14Mo,14Mo,single_batch
499,W31645,0,7MEP,7MEP,single_batch
500,W31646,1,14Mo,10GMP,single_batch
501,W31647,8,11DC,11DC,single_batch
502,W31648,4,16Neu,16Neu,single_batch
503,W31649,6,2Ery,2Ery,single_batch
504,W31650,5,2Ery,5Ery,single_batch
505,W31651,1,10GMP,10GMP,single_batch
506,W31652,0,8Mk,7MEP,single_batch
507,W31653,6,2Ery,2Ery,single_batch
508,W31654,5,5Ery,5Ery,single_batch
509,W31655,3,13Baso,14Mo,single_batch
510,W31656,3,13Baso,14Mo,single_batch
511,W31657,1,12Baso,10GMP,single_batch
512,W31658,0,7MEP,7MEP,single_batch
513,W31659,0,7MEP,7MEP,single_batch
514,W31660,3,13Baso,14Mo,single_batch
515,W31661,0,6Ery,7MEP,single_batch
516,W31662,5,5Ery,5Ery,single_batch
517,W31663,4,16Neu,16Neu,single_batch
518,W31664,3,14Mo,14Mo,single_batch
519,W31665,3,13Baso,14Mo,single_batch
520,W31666,5,2Ery,5Ery,single_batch
521,W31667,1,14Mo,10GMP,single_batch
522,W31668,5,5Ery,5Ery,single_batch
523,W31669,0,7MEP,7MEP,single_batch
524,W31670,1,10GMP,10GMP,single_batch
525,W31671,7,19Lymph,19Lymph,single_batch
526,W31674,1,14Mo,10GMP,single_batch
527,W31676,5,4Ery,5Ery,single_batch
528,W31678,4,14Mo,16Neu,single_batch
529,W31681,1,12Baso,10GMP,single_batch
530,W31682,1,9GMP,10GMP,single_batch
531,W31683,4,15Mo,16Neu,single_batch
532,W31684,1,17Neu,10GMP,single_batch
533,W31685,0,7MEP,7MEP,single_batch
534,W31686,4,16Neu,16Neu,single_batch
535,W31687,3,13Baso,14Mo,single_batch
536,W31689,2,3Ery,3Ery,single_batch
537,W31690,4,15Mo,16Neu,single_batch
538,W31691,5,3Ery,5Ery,single_batch
539,W31692,0,7MEP,7MEP,single_batch
540,W31693,0,8Mk,7MEP,single_batch
541,W31694,7,19Lymph,19Lymph,single_batch
542,W31695,5,3Ery,5Ery,single_batch
543,W31696,3,13Baso,14Mo,single_batch
544,W31697,1,9GMP,10GMP,single_batch
545,W31698,2,3Ery,3Ery,single_batch
546,W31699,5,3Ery,5Ery,single_batch
547,W31700,6,2Ery,2Ery,single_batch
548,W31701,4,16Neu,16Neu,single_batch
549,W31702,3,14Mo,14Mo,single_batch
550,W31703,4,16Neu,16Neu,single_batch
551,W31704,9,6Ery,6Ery,single_batch
552,W31705,3,14Mo,14Mo,single_batch
553,W31706,5,5Ery,5Ery,single_batch
554,W31707,3,14Mo,14Mo,single_batch
555,W31708,4,14Mo,16Neu,single_batch
556,W31709,0,19Lymph,7MEP,single_batch
557,W31711,1,15Mo,10GMP,single_batch
558,W31712,1,13Baso,10GMP,single_batch
559,W31713,4,14Mo,16Neu,single_batch
560,W31714,1,13Baso,10GMP,single_batch
561,W31715,1,17Neu,10GMP,single_batch
562,W31716,1,14Mo,10GMP,single_batch
563,W31717,6,1Ery,2Ery,single_batch
564,W31718,5,2Ery,5Ery,single_batch
565,W31719,5,5Ery,5Ery,single_batch
566,W31720,0,6Ery,7MEP,single_batch
567,W31721,4,15Mo,16Neu,single_batch
568,W31722,1,10GMP,10GMP,single_batch
569,W31723,0,6Ery,7MEP,single_batch
570,W31724,1,10GMP,10GMP,single_batch
571,W31725,0,7MEP,7MEP,single_batch
572,W31726,3,14Mo,14Mo,single_batch
573,W31727,1,13Baso,10GMP,single_batch
574,W31728,5,2Ery,5Ery,single_batch
575,W31729,4,14Mo,16Neu,single_batch
