cell_index,umap_1,umap_2,predicted_label,cell_id,true_label,aligned_predicted_label,batch,scraw_reconstruction_weight
0,-3.432074546813965,7.205978870391846,0,W31105,7MEP,7MEP,single_batch,0.8805757761001587
1,4.116508960723877,11.982780456542969,3,W31106,15Mo,14Mo,single_batch,0.8005107641220093
2,-13.78501033782959,-7.701812744140625,2,W31107,3Ery,3Ery,single_batch,0.9162594079971313
3,5.347877502441406,0.4177055060863495,4,W31108,15Mo,16Neu,single_batch,1.5644587278366089
4,-14.192096710205078,-5.716615200042725,2,W31109,3Ery,3Ery,single_batch,0.7156978845596313
5,4.579220771789551,-8.77915096282959,4,W31110,15Mo,16Neu,single_batch,1.3745357990264893
6,-13.334606170654297,-5.3842644691467285,2,W31111,4Ery,3Ery,single_batch,0.8800175786018372
7,-3.8018932342529297,8.194219589233398,0,W31113,2Ery,7MEP,single_batch,1.6441582441329956
8,-13.383254051208496,-8.772972106933594,2,W31114,3Ery,3Ery,single_batch,1.6707574129104614
9,3.2565128803253174,-2.21736216545105,5,W31115,2Ery,5Ery,single_batch,0.7262600660324097
10,2.9887638092041016,-2.007875680923462,5,W31116,2Ery,5Ery,single_batch,0.711112380027771
11,-3.4951705932617188,-3.3116636276245117,1,W31117,17Neu,10GMP,single_batch,1.1597810983657837
12,5.147604942321777,13.018291473388672,3,W31118,14Mo,14Mo,single_batch,0.717006504535675
13,-5.4214301109313965,-4.814842700958252,1,W31119,13Baso,10GMP,single_batch,0.6713036894798279
14,3.98757004737854,-1.4565637111663818,5,W31120,3Ery,5Ery,single_batch,0.807770848274231
15,-3.3358285427093506,7.804012298583984,0,W31121,7MEP,7MEP,single_batch,1.0759141445159912
16,-13.457945823669434,-7.545904159545898,2,W31122,3Ery,3Ery,single_batch,0.963287353515625
17,1.9862679243087769,-2.097764492034912,5,W31123,3Ery,5Ery,single_batch,0.7634353041648865
18,15.175199508666992,10.817760467529297,6,W31124,2Ery,2Ery,single_batch,1.126794695854187
19,-3.0000593662261963,4.58427619934082,0,W31125,8Mk,7MEP,single_batch,1.9605720043182373
20,6.8758649826049805,-4.073788166046143,5,W31126,3Ery,5Ery,single_batch,1.0085171461105347
21,-6.453078269958496,-4.362267017364502,1,W31127,9GMP,10GMP,single_batch,1.5671664476394653
22,-3.2955188751220703,5.030099868774414,0,W31128,8Mk,7MEP,single_batch,1.6114331483840942
23,-5.486208438873291,-2.646368980407715,1,W31129,10GMP,10GMP,single_batch,0.8577512502670288
24,-5.501483917236328,-5.984879970550537,1,W31130,15Mo,10GMP,single_batch,0.9068087339401245
25,4.459902763366699,-9.628390312194824,4,W31131,16Neu,16Neu,single_batch,0.9590838551521301
26,1.8372114896774292,-1.972359538078308,5,W31132,4Ery,5Ery,single_batch,0.7272450923919678
27,-4.97219181060791,-4.029354095458984,1,W31133,13Baso,10GMP,single_batch,0.8844754695892334
28,-4.218759536743164,-3.0209503173828125,1,W31134,17Neu,10GMP,single_batch,1.4518486261367798
29,-14.147749900817871,-5.604272365570068,2,W31136,3Ery,3Ery,single_batch,0.7977144122123718
30,3.5351920127868652,-1.6151760816574097,5,W31137,2Ery,5Ery,single_batch,0.6668222546577454
31,-13.27692985534668,-6.364194869995117,2,W31138,3Ery,3Ery,single_batch,1.1589863300323486
32,4.709041595458984,-4.492443561553955,5,W31139,5Ery,5Ery,single_batch,0.6649419665336609
33,6.798952102661133,-4.257850170135498,5,W31140,3Ery,5Ery,single_batch,1.1316967010498047
34,-6.306227684020996,-5.247635841369629,1,W31141,13Baso,10GMP,single_batch,0.7035702466964722
35,15.206809997558594,10.99864387512207,6,W31142,1Ery,2Ery,single_batch,1.9677064418792725
36,-13.70091438293457,-8.479536056518555,2,W31143,3Ery,3Ery,single_batch,1.1399610042572021
37,-13.306086540222168,-6.266186237335205,2,W31144,6Ery,3Ery,single_batch,0.9297738075256348
38,-4.297153949737549,-5.3352789878845215,1,W31145,15Mo,10GMP,single_batch,0.9748445749282837
39,6.029058456420898,-3.8449127674102783,5,W31146,3Ery,5Ery,single_batch,0.6255022883415222
40,2.9699714183807373,-1.5031479597091675,5,W31147,3Ery,5Ery,single_batch,0.8573838472366333
41,5.369793891906738,12.432270050048828,3,W31148,14Mo,14Mo,single_batch,0.7460975646972656
42,7.276772975921631,-15.655183792114258,7,W31149,19Lymph,19Lymph,single_batch,2.5955238342285156
43,-4.736677169799805,-3.7529842853546143,1,W31150,12Baso,10GMP,single_batch,0.9324617981910706
44,-13.863835334777832,-7.8419880867004395,2,W31151,3Ery,3Ery,single_batch,0.9651069641113281
45,3.2674710750579834,11.114089012145996,3,W31152,14Mo,14Mo,single_batch,0.8218165636062622
46,7.091183662414551,-3.5337746143341064,5,W31153,6Ery,5Ery,single_batch,1.0422184467315674
47,-13.456015586853027,-4.6610565185546875,2,W31154,4Ery,3Ery,single_batch,0.7487584352493286
48,-2.2167115211486816,7.398197650909424,0,W31155,7MEP,7MEP,single_batch,2.1452016830444336
49,15.478521347045898,7.003381729125977,6,W31156,2Ery,2Ery,single_batch,0.8586075305938721
50,-6.188596248626709,-4.021939754486084,1,W31157,13Baso,10GMP,single_batch,1.0685791969299316
51,4.362260818481445,-8.907819747924805,4,W31158,14Mo,16Neu,single_batch,0.8255376219749451
52,6.20652437210083,-4.959181308746338,5,W31159,6Ery,5Ery,single_batch,1.2698137760162354
53,-4.939157962799072,-2.5274274349212646,1,W31160,18Eos,10GMP,single_batch,1.4315457344055176
54,4.111947536468506,-1.5997521877288818,5,W31161,4Ery,5Ery,single_batch,1.046425461769104
55,3.4528048038482666,-2.637211561203003,5,W31162,3Ery,5Ery,single_batch,0.5994926691055298
56,3.3773953914642334,-2.593931198120117,5,W31163,3Ery,5Ery,single_batch,0.6394763588905334
57,4.277142524719238,12.312261581420898,3,W31164,14Mo,14Mo,single_batch,0.5930439829826355
58,15.403946876525879,7.6109747886657715,6,W31165,2Ery,2Ery,single_batch,0.862958550453186
59,2.874150514602661,13.10544490814209,3,W31166,13Baso,14Mo,single_batch,0.6298144459724426
60,15.3743257522583,7.661807537078857,6,W31167,2Ery,2Ery,single_batch,0.9349174499511719
61,5.295538902282715,10.821626663208008,3,W31168,13Baso,14Mo,single_batch,1.566347360610962
62,-6.060254096984863,-5.679508209228516,1,W31169,13Baso,10GMP,single_batch,0.8329395651817322
63,5.417056083679199,11.880168914794922,3,W31170,14Mo,14Mo,single_batch,1.0044667720794678
64,-2.69107985496521,7.274043560028076,0,W31171,7MEP,7MEP,single_batch,0.9454752206802368
65,-13.373568534851074,-8.805160522460938,2,W31172,7MEP,3Ery,single_batch,2.4089062213897705
66,-2.4387106895446777,7.464641571044922,0,W31173,7MEP,7MEP,single_batch,1.2213103771209717
67,-6.35352087020874,-4.253389358520508,1,W31174,10GMP,10GMP,single_batch,0.8355689644813538
68,-3.6810591220855713,-3.936750650405884,1,W31175,12Baso,10GMP,single_batch,1.0220476388931274
69,5.942312240600586,-5.148918151855469,5,W31176,6Ery,5Ery,single_batch,1.6988599300384521
70,6.043623447418213,-3.4746921062469482,5,W31177,5Ery,5Ery,single_batch,0.6151979565620422
71,5.463544845581055,-4.164702892303467,5,W31178,5Ery,5Ery,single_batch,0.6196181774139404
72,4.375374794006348,-8.956401824951172,4,W31179,14Mo,16Neu,single_batch,0.9435657262802124
73,3.3421247005462646,-2.5415196418762207,5,W31180,4Ery,5Ery,single_batch,0.6023454070091248
74,3.654749631881714,-9.386914253234863,4,W31181,16Neu,16Neu,single_batch,0.6393954753875732
75,4.084042549133301,-8.530360221862793,4,W31182,16Neu,16Neu,single_batch,0.820305347442627
76,-13.523031234741211,-5.850390911102295,2,W31183,3Ery,3Ery,single_batch,0.6048137545585632
77,3.1200602054595947,-1.9489986896514893,5,W31184,2Ery,5Ery,single_batch,0.821348249912262
78,5.425558090209961,-2.778738498687744,5,W31185,6Ery,5Ery,single_batch,0.590248167514801
79,-6.575601577758789,-5.826825141906738,1,W31186,13Baso,10GMP,single_batch,1.035654067993164
80,-5.844077110290527,-4.590968608856201,1,W31187,13Baso,10GMP,single_batch,0.6535032391548157
81,-5.599742889404297,-3.880746364593506,1,W31188,10GMP,10GMP,single_batch,0.7239184379577637
82,4.487483501434326,-9.734199523925781,4,W31189,14Mo,16Neu,single_batch,0.7995785474777222
83,3.782054901123047,-3.235407829284668,5,W31190,5Ery,5Ery,single_batch,0.5738287568092346
84,-2.891474485397339,6.769227027893066,0,W31191,7MEP,7MEP,single_batch,1.002310037612915
85,-2.7966690063476562,6.655268669128418,0,W31192,7MEP,7MEP,single_batch,1.0300674438476562
86,5.892062187194824,-2.6242969036102295,5,W31193,5Ery,5Ery,single_batch,0.608435869216919
87,5.702424049377441,-4.934301376342773,5,W31194,6Ery,5Ery,single_batch,1.3392736911773682
88,15.418414115905762,7.582363605499268,6,W31195,2Ery,2Ery,single_batch,0.817608118057251
89,-4.7570624351501465,-3.9981048107147217,1,W31196,10GMP,10GMP,single_batch,1.4839122295379639
90,-5.16795015335083,-4.8111395835876465,1,W31197,10GMP,10GMP,single_batch,1.0880248546600342
91,3.016014814376831,-2.6956706047058105,5,W31198,2Ery,5Ery,single_batch,0.5718743801116943
92,-2.406406879425049,7.492559909820557,0,W31199,7MEP,7MEP,single_batch,1.8390610218048096
93,6.235942363739014,-4.987637519836426,5,W31200,6Ery,5Ery,single_batch,1.0184879302978516
94,-4.265096187591553,7.048551082611084,0,W31201,7MEP,7MEP,single_batch,0.8508400917053223
95,4.301398277282715,13.65285873413086,3,W31202,14Mo,14Mo,single_batch,0.7511257529258728
96,3.4227187633514404,13.446493148803711,3,W31203,16Neu,14Mo,single_batch,0.7391790151596069
97,-6.7314229011535645,-4.059218883514404,1,W31204,10GMP,10GMP,single_batch,1.0126006603240967
98,3.4164655208587646,-3.4610743522644043,5,W31205,3Ery,5Ery,single_batch,0.6533200740814209
99,-13.589740753173828,-6.864749908447266,2,W31206,3Ery,3Ery,single_batch,0.7401643991470337
100,3.9758145809173584,11.632407188415527,3,W31207,13Baso,14Mo,single_batch,0.6926850080490112
101,15.104256629943848,10.293014526367188,6,W31209,1Ery,2Ery,single_batch,1.6269662380218506
102,3.12819504737854,13.143538475036621,3,W31210,14Mo,14Mo,single_batch,0.8451710939407349
103,3.1621415615081787,11.580389022827148,3,W31211,15Mo,14Mo,single_batch,1.1771204471588135
104,3.9828765392303467,-3.2483580112457275,5,W31212,2Ery,5Ery,single_batch,0.5396299362182617
105,5.437206268310547,-4.438362121582031,5,W31213,5Ery,5Ery,single_batch,0.7442629337310791
106,14.827274322509766,9.080268859863281,6,W31214,2Ery,2Ery,single_batch,0.9684303998947144
107,4.737438201904297,-4.092885971069336,5,W31215,5Ery,5Ery,single_batch,0.5641230940818787
108,-13.464423179626465,-7.091284275054932,2,W31217,3Ery,3Ery,single_batch,0.6545574069023132
