dataset_id,path,label_key,batch_key,family,role,enabled,n_labels_expected
baron_human_pancreas,/data2/fbidet/scRAW_EXPERIMENTAL/data/baron_human_pancreas.h5ad,cell_type,batch,pancreas,train,true,14
kang_pbmc_gse96583_singlets_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/kang_pbmc_gse96583_singlets_raw_counts.h5ad,cell_type,batch,pbmc,train,true,8
gse112013_human_testis_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/gse112013_human_testis_raw_counts.h5ad,cell_type,batch,testis,train,true,13
macaque_retina_gse118480_bipolar_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/macaque_retina_gse118480_bipolar_raw_counts.h5ad,cell_type,batch,retina,train,true,12
paul15_bone_marrow_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/paul15_bone_marrow_raw_counts.h5ad,cell_type,batch,hematopoiesis,train,true,19
Tabula_Muris_liver_filtered_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/Tabula_Muris_liver_filtered_raw_counts.h5ad,cell_type,batch,organ_atlas,train,true,11
bbag094_zeisel,/data2/fbidet/scRAW_EXPERIMENTAL/data/bbag094_zeisel.h5ad,label,batch,brain,train,true,10
bbag094_spleen,/data2/fbidet/scRAW_EXPERIMENTAL/data/bbag094_spleen.h5ad,label,batch,immune_organ,train,true,5
Human_Pancreas_1_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/Human_Pancreas_1_raw_counts.h5ad,cell_type,batch,pancreas,validation,true,14
pbmc_3prime_5prime_paper_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/pbmc_3prime_5prime_paper_raw_counts.h5ad,cell_type,batch,pbmc,validation,true,9
Tabula_Muris_lung_filtered_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/Tabula_Muris_lung_filtered_raw_counts.h5ad,cell_type,batch,organ_atlas,validation,true,32
bbag094_human_liver,/data2/fbidet/scRAW_EXPERIMENTAL/data/bbag094_human_liver.h5ad,label,batch,liver,validation,true,11
Human_Pancreas_2_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/Human_Pancreas_2_raw_counts.h5ad,cell_type,batch,pancreas,holdout,true,14
Mouse_Pancreas_1_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/Mouse_Pancreas_1_raw_counts.h5ad,cell_type,batch,pancreas,holdout,true,13
Tabula_Muris_kidney_filtered_raw_counts,/data2/fbidet/scRAW_EXPERIMENTAL/data/Tabula_Muris_kidney_filtered_raw_counts.h5ad,cell_type,batch,organ_atlas,holdout,true,10
bbag094_10x_pbmc,/data2/fbidet/scRAW_EXPERIMENTAL/data/bbag094_10x_pbmc.h5ad,label,batch,pbmc,holdout,true,8
bbag094_xin,/data2/fbidet/scRAW_EXPERIMENTAL/data/bbag094_xin.h5ad,label,batch,pancreas,holdout,true,4
bbag094_darmanis,/data2/fbidet/scRAW_EXPERIMENTAL/data/bbag094_darmanis.h5ad,cell_type,batch,brain,holdout,false,6
